gene_ID	hgnc_symbol	chr	strand	start	end	TP63_PTC_log2FoldChange	TP63_PTC_pvalue	TP63_PTC_padj
ENSG00000218416	GPC1-AS1	chr2	-	240449315	240456714	-0.0831	0.634	1
ENSG00000182508	LHFPL1	chrX	-	112630648	112680054	-2.48	0.343	
ENSG00000063660	GPC1	chr2	+	240435663	240468076	-0.0176	0.81	1
ENSG00000227479		chr2	-	240227560	240256035	-0.158	0.816	1
ENSG00000254202		chr8	+	83912713	84142463	-0.0696	0.748	1
ENSG00000204228	HSD17B8	chr6	+	33204655	33206831	0.0792	0.838	1
ENSG00000130414	NDUFA10	chr2	-	239892450	240025743	0.0446	0.555	1
ENSG00000197768	STPG3	chr9	+	137251261	137253483	1.92	0.405	1
ENSG00000222020	HDAC4-AS1	chr2	+	239401436	239402657	1.42	0.422	1
ENSG00000160999	SH2B2	chr7	+	102285091	102321711	-0.102	0.25	1
ENSG00000160188	RSPH1	chr21	-	42472486	42496246	0.675	0.645	1
ENSG00000286307		chr2	+	239114858	239118842	0	1	
ENSG00000068024	HDAC4	chr2	-	239048168	239401654	-0.0251	0.865	1
ENSG00000233608	TWIST2	chr2	+	238848032	238910534	-0.227	0.334	1
ENSG00000286431		chrX	+	3819924	3823898	-0.718	0.602	1
ENSG00000287233		chr9	+	107426405	107428742	-1.64	0.179	1
ENSG00000065802	ASB1	chr2	+	238426742	238452250	0.0392	0.731	1
ENSG00000204104	TRAF3IP1	chr2	+	238320441	238400897	-0.00753	0.975	1
ENSG00000186235	LINC02610	chr2	-	238224552	238231711	1.27	0.238	1
ENSG00000132323	ILKAP	chr2	-	238170402	238203708	-0.146	0.371	1
ENSG00000144488	ESPNL	chr2	+	238100340	238133287	0.637	0.472	1
ENSG00000132330	SCLY	chr2	+	238060924	238099413	-0.162	0.517	1
ENSG00000184182	UBE2F	chr2	+	237966827	238042782	-0.246	0.0417	0.941
ENSG00000177483	RBM44	chr2	+	237798389	237842808	0.15	0.555	1
ENSG00000124831	LRRFIP1	chr2	+	237627587	237813682	0.0975	0.249	1
ENSG00000115648	MLPH	chr2	+	237485428	237555322	0.149	0.424	1
ENSG00000168393	DTYMK	chr2	-	241675747	241686944	0.042	0.749	1
ENSG00000163359	COL6A3	chr2	-	237324003	237414328	0.0834	0.655	1
ENSG00000185972	CCIN	chr9	+	36169388	36171334	-0.492	0.513	1
ENSG00000198612	COPS8	chr2	+	237085882	237100474	-0.00086	0.994	1
ENSG00000173198	CYSLTR1	chrX	-	78271468	78327691	2.68	0.576	
ENSG00000227252	COPS8-DT	chr2	-	236910797	237085838	-0.162	0.695	1
ENSG00000144476	ACKR3	chr2	+	236567787	236582354	-0.113	0.271	1
ENSG00000132321	IQCA1	chr2	-	236324147	236507535	0.117	0.359	1
ENSG00000157985	AGAP1	chr2	+	235494043	236131793	-0.0618	0.427	1
ENSG00000130147	SH3BP4	chr2	+	234952017	235055714	-0.058	0.538	1
ENSG00000188042	ARL4C	chr2	-	234493041	234497081	-0.042	0.533	1
ENSG00000228162		chr2	+	234438328	234462127	-0.0766	0.915	1
ENSG00000288040		chr2	-	234351247	234356038	-0.659	0.517	1
ENSG00000144481	TRPM8	chr2	+	233917373	234019522	0.0554	0.983	1
ENSG00000259793		chr2	-	233351132	233353416	14.9	5.64e-05	
ENSG00000164825	DEFB1	chr8	-	6870592	6877936	0.362	0.661	1
ENSG00000130561	SAG	chr2	+	233307816	233347055	0.977	0.446	1
ENSG00000085978	ATG16L1	chr2	+	233210051	233295674	0.104	0.255	1
ENSG00000168918	INPP5D	chr2	+	233059967	233207903	-0.17	0.153	1
ENSG00000115488	NEU2	chr2	+	233032672	233035057	0.42	0.802	1
ENSG00000066248	NGEF	chr2	-	232878701	233013256	0.344	0.34	1
ENSG00000182600	SNORC	chr2	+	232857270	232878708	-0.0173	0.964	1
ENSG00000115474	KCNJ13	chr2	-	232765802	232776565	0.172	0.64	1
ENSG00000204120	GIGYF2	chr2	+	232697299	232860605	-0.0756	0.233	1
ENSG00000115468	EFHD1	chr2	+	232606057	232682776	0.0784	0.355	1
ENSG00000237126		chr2	-	232580948	232611971	-2.23	0.255	1
ENSG00000135930	EIF4E2	chr2	+	232550659	232583644	-0.0336	0.704	1
ENSG00000221944	TIGD1	chr2	-	232543883	232550557	-0.317	0.23	1
ENSG00000171551	ECEL1	chr2	-	232479827	232487834	1.19	0.467	1
ENSG00000254087	LYN	chr8	+	55879835	56014169	0.11	0.202	1
ENSG00000163286	ALPG	chr2	+	232406844	232410714	-0.0776	0.873	1
ENSG00000163273	NPPC	chr2	-	231921809	231926396	-0.403	0.558	1
ENSG00000144524	COPS7B	chr2	+	231781671	231809254	-0.0376	0.678	1
ENSG00000181798	LINC00471	chr2	-	231508420	231514396	0.0929	0.895	1
ENSG00000115053	NCL	chr2	-	231453531	231483641	-0.0117	0.856	1
ENSG00000269846		chr20	+	37095785	37097178	0.48	0.596	1
ENSG00000156966	B3GNT7	chr2	+	231395710	231401164	0.155	0.601	1
ENSG00000224376		chr2	+	231388976	231394992	-0.132	0.888	1
ENSG00000135914	HTR2B	chr2	-	231108230	231125042	0.894	0.81	1
ENSG00000173692	PSMD1	chr2	+	231056845	231173116	0.0876	0.255	1
ENSG00000173699	SPATA3	chr2	+	230990324	231025055	-0.657	0.564	1
ENSG00000100285	NEFH	chr22	+	29480218	29491390	-0.312	0.423	1
ENSG00000233393		chr21	+	36104881	36109690	0.634	0.141	1
ENSG00000135932	CAB39	chr2	+	230712842	230821075	0.0786	0.34	1
ENSG00000226125	LINC01907	chr2	-	230690065	230700529	0.322	0.395	1
ENSG00000286122	LINC02964	chr8	+	125648327	126008930	0.449	0.783	1
ENSG00000120533	ENY2	chr8	+	109334324	109345954	0.157	0.15	1
ENSG00000067066	SP100	chr2	+	230415942	230545606	0.471	0.209	1
ENSG00000185404	SP140L	chr2	+	230327184	230403732	0.137	0.651	1
ENSG00000160886	LY6K	chr8	+	142700111	142705127	-0.186	0.219	1
ENSG00000079263	SP140	chr2	+	230203110	230313215	-0.0224	0.973	1
ENSG00000135899	SP110	chr2	-	230165186	230225729	-0.125	0.444	1
ENSG00000225963		chr2	+	230121370	230174223	0.48	0.691	1
ENSG00000153832	FBXO36	chr2	+	229922302	230013119	0.0732	0.727	1
ENSG00000153823	PID1	chr2	-	228850526	229271287	0.169	0.0559	1
ENSG00000232023	LINC01807	chr2	-	228475224	228841689	-0.245	0.937	1
ENSG00000153820	SPHKAP	chr2	-	227979955	228181687	-1.86	0.217	1
ENSG00000123977	DAW1	chr2	+	227871054	227924344	0.357	0.643	1
ENSG00000273219		chr7	+	135704537	135704841	-0.738	0.66	1
ENSG00000284631	SCYGR4	chr2	+	227617498	227617815	0.0143	0.987	1
ENSG00000042304	C2orf83	chr2	-	227632969	227648606	0.0108	0.993	1
ENSG00000173744	AGFG1	chr2	+	227472152	227561217	0.0387	0.529	1
ENSG00000168958	MFF	chr2	+	227325151	227357833	-0.0651	0.466	1
ENSG00000236432	MFF-DT	chr2	-	227221052	227325711	-0.0858	0.812	1
ENSG00000213079	SCAF8	chr6	+	154733378	154834244	0.0601	0.378	1
ENSG00000169031	COL4A3	chr2	+	227164624	227314792	1.45	0.476	1
ENSG00000144468	RHBDD1	chr2	+	226835581	226999215	0.0809	0.462	1
ENSG00000261379		chr2	+	226804036	226805061	1.03	0.576	1
ENSG00000272622		chr2	+	226800146	226813741	-0.16	0.826	1
ENSG00000169047	IRS1	chr2	-	226731312	226799820	-0.0255	0.757	1
ENSG00000135905	DOCK10	chr2	-	224765090	225042468	-0.257	0.784	1
ENSG00000036257	CUL3	chr2	-	224470150	224585397	0.0463	0.539	1
ENSG00000197415	VEPH1	chr3	-	157259742	157533619	-0.86	0.679	
ENSG00000085449	WDFY1	chr2	-	223855716	223945357	-0.175	0.0373	0.903
ENSG00000152056	AP1S3	chr2	-	223667680	223838027	-0.807	0.015	0.58
ENSG00000113845	TIMMDC1	chr3	+	119498547	119525090	0.0306	0.802	1
ENSG00000171951	SCG2	chr2	-	223596940	223602361	-0.978	0.2	1
ENSG00000272192	PDE7A-DT	chr8	+	65842138	65843345	-0.143	0.952	
ENSG00000240241		chr3	+	78266940	78294731	-0.0236	0.835	1
ENSG00000123983	ACSL3	chr2	+	222860942	222944639	0.056	0.605	1
ENSG00000160201	U2AF1	chr21	-	43092956	43107570	0.0309	0.772	1
ENSG00000163082	SGPP2	chr2	+	222424543	222562621	-0.207	0.233	1
ENSG00000138764	CCNG2	chr4	+	77157207	77433388	0.137	0.103	1
ENSG00000215193	PEX26	chr22	+	18077923	18105396	-0.0943	0.42	1
ENSG00000272944		chr2	+	221572506	221574454	0.71	0.619	1
ENSG00000116106	EPHA4	chr2	-	221418027	221574202	0.356	0.0229	0.719
ENSG00000224819		chr2	+	220776818	220855873	1.98	0.397	1
ENSG00000287916		chr3	+	156143570	156540627	0.953	0.78	
ENSG00000227308	LINC02832	chr2	+	219685381	219737937	-0.229	0.709	1
ENSG00000114923	SLC4A3	chr2	+	219627394	219641980	0.0231	0.863	1
ENSG00000144589	STK11IP	chr2	+	219597857	219616451	-0.0296	0.757	1
ENSG00000268896		chr2	-	219547211	219547658	-0.0149	0.989	1
ENSG00000188760	TMEM198	chr2	+	219543663	219550595	-0.345	0.0294	0.811
ENSG00000123989	CHPF	chr2	-	219538954	219543809	-0.11	0.162	1
ENSG00000072182	ASIC4	chr2	+	219514170	219538772	-0.0572	0.927	1
ENSG00000286095	SPEGNB	chr2	+	219496131	219498287	-0.129	0.803	1
ENSG00000072195	SPEG	chr2	+	219434843	219493629	-0.0557	0.62	1
ENSG00000175084	DES	chr2	+	219418377	219426735	-0.139	0.89	1
ENSG00000054356	PTPRN	chr2	-	219289623	219309648	0.0814	0.847	1
ENSG00000232082	RPS6KA2-IT1	chr6	-	166460663	166465383	29.5	1.33e-47	
ENSG00000135924	DNAJB2	chr2	+	219279342	219286898	-0.031	0.761	1
ENSG00000127824	TUBA4A	chr2	-	219249710	219277902	0.0678	0.79	1
ENSG00000115661	STK16	chr2	+	219245455	219250337	-0.0459	0.78	1
ENSG00000163516	ANKZF1	chr2	+	219229783	219236679	0.0461	0.507	1
ENSG00000198925	ATG9A	chr2	-	219219380	219229717	-0.133	0.0787	1
ENSG00000176428	VPS37D	chr7	+	73667831	73672112	-0.821	0.0524	1
ENSG00000115657	ABCB6	chr2	-	219209772	219218994	0.0317	0.725	1
ENSG00000287529		chr2	-	219198640	219200034	-0.883	0.158	1
ENSG00000124201	ZNFX1	chr20	-	49237946	49278426	0.00746	0.951	1
ENSG00000158552	ZFAND2B	chr2	+	219195237	219209651	-0.153	0.204	1
ENSG00000102007	PLP2	chrX	+	49171898	49175235	-0.0814	0.823	1
ENSG00000115649	CNPPD1	chr2	-	219171897	219178106	-0.0142	0.887	1
ENSG00000213901	SLC23A3	chr2	-	219161465	219170095	-0.571	0.238	1
ENSG00000187736	NHEJ1	chr2	-	219069355	219160869	-0.262	0.124	1
ENSG00000181378	CFAP65	chr2	-	219002846	219041527	-0.782	0.392	1
ENSG00000171450	CDK5R2	chr2	+	218959666	218962155	-0.871	0.716	
ENSG00000180596	H2BC4	chr6	-	26086317	26123926	-0.0389	0.708	1
ENSG00000227192		chr6	-	143039425	143042324	1.94	0.528	
ENSG00000135925	WNT10A	chr2	+	218880852	218899581	1.96	0.35	1
ENSG00000115596	WNT6	chr2	+	218859805	218874233	-0.221	0.224	1
ENSG00000135929	CYP27A1	chr2	+	218781749	218815293	-0.438	0.19	1
ENSG00000163482	STK36	chr2	+	218672069	218702716	0.226	0.12	1
ENSG00000074582	BCS1L	chr2	+	218658764	218663443	0.248	0.236	1
ENSG00000115568	ZNF142	chr2	-	218633329	218659655	-0.013	0.933	1
ENSG00000183535	COL18A1-AS1	chr21	-	45419716	45425070	-0.453	0.807	
ENSG00000144580	CNOT9	chr2	+	218568580	218597080	-0.112	0.178	1
ENSG00000127831	VIL1	chr2	+	218419121	218453295	0.499	0.665	1
ENSG00000236548	RNF217-AS1	chr6	-	124644434	124963165	0.198	0.651	1
ENSG00000144579	CTDSP1	chr2	+	218397136	218405941	0.107	0.27	1
ENSG00000248736		chr5	+	2921496	2967955	0.0494	0.985	
ENSG00000018280	SLC11A1	chr2	+	218382029	218396894	1.28	0.21	1
ENSG00000158428	CATIP	chr2	+	218356857	218368099	-0.166	0.872	1
ENSG00000135926	TMBIM1	chr2	-	218274197	218292586	-0.123	0.103	1
ENSG00000127837	AAMP	chr2	-	218264129	218270178	-0.0957	0.248	1
ENSG00000179921	GPBAR1	chr2	+	218259496	218263861	-0.0384	0.979	1
ENSG00000163466	ARPC2	chr2	+	218217141	218254356	-0.0266	0.643	1
ENSG00000125351	UPF3B	chrX	-	119834022	119852998	-0.0946	0.312	1
ENSG00000228107		chr21	+	36360630	36362040	-0.0983	0.83	1
ENSG00000286451		chr9	+	83063398	83069143	0.163	0.693	1
ENSG00000079308	TNS1	chr2	-	217799588	218033982	0.561	0.164	1
ENSG00000231672	DIRC3	chr2	-	217284019	217756593	1.56	0.112	1
ENSG00000233143	DIRC3-AS1	chr2	+	216694404	217336120	-0.721	0.535	1
ENSG00000268812	LIF-AS2	chr22	+	30246205	30246998	-1.9	0.314	1
ENSG00000115461	IGFBP5	chr2	-	216672105	216695549	0.366	0.00466	0.252
ENSG00000049768	FOXP3	chrX	-	49250438	49264800	-1.86	0.548	
ENSG00000165185	KIAA1958	chr9	+	112486827	112669397	0.0753	0.376	1
ENSG00000225794		chr2	+	216594359	216611206	-0.065	0.921	1
ENSG00000232485	RPL37A-DT	chr2	-	216479030	216498770	-1.3	0.439	1
ENSG00000138375	SMARCAL1	chr2	+	216412383	216483053	0.124	0.296	1
ENSG00000075043	KCNQ2	chr20	-	63400208	63472677	0.102	0.906	1
ENSG00000101230	ISM1	chr20	+	13221274	13300651	-0.0391	0.982	1
ENSG00000260804	LINC01963	chr2	+	216217045	216220192	-0.0625	0.903	1
ENSG00000079246	XRCC5	chr2	+	216107464	216206303	0.0216	0.79	1
ENSG00000118242	MREG	chr2	-	215942584	216034096	0.0454	0.618	1
ENSG00000106952	TNFSF8	chr9	-	114893343	114930595	0.151	0.869	1
ENSG00000226276		chr2	-	215939308	215941719	-0.292	0.765	1
ENSG00000235770	LINC00607	chr2	-	215611563	215848954	-0.558	0.396	1
ENSG00000114209	PDCD10	chr3	-	167683298	167734939	-0.0646	0.525	1
ENSG00000087077	TRIP6	chr7	+	100867387	100873454	-0.0247	0.707	1
ENSG00000134982	APC	chr5	+	112707518	112846239	0.176	0.0918	1
ENSG00000115414	FN1	chr2	-	215360440	215436073	0.154	0.056	1
ENSG00000138376	BARD1	chr2	-	214725646	214809683	-0.122	0.216	1
ENSG00000146842	TMEM209	chr7	-	130164713	130207770	0.0953	0.346	1
ENSG00000174453	VWC2L	chr2	+	214411054	214578976	-0.0823	0.875	1
ENSG00000144451	SPAG16	chr2	+	213284389	214410501	0.093	0.531	1
ENSG00000030419	IKZF2	chr2	-	212999691	213152427	-0.0899	0.458	1
ENSG00000286965		chr2	-	212932894	212937520	0.854	0.144	1
ENSG00000280837	CPS1-IT1	chr2	+	210617571	210619876	0.878	0.784	
ENSG00000048405	ZNF800	chr7	-	127346790	127431924	0.0787	0.42	1
ENSG00000229127	KANSL1L-AS1	chr2	+	210030572	210064356	0.0675	0.865	1
ENSG00000144445	KANSL1L	chr2	-	210021421	210171409	0.125	0.416	1
ENSG00000197713	RPE	chr2	+	210002565	210022260	-0.017	0.873	1
ENSG00000144407	PTH2R	chr2	+	208359714	208854503	0.0344	0.982	1
ENSG00000115020	PIKFYVE	chr2	+	208266255	208358746	-0.045	0.597	1
ENSG00000138413	IDH1	chr2	-	208236229	208266074	0.0696	0.431	1
ENSG00000273014		chr7	+	32758882	32759353	-0.671	0.353	1
ENSG00000225111		chr2	-	207868578	207869934	-0.789	0.524	1
ENSG00000163251	FZD5	chr2	-	207762598	207769906	0.0546	0.439	1
ENSG00000197157	SND1	chr7	+	127652194	128092609	-0.1	0.0735	1
ENSG00000272851		chr2	-	207753872	207754435	-0.0903	0.778	1
ENSG00000163249	CCNYL1	chr2	+	207711540	207761839	-0.082	0.496	1
ENSG00000279110		chr22	-	25052122	25065241	0.0336	0.972	1
ENSG00000234902		chr2	-	207186717	207236066	0.0595	0.967	1
ENSG00000118263	KLF7	chr2	-	207074137	207173856	0.252	0.0422	0.945
ENSG00000118246	FASTKD2	chr2	+	206765357	206796189	-0.00084	0.994	1
ENSG00000138400	MDH1B	chr2	-	206737763	206765328	0.00393	0.997	1
ENSG00000264578		chr8	-	41609692	41621502	1.86	0.446	
ENSG00000100253	MIOX	chr22	+	50486784	50490648	-0.155	0.751	1
ENSG00000114948	ADAM23	chr2	+	206443532	206621127	0.603	0.279	1
ENSG00000204186	ZDBF2	chr2	+	206274663	206314427	0.106	0.18	1
ENSG00000279220	CMKLR2-AS	chr2	+	206203543	206265326	0.0312	0.987	1
ENSG00000273473		chr9	+	134168769	134169340	-0.836	0.71	
ENSG00000114942	EEF1B2	chr2	+	206159585	206162928	-0.0903	0.267	1
ENSG00000227946	INO80D-AS1	chr2	+	206084605	206086863	-0.0216	0.959	1
ENSG00000114933	INO80D	chr2	-	205993721	206086303	-0.0395	0.574	1
ENSG00000118257	NRP2	chr2	+	205681990	205798133	-0.247	0.0594	1
ENSG00000238141	BRWD1-AS1	chr21	+	39315707	39323218	0.327	0.845	1
ENSG00000163599	CTLA4	chr2	+	203853888	203873965	-0.000764	1	1
ENSG00000138443	ABI2	chr2	+	203328280	203447728	-0.0282	0.709	1
ENSG00000138380	CARF	chr2	+	202912214	202988263	0.215	0.3	1
ENSG00000163596	ICA1L	chr2	-	202773150	202871766	-0.113	0.786	1
ENSG00000273456		chr2	-	202374769	202376142	-1.02	0.321	1
ENSG00000286223		chr2	-	202302122	202303614	0.00352	0.999	1
ENSG00000055044	NOP58	chr2	+	202265736	202303661	-0.00651	0.94	1
ENSG00000116030	SUMO1	chr2	-	202206182	202238599	-0.0632	0.48	1
ENSG00000106086	PLEKHA8	chr7	+	30027404	30130483	0.0894	0.167	1
ENSG00000231903		chr2	-	202178660	202179391	16.2	9.65e-10	
ENSG00000287041		chr2	-	202137570	202149627	0.158	0.889	1
ENSG00000104327	CALB1	chr8	-	90058608	90095475	-15.3	7.67e-06	
ENSG00000222035	KIAA2012-AS1	chr2	-	202075410	202117062	0.0171	0.986	1
ENSG00000155760	FZD7	chr2	+	202033855	202038441	0.0642	0.492	1
ENSG00000273209		chr2	-	202032770	202033537	-0.419	0.694	1
ENSG00000003393	ALS2	chr2	-	201700267	201782112	0.0372	0.733	1
ENSG00000287133		chr2	+	201643398	201645990	0.424	0.785	1
ENSG00000155754	C2CD6	chr2	-	201487421	201619178	-0.227	0.902	1
ENSG00000115993	TRAK2	chr2	-	201377207	201451500	0.0859	0.5	1
ENSG00000064012	CASP8	chr2	+	201233443	201361836	-0.0644	0.908	1
ENSG00000119013	NDUFB3	chr2	+	201071433	201085750	-0.0207	0.889	1
ENSG00000155744	HYCC2	chr2	-	200973718	201071671	-0.0942	0.283	1
ENSG00000115942	ORC2	chr2	-	200908977	200963680	0.0822	0.39	1
ENSG00000196290	NIF3L1	chr2	+	200889327	200903938	0.0823	0.5	1
ENSG00000240344	PPIL3	chr2	-	200870907	200889303	-0.0184	0.884	1
ENSG00000013441	CLK1	chr2	-	200853009	200864691	0.0455	0.806	1
ENSG00000203618	GP1BB	chr22	+	19723539	19724771	0.428	0.672	1
ENSG00000082153	BZW1	chr2	+	200810594	200827338	-0.0368	0.648	1
ENSG00000138356	AOX1	chr2	+	200586014	200677064	-0.688	0.725	1
ENSG00000269961	ERBIN-DT	chr5	-	65924629	65925135	1.58	0.3	1
ENSG00000163535	SGO2	chr2	+	200510008	200584096	-0.0588	0.575	1
ENSG00000155729	KCTD18	chr2	-	200488958	200519784	0.138	0.491	1
ENSG00000248362		chr5	-	147886086	147886878	0.95	0.675	
ENSG00000287299		chr2	-	200390666	200478018	0.113	0.855	1
ENSG00000196141	SPATS2L	chr2	+	200305881	200482264	0.0489	0.402	1
ENSG00000162972	MAIP1	chr2	+	199955317	200008540	-0.16	0.241	1
ENSG00000232732		chr2	-	199867396	199911159	1.05	0.571	
ENSG00000104549	SQLE	chr8	+	124998497	125022283	0.0242	0.823	1
ENSG00000250608	NUDT16-DT	chr3	-	131325092	131381656	0.104	0.831	1
ENSG00000225953	SATB2-AS1	chr2	+	199457689	199476935	0.494	0.49	1
ENSG00000231074	HCG18	chr6	-	30286690	30327382	-0.00229	0.988	1
ENSG00000119042	SATB2	chr2	-	199269505	199471266	0.31	0.467	1
ENSG00000261242		chr14	+	63543569	63544664	1.13	0.308	1
ENSG00000225377	NRSN2-AS1	chr20	-	316860	348490	0.117	0.711	1
ENSG00000134030	CTIF	chr18	+	48539031	48863217	-0.12	0.346	1
ENSG00000164237	CMBL	chr5	-	10275875	10307902	-0.0915	0.529	1
ENSG00000287493		chr12	-	121887540	121888643	-1.1	0.606	1
ENSG00000171914	TLN2	chr15	+	62390526	62844631	0.144	0.209	1
ENSG00000140015	KCNH5	chr14	-	62699464	63102037	0.41	0.756	1
ENSG00000175183	CSRP2	chr12	-	76858709	76879023	0.0842	0.461	1
ENSG00000067798	NAV3	chr12	+	77324641	78213010	0.202	0.482	1
ENSG00000139973	SYT16	chr14	+	61811974	62112550	0.291	0.0625	1
ENSG00000109323	MANBA	chr4	-	102630770	102760994	0.163	0.0542	1
ENSG00000232774	LINC03033	chr14	+	61570405	61658696	-0.0694	0.787	1
ENSG00000128594	LRRC4	chr7	-	128027071	128032107	0.904	0.233	1
ENSG00000179761	PIPOX	chr17	+	28950513	29057216	-0.169	0.654	1
ENSG00000247287	PRKCH-AS1	chr14	-	61294909	61322838	0.248	0.0559	1
ENSG00000020426	MNAT1	chr14	+	60734742	60969965	0.277	0.0298	0.817
ENSG00000260473		chr12	+	51815043	51842106	1.53	0.672	1
ENSG00000261204		chr19	-	637105	637537	1.39	0.233	1
ENSG00000254718		chr14	-	60240121	60248765	-0.118	0.953	1
ENSG00000139970	RTN1	chr14	-	59595976	59870776	-0.895	0.668	1
ENSG00000257327		chr12	+	103841451	103844664	0.556	0.796	1
ENSG00000168476	REEP4	chr8	-	22138020	22141951	-0.122	0.245	1
ENSG00000100575	TIMM9	chr14	-	58408495	58427531	-0.0207	0.849	1
ENSG00000140600	SH3GL3	chr15	+	83447228	83618743	0.098	0.587	1
ENSG00000257621	PSMA3-AS1	chr14	-	58265365	58298134	0.0341	0.788	1
ENSG00000120992	LYPLA1	chr8	-	54046367	54102017	-0.147	0.146	1
ENSG00000135916	ITM2C	chr2	+	230864639	230879248	0.0668	0.372	1
ENSG00000258682		chr14	+	58264662	58269681	0.531	0.565	1
ENSG00000139977	NAA30	chr14	+	57390544	57415906	-0.0248	0.766	1
ENSG00000154511	DIPK1A	chr1	-	92832737	92961522	0.255	0.0603	1
ENSG00000286257		chr14	-	56951008	57060715	2.19	0.175	1
ENSG00000221882	OR3A2	chr17	-	3276177	3386317	3.36	0.134	
ENSG00000227544	LINC03013	chr7	+	35715032	35734924	1.87	0.699	
ENSG00000172458	IL17D	chr13	+	20702127	20723098	-0.44	0.0701	1
ENSG00000163623	NKX6-1	chr4	-	84491985	84499292	0.0453	0.99	
ENSG00000070269	TMEM260	chr14	+	56488354	56650606	0.0217	0.859	1
ENSG00000250222	TRIM7-AS2	chr5	+	181191856	181194434	0.228	0.865	1
ENSG00000275569		chr14	+	56305838	56306394	-1.19	0.606	1
ENSG00000267009		chr17	+	68413623	68524949	-0.831	0.669	1
ENSG00000139946	PELI2	chr14	+	56117814	56301524	0.00579	0.974	1
ENSG00000259868		chr14	+	55896443	55962970	-1.28	0.173	1
ENSG00000277534		chr18	-	26542971	26545791	0.0552	0.814	1
ENSG00000197021	EOLA2	chrX	-	149929527	149938700	-0.242	0.0231	0.719
ENSG00000126777	KTN1	chr14	+	55559072	55701526	0.0696	0.287	1
ENSG00000178974	FBXO34	chr14	+	55271344	55370053	-0.02	0.811	1
ENSG00000134533	RERG	chr12	-	15107783	15348675	-0.0162	0.992	1
ENSG00000141428	C18orf21	chr18	+	35972625	35979286	-0.0832	0.585	1
ENSG00000154079	SDHAF4	chr6	+	70566917	70589569	0.134	0.539	1
ENSG00000168175	MAPK1IP1L	chr14	+	55051647	55070194	-0.00383	0.958	1
ENSG00000125378	BMP4	chr14	-	53949736	53958761	-0.112	0.555	1
ENSG00000100523	DDHD1	chr14	-	53036745	53153323	0.0207	0.797	1
ENSG00000087301	TXNDC16	chr14	-	52430596	52552522	-0.0811	0.558	1
ENSG00000256139		chr12	+	109111218	109125594	-0.324	0.733	1
ENSG00000087302	RTRAF	chr14	+	51989514	52010694	-0.0763	0.368	1
ENSG00000108417	KRT37	chr17	-	41420547	41424585	-0.9	0.744	1
ENSG00000135124	P2RX4	chr12	+	121210065	121234106	0.265	0.018	0.651
ENSG00000274943		chr12	+	42361267	42361703	-0.79	0.328	1
ENSG00000266921	ZNF230-DT	chr19	-	43996896	44003298	-1.13	0.328	1
ENSG00000110844	PRPF40B	chr12	+	49568218	49644666	0.0167	0.915	1
ENSG00000258479	LINC00640	chr14	+	51333068	51365557	0.36	0.543	1
ENSG00000100505	TRIM9	chr14	-	50975262	51096061	-0.393	0.00477	0.256
ENSG00000100504	PYGL	chr14	-	50857891	50944483	-0.0324	0.691	1
ENSG00000153789	CIBAR2	chr16	-	85098358	85112472	-0.737	0.641	1
ENSG00000263823		chr18	+	31942575	31944162	-0.289	0.273	1
ENSG00000198513	ATL1	chr14	+	50532509	50634017	0.252	0.481	1
ENSG00000183476	SH2D7	chr15	+	78077808	78104370	-0.441	0.602	1
ENSG00000242732	RTL5	chrX	-	72127110	72131915	-0.13	0.551	1
ENSG00000137699	TRIM29	chr11	-	120111286	120185529	0.187	0.501	1
ENSG00000165525	NEMF	chr14	-	49782083	49852821	0.186	0.0138	0.546
ENSG00000257176		chr12	-	29277955	29317848	-0.295	0.625	1
ENSG00000100479	POLE2	chr14	-	49643555	49688422	-0.271	0.315	1
ENSG00000261026		chr8	-	22679013	22684009	0.782	0.488	1
ENSG00000151725	CENPU	chr4	-	184694085	184734130	0.0106	0.924	1
ENSG00000185798	WDR53	chr3	-	196554177	196568674	0.0755	0.716	1
ENSG00000184056	VPS33B	chr15	-	90998673	91022603	-0.1	0.515	1
ENSG00000165506	DNAAF2	chr14	-	49625174	49635244	0.199	0.248	1
ENSG00000258377		chr14	-	49620815	49623480	0.0201	0.985	1
ENSG00000168282	MGAT2	chr14	+	49620799	49623481	0.317	0.117	1
ENSG00000158985	CDC42SE2	chr5	+	131245493	131398447	0.0913	0.429	1
ENSG00000198718	TOGARAM1	chr14	+	44962190	45074431	0.0185	0.848	1
ENSG00000179454	KLHL28	chr14	-	44924324	45042322	-0.0798	0.379	1
ENSG00000196655	TRAPPC4	chr11	+	119018763	119025454	-0.216	0.0825	1
ENSG00000130821	SLC6A8	chrX	+	153687926	153696588	-0.814	1.4e-22	5.63e-20
ENSG00000272940		chr22	+	50597152	50597599	0.00859	0.997	1
ENSG00000236333	TRHDE-AS1	chr12	-	72249964	72276954	0.103	0.393	1
ENSG00000147251	DOCK11	chrX	+	118495815	118686163	0.0906	0.321	1
ENSG00000242516	LINC00960	chr3	+	75672251	75742048	-0.0234	0.9	1
ENSG00000165355	FBXO33	chr14	-	39397684	39432466	-0.132	0.273	1
ENSG00000001497	LAS1L	chrX	-	65438549	65534810	0.119	0.297	1
ENSG00000172345	STARD5	chr15	-	81309053	81324183	-0.135	0.551	1
ENSG00000182400	TRAPPC6B	chr14	-	39147811	39170532	0.0705	0.548	1
