gene_ID	hgnc_symbol	chr	strand	start	end	SIX3_PTC_log2FoldChange	SIX3_PTC_pvalue	SIX3_PTC_padj
ENSG00000205611	LINC01597	chr20	-	30278906	30289956	-0.0445	0.939	
ENSG00000287569		chr20	+	26009792	26011243	0.173	0.3	0.637
ENSG00000125804	FAM182A	chr20	+	25985210	26086917	-0.184	0.51	0.795
ENSG00000131669	NINJ1	chr9	-	93121496	93134251	-0.231	0.136	0.426
ENSG00000175170	FAM182B	chr20	-	25762384	25868225	0.446	0.484	
ENSG00000289895		chr20	-	47358373	47358858	1.46	0.204	
ENSG00000226465		chr20	+	25697003	25752857	0.853	0.0237	0.148
ENSG00000130684	ZNF337	chr20	-	25673195	25696853	-0.0571	0.48	0.773
ENSG00000170191	NANP	chr20	-	25612935	25624014	0.0201	0.846	0.949
ENSG00000101004	NINL	chr20	-	25451594	25585531	0.00504	0.943	0.984
ENSG00000274414		chr20	-	25239007	25245229	0.0218	0.992	
ENSG00000230725		chr20	-	25139652	25149372	0.333	0.594	
ENSG00000101474	APMAP	chr20	-	24962925	24992751	-0.0865	0.0879	0.334
ENSG00000101463	SYNDIG1	chr20	+	24469629	24666616	-0.209	0.235	0.565
ENSG00000164284	GRPEL2	chr5	+	149345430	149354583	0.0164	0.769	0.922
ENSG00000125814	NAPB	chr20	-	23374519	23421519	0.0558	0.583	0.835
ENSG00000174473	GALNTL6	chr4	+	171812254	173041559	0.0565	0.976	
ENSG00000232645	LINC01431	chr20	-	23356586	23358175	-0.114	0.842	
ENSG00000132661	NXT1	chr20	+	23350791	23354771	-0.123	0.224	0.554
ENSG00000230387		chr20	+	23179272	23190419	0.0964	0.96	
ENSG00000178726	THBD	chr20	-	23045633	23049672	-1.16	0.105	
ENSG00000146859	TMEM140	chr7	+	135148072	135166215	-0.911	0.464	
ENSG00000124659	TBCC	chr6	-	42744498	42746103	-0.22	0.0326	0.182
ENSG00000088930	XRN2	chr20	+	21303331	21389825	-0.106	0.0149	0.109
ENSG00000275457		chr20	-	21302731	21303704	-0.572	0.197	0.518
ENSG00000088970	KIZ	chr20	+	21125983	21246622	-0.573	4.06e-13	3.72e-11
ENSG00000089101	CFAP61	chr20	+	20052514	20360703	-0.029	0.963	
ENSG00000101343	CRNKL1	chr20	-	20034368	20056046	-0.12	0.0416	0.213
ENSG00000164305	CASP3	chr4	-	184627696	184650062	-0.159	0.00871	0.0745
ENSG00000173418	NAA20	chr20	+	20017310	20033655	-0.0628	0.449	0.756
ENSG00000268628		chr20	-	19756390	19758037	-0.208	0.792	
ENSG00000179935	LINC00652	chr20	-	18786065	18794579	0.122	0.875	
ENSG00000119523	ALG2	chr9	-	99216425	99221942	0.0803	0.284	0.62
ENSG00000101310	SEC23B	chr20	+	18507520	18561415	-0.0248	0.662	0.876
ENSG00000089050	RBBP9	chr20	-	18486540	18497225	-0.137	0.0525	0.247
ENSG00000232838	PET117	chr20	+	18137863	18143169	0.228	0.0315	0.179
ENSG00000125871	MGME1	chr20	+	17969018	17991122	-0.0896	0.195	0.517
ENSG00000089006	SNX5	chr20	-	17941597	17968980	0.0755	0.169	0.477
ENSG00000226179	LINC00685	chrX	+	320990	321851	-0.271	0.561	0.824
ENSG00000125844	RRBP1	chr20	-	17613678	17682295	-0.0735	0.35	0.681
ENSG00000128254	YWHAH-AS1	chr22	-	31925519	31945518	0.906	0.00834	0.0721
ENSG00000125868	DSTN	chr20	+	17570075	17609919	0.0686	0.201	0.524
ENSG00000125864	BFSP1	chr20	-	17493905	17569220	-0.335	0.784	
ENSG00000125870	SNRPB2	chr20	+	16729961	16742564	-0.0975	0.102	0.363
ENSG00000135069	PSAT1	chr9	+	78297125	78330093	-0.0774	0.124	0.403
ENSG00000089177	KIF16B	chr20	-	16272104	16573448	0.153	0.0431	0.217
ENSG00000107140	TESK1	chr9	+	35605262	35610041	-0.107	0.362	0.691
ENSG00000235897	TM4SF19-AS1	chr3	+	196318330	196325570	0.19	0.708	0.898
ENSG00000125848	FLRT3	chr20	-	14322985	14337614	-0.0154	0.895	0.97
ENSG00000172264	MACROD2	chr20	+	13995369	16053197	0.116	0.371	0.698
ENSG00000101251	SEL1L2	chr20	-	13849247	13996443	1.02	0.172	
ENSG00000089048	ESF1	chr20	-	13714322	13784919	0.168	0.00569	0.0544
ENSG00000278153		chr20	-	13368291	13368703	2.53	0.177	
ENSG00000113240	CLK4	chr5	-	178602664	178630615	0.0976	0.312	0.648
ENSG00000132640	BTBD3	chr20	+	11890723	11926609	0.344	1.48e-12	1.24e-10
ENSG00000287754		chr20	-	11566484	11581335	0.291	0.824	
ENSG00000270177	PPP2CA-DT	chr5	+	134226410	134227827	0.216	0.621	0.853
ENSG00000270792		chr20	+	10672695	10994924	1.05	0.33	
ENSG00000285723		chr20	-	10420546	10420737	-0.189	0.516	0.797
ENSG00000285508		chr20	-	10413520	10431922	0.223	0.167	0.475
ENSG00000291121		chr7	-	77083681	77122340	0.0417	0.902	0.973
ENSG00000101353	MROH8	chr20	-	37101226	37179588	-0.543	0.108	0.375
ENSG00000125863	MKKS	chr20	-	10401009	10434222	-0.181	0.00792	0.0691
ENSG00000203999	LINC01270	chr20	+	50292709	50315488	0.141	0.603	0.845
ENSG00000228544	CCDC183-AS1	chr9	-	136803927	136808848	0.295	0.274	0.61
ENSG00000132639	SNAP25	chr20	+	10172395	10308258	0.534	0.058	0.261
ENSG00000101977	MCF2	chrX	-	139581770	139708216	0.842	0.423	
ENSG00000132623	ANKEF1	chr20	+	9986126	10058303	0.248	0.0133	0.1
ENSG00000182621	PLCB1	chr20	+	8077251	8968360	-0.258	0.0018	0.0221
ENSG00000229766	TMX4-AS1	chr20	+	8019180	8043512	-0.911	0.509	
ENSG00000099995	SF3A1	chr22	-	30331988	30356919	-0.0611	0.168	0.476
ENSG00000125845	BMP2	chr20	+	6767686	6780246	-0.381	9.74e-06	0.000255
ENSG00000278192		chr20	-	6065966	6067897	-0.566	0.67	
ENSG00000125872	LRRN4	chr20	-	6040546	6054060	0.0637	0.964	
ENSG00000275632		chr20	+	6000418	6000941	0.255	0.532	0.806
ENSG00000125885	MCM8	chr20	+	5950652	5998977	-0.00923	0.86	0.955
ENSG00000197343	ZNF655	chr7	+	99558406	99576453	-0.000633	0.991	0.998
ENSG00000089199	CHGB	chr20	+	5911510	5925353	0.0976	0.563	0.825
ENSG00000171984	SHLD1	chr20	+	5750393	5864395	-0.116	0.59	0.838
ENSG00000125772	GPCPD1	chr20	-	5544439	5611006	0.0077	0.903	0.973
ENSG00000205181	LINC00654	chr20	-	5482736	5526709	0.32	0.639	
ENSG00000188996	HUS1B	chr6	-	655939	657100	-0.0479	0.939	
ENSG00000101292	PROKR2	chr20	-	5299218	5316954	0.211	0.789	
ENSG00000101290	CDS2	chr20	+	5126879	5197887	-0.0256	0.601	0.843
ENSG00000132646	PCNA	chr20	-	5114953	5126626	-0.0932	0.0721	0.3
ENSG00000178234	GALNT11	chr7	+	152025674	152122340	0.00978	0.887	0.966
ENSG00000047662	FAM184B	chr4	-	17629306	17781621	0.93	0.513	
ENSG00000276768		chr20	-	5049857	5050321	-0.704	0.5	
ENSG00000171873	ADRA1D	chr20	-	4220630	4249287	2.26	0.139	
ENSG00000101236	RNF24	chr20	-	3927309	4015558	-0.322	8.22e-06	0.000218
ENSG00000125779	PANK2	chr20	+	3888839	3929887	0.0736	0.242	0.574
ENSG00000120262	CCDC170	chr6	+	151494017	151621193	-0.224	0.844	
ENSG00000229539	PANK2-AS1	chr20	-	3887289	3889173	0.175	0.423	0.737
ENSG00000088888	MAVS	chr20	+	3846799	3876123	0.0117	0.934	0.982
ENSG00000125843	AP5S1	chr20	+	3820524	3828838	-0.101	0.55	0.817
ENSG00000101224	CDC25B	chr20	+	3786772	3806121	-0.544	4.11e-08	1.76e-06
ENSG00000101222	SPEF1	chr20	-	3777504	3781448	0.644	0.576	
ENSG00000101220	ADISSP	chr20	-	3753508	3767781	-0.119	0.127	0.409
ENSG00000132622	HSPA12B	chr20	+	3732685	3753111	0.287	0.38	0.703
ENSG00000213600		chr3	+	50239618	50239984	0.404	0.563	
ENSG00000149451	ADAM33	chr20	-	3667965	3682246	0.0573	0.828	0.944
ENSG00000167011	NAT16	chr7	-	101170496	101180293	0.726	0.283	
ENSG00000106633	GCK	chr7	-	44143213	44198170	0.0986	0.939	
ENSG00000288577		chr20	+	3406380	3410036	-0.389	0.564	
ENSG00000088836	SLC4A11	chr20	-	3227417	3239559	0.273	0.0507	0.241
ENSG00000289494		chr20	-	3208025	3209476	0.184	0.572	0.83
ENSG00000198171	DDRGK1	chr20	-	3190350	3204685	0.0553	0.466	0.766
ENSG00000289183		chr20	+	3173685	3175474	0.222	0.598	0.843
ENSG00000088899	LZTS3	chr20	-	3162617	3173549	0.0851	0.439	0.748
ENSG00000275074	NUDT18	chr8	-	22106874	22109419	0.0677	0.876	0.962
ENSG00000185019	UBOX5	chr20	-	3107573	3160196	-0.0211	0.83	0.944
ENSG00000125901	MRPS26	chr20	+	3046052	3048250	-0.114	0.186	0.503
ENSG00000125787	GNRH2	chr20	+	3043622	3045747	0.206	0.837	
ENSG00000132635	PCED1A	chr20	-	2835314	2841190	-0.0465	0.678	0.884
ENSG00000163683	SMIM14	chr4	-	39546336	39638902	0.177	0.0369	0.197
ENSG00000088882	CPXM1	chr20	-	2794074	2800627	-0.0849	0.102	0.363
ENSG00000088881	EBF4	chr20	+	2692780	2760108	0.315	0.154	0.454
ENSG00000228293	IDH3B-DT	chr20	+	2664352	2665874	0.33	0.806	
ENSG00000101365	IDH3B	chr20	-	2658395	2664219	-0.0575	0.427	0.739
ENSG00000101361	NOP56	chr20	+	2652593	2658393	0.0972	0.162	0.466
ENSG00000125835	SNRPB	chr20	-	2461634	2470853	-0.15	0.00173	0.0215
ENSG00000125780	TGM3	chr20	+	2296001	2341079	-0.446	0.683	
ENSG00000226644		chr20	+	2207217	2213151	-0.025	0.974	
ENSG00000125834	STK35	chr20	+	2101827	2177038	-0.0427	0.345	0.677
ENSG00000233896	PDYN-AS1	chr20	+	1947246	2030028	-0.508	0.805	
ENSG00000276649		chr20	-	1888128	1894374	-0.219	0.503	0.79
ENSG00000101307	SIRPB1	chr20	-	1561385	1620061	-0.506	0.138	0.429
ENSG00000088833	NSFL1C	chr20	-	1442162	1473842	-0.13	0.0204	0.134
ENSG00000125775	SDCBP2	chr20	-	1309909	1329139	-0.677	0.0459	0.226
ENSG00000125895	TMEM74B	chr20	-	1180561	1185415	0.633	0.198	0.52
ENSG00000286787		chr20	-	1023874	1118493	0.601	0.141	0.434
ENSG00000154545	MAGED4	chrX	+	52184876	52192268	-0.00783	0.899	0.971
ENSG00000101282	RSPO4	chr20	-	958452	1002311	0.00922	0.944	0.984
ENSG00000101276	SLC52A3	chr20	-	760080	776015	0.16	0.504	0.79
ENSG00000130055	GDPD2	chrX	+	70423031	70433390	-0.00123	0.994	0.999
ENSG00000125878	TCF15	chr20	-	604257	610309	0.07	0.886	0.966
ENSG00000101266	CSNK2A1	chr20	-	472498	543835	-0.0278	0.498	0.786
ENSG00000125875	TBC1D20	chr20	-	423596	462566	-0.101	0.103	0.365
ENSG00000101255	TRIB3	chr20	+	362835	397559	0.156	0.551	0.817
ENSG00000177732	SOX12	chr20	+	325552	330224	-0.119	0.0499	0.239
ENSG00000272677	HNRNPD-DT	chr4	+	82374142	82384027	-0.239	0.701	
ENSG00000196476	C20orf96	chr20	-	270863	290778	0.0559	0.699	0.894
ENSG00000244588	RAD21L1	chr20	+	1226044	1296421	-0.0822	0.949	
ENSG00000232112	TMA7	chr3	+	48440257	48444208	-0.233	3.27e-06	9.68e-05
ENSG00000291147		chr2	+	242088633	242175997	0.186	0.439	0.748
ENSG00000224945		chr9	-	89088604	89109934	0.22	0.688	0.889
ENSG00000233806	LINC01237	chr2	+	241881363	242078722	0.0258	0.881	0.963
ENSG00000168395	ING5	chr2	+	241687085	241729478	0.0284	0.627	0.857
ENSG00000168397	ATG4B	chr2	+	241637213	241673857	0.077	0.245	0.578
ENSG00000176720	BOK	chr2	+	241551424	241574131	0.092	0.6	0.843
ENSG00000115694	STK25	chr2	-	241492670	241509730	-0.028	0.628	0.858
ENSG00000229587		chr9	-	75009828	75016036	0.114	0.861	
ENSG00000168385	SEPTIN2	chr2	+	241315100	241354027	-0.0393	0.378	0.703
ENSG00000115677	HDLBP	chr2	-	241227264	241317061	-0.0942	0.0178	0.122
ENSG00000146205	ANO7	chr2	+	241188509	241225976	-0.0157	0.952	0.986
ENSG00000115687	PASK	chr2	-	241106099	241150264	0.0939	0.116	0.39
ENSG00000137203	TFAP2A	chr6	-	10393186	10419659	2.31	0.0014	
ENSG00000227375	DLG1-AS1	chr3	+	197298252	197303755	-1	0.328	
ENSG00000289253		chr2	+	241102451	241103635	1.28	0.13	
ENSG00000122085	MTERF4	chr2	-	241072169	241102332	0.0101	0.89	0.967
ENSG00000087087	SRRT	chr7	+	100875103	100888664	-0.0221	0.73	0.908
ENSG00000130294	KIF1A	chr2	-	240713761	240824293	0.243	1.93e-05	0.000467
ENSG00000178623	GPR35	chr2	+	240605430	240633159	0.39	0.56	
ENSG00000142330	CAPN10	chr2	+	240586734	240617705	0.0423	0.638	0.863
ENSG00000290870		chr6	-	29849550	29885615	0.576	0.488	
ENSG00000172667	ZMAT3	chr3	-	178960121	179072215	0.0402	0.551	0.817
ENSG00000260942	CAPN10-DT	chr2	-	240582700	240586699	-0.00976	0.949	0.985
ENSG00000142327	RNPEPL1	chr2	+	240565804	240581372	0.0183	0.899	0.971
ENSG00000142178	SIK1	chr21	-	43414483	43427131	-0.0754	0.591	0.84
ENSG00000144504	ANKMY1	chr2	-	240479422	240569209	0.175	0.245	0.578
ENSG00000182508	LHFPL1	chrX	-	112630648	112680054	-0.0639	0.762	0.92
ENSG00000063660	GPC1	chr2	+	240435663	240468076	-0.0855	0.13	0.415
ENSG00000232006		chr7	-	42954135	43113931	-0.53	0.454	
ENSG00000204228	HSD17B8	chr6	+	33204655	33206831	-0.0642	0.755	0.917
ENSG00000130414	NDUFA10	chr2	-	239892450	240025743	-0.0197	0.735	0.91
ENSG00000289324		chr3	+	125375372	125376682	0.134	0.837	
ENSG00000222020	HDAC4-AS1	chr2	+	239401436	239402657	-0.718	0.257	
ENSG00000160999	SH2B2	chr7	+	102285091	102321711	-0.151	0.284	0.62
ENSG00000160188	RSPH1	chr21	-	42472486	42496246	0.28	0.533	0.807
ENSG00000068024	HDAC4	chr2	-	239048168	239401654	0.0878	0.142	0.435
ENSG00000233608	TWIST2	chr2	+	238848032	238910534	-0.118	0.772	0.923
ENSG00000065802	ASB1	chr2	+	238426742	238452250	0.00743	0.905	0.973
ENSG00000204104	TRAF3IP1	chr2	+	238320441	238400897	0.057	0.475	0.77
ENSG00000283635		chr2	+	238289127	238300185	0.497	0.681	
ENSG00000186235	LINC02610	chr2	-	238224552	238231711	0.251	0.676	
ENSG00000132323	ILKAP	chr2	-	238170402	238203708	-0.0588	0.545	0.814
ENSG00000272256		chr8	+	30082758	30083467	0.102	0.964	
ENSG00000144488	ESPNL	chr2	+	238100340	238133287	0.344	0.536	
ENSG00000132330	SCLY	chr2	+	238060924	238099413	0.167	0.021	0.137
ENSG00000184182	UBE2F	chr2	+	237966827	238042782	-0.166	0.0224	0.142
ENSG00000177483	RBM44	chr2	+	237798389	237842808	-0.701	0.342	
ENSG00000288848		chr3	+	105869180	105870509	0.293	0.396	0.716
ENSG00000124831	LRRFIP1	chr2	+	237627587	237813682	0.143	0.0484	0.234
ENSG00000115648	MLPH	chr2	+	237485428	237555322	0.209	0.527	0.803
ENSG00000168393	DTYMK	chr2	-	241675747	241686944	-0.219	0.00277	0.031
ENSG00000163359	COL6A3	chr2	-	237324003	237414328	-0.43	0.0155	0.112
ENSG00000185972	CCIN	chr9	+	36169388	36171334	0.0416	0.973	
ENSG00000198612	COPS8	chr2	+	237085882	237100474	-0.0739	0.199	0.521
ENSG00000173198	CYSLTR1	chrX	-	78271468	78327691	0.466	0.786	
ENSG00000227252	COPS8-DT	chr2	-	236910797	237085838	-0.0243	0.882	0.964
ENSG00000144476	ACKR3	chr2	+	236567787	236582354	-0.31	0.23	0.56
ENSG00000132321	IQCA1	chr2	-	236324147	236507535	0.185	0.115	0.387
ENSG00000157985	AGAP1	chr2	+	235494043	236131793	-0.00503	0.916	0.976
ENSG00000130147	SH3BP4	chr2	+	234952017	235055714	-0.194	0.00034	0.00582
ENSG00000188042	ARL4C	chr2	-	234493041	234497081	0.0425	0.383	0.706
ENSG00000288040		chr2	-	234351247	234356038	-2.84	0.0404	
ENSG00000144481	TRPM8	chr2	+	233917373	234019522	0.0255	0.812	0.937
ENSG00000259793		chr2	-	233351132	233353416	-0.967	0.42	
ENSG00000085978	ATG16L1	chr2	+	233210051	233295674	0.0385	0.573	0.83
ENSG00000168918	INPP5D	chr2	+	233059967	233207903	-0.349	0.241	0.573
ENSG00000066248	NGEF	chr2	-	232878701	233013256	0.166	0.553	0.818
ENSG00000182600	SNORC	chr2	+	232857270	232878708	0.963	0.096	
ENSG00000115474	KCNJ13	chr2	-	232765802	232776565	0.165	0.413	0.73
ENSG00000204120	GIGYF2	chr2	+	232697299	232860605	0.0569	0.269	0.604
ENSG00000115468	EFHD1	chr2	+	232606057	232682776	0.0507	0.744	0.915
ENSG00000135930	EIF4E2	chr2	+	232550659	232583644	-0.0519	0.29	0.628
ENSG00000221944	TIGD1	chr2	-	232543883	232550557	0.197	0.044	0.22
ENSG00000171551	ECEL1	chr2	-	232479827	232487834	-0.0315	0.813	0.937
ENSG00000254087	LYN	chr8	+	55879835	56014169	-0.196	0.0629	0.275
ENSG00000144524	COPS7B	chr2	+	231781671	231809254	-0.0872	0.135	0.425
ENSG00000171596	NMUR1	chr2	-	231523187	231530445	-0.828	0.316	
ENSG00000181798	LINC00471	chr2	-	231508420	231514396	0.111	0.646	0.866
ENSG00000115053	NCL	chr2	-	231453531	231483641	-0.0359	0.42	0.735
ENSG00000269846		chr20	+	37095785	37097178	-0.426	0.48	
ENSG00000156966	B3GNT7	chr2	+	231395710	231401164	0.0287	0.85	0.951
ENSG00000224376		chr2	+	231388976	231394992	1.46	0.0929	
ENSG00000173692	PSMD1	chr2	+	231056845	231173116	-0.0836	0.0492	0.236
ENSG00000100285	NEFH	chr22	+	29480218	29491390	0.369	0.0845	0.327
ENSG00000233393		chr21	+	36104881	36109690	0.586	0.481	
ENSG00000135932	CAB39	chr2	+	230712842	230821075	-0.0413	0.451	0.757
ENSG00000226125	LINC01907	chr2	-	230690065	230700529	0.349	0.812	
ENSG00000120533	ENY2	chr8	+	109334324	109345954	-0.0555	0.379	0.703
ENSG00000067066	SP100	chr2	+	230415942	230545606	-0.679	0.459	
ENSG00000185404	SP140L	chr2	+	230327184	230403732	-0.48	0.531	
ENSG00000079263	SP140	chr2	+	230203110	230313215	-0.478	0.667	
ENSG00000135899	SP110	chr2	-	230165186	230225729	-0.434	0.0361	0.194
ENSG00000225963		chr2	+	230121370	230174223	-0.369	0.71	
ENSG00000153832	FBXO36	chr2	+	229922302	230013119	0.148	0.213	0.539
ENSG00000153823	PID1	chr2	-	228850526	229271287	0.315	0.323	0.657
ENSG00000153820	SPHKAP	chr2	-	227979955	228181687	-0.553	0.789	
ENSG00000123977	DAW1	chr2	+	227871054	227924344	-1.11	0.228	
ENSG00000273219		chr7	+	135704537	135704841	0.0536	0.962	
ENSG00000173744	AGFG1	chr2	+	227472152	227561217	0.0725	0.123	0.401
ENSG00000168958	MFF	chr2	+	227325151	227357833	-0.00875	0.881	0.964
ENSG00000236432	MFF-DT	chr2	-	227221052	227325711	0.103	0.631	0.86
ENSG00000213079	SCAF8	chr6	+	154733378	154834244	0.0467	0.259	0.593
ENSG00000144468	RHBDD1	chr2	+	226835581	226999215	0.0729	0.276	0.613
ENSG00000100227	POLDIP3	chr22	-	42583721	42614962	-0.139	0.00219	0.0257
ENSG00000290086		chr2	-	226835333	226835943	0.242	0.86	
ENSG00000261379		chr2	+	226804036	226805061	0.653	0.658	
ENSG00000272622		chr2	+	226800146	226813741	0.397	0.806	
ENSG00000169047	IRS1	chr2	-	226731312	226799820	0.0315	0.636	0.862
ENSG00000036257	CUL3	chr2	-	224470150	224585397	-0.091	0.0619	0.272
ENSG00000197415	VEPH1	chr3	-	157259742	157533619	0.322	0.652	
ENSG00000085449	WDFY1	chr2	-	223855716	223945357	0.105	0.0279	0.164
ENSG00000152056	AP1S3	chr2	-	223667680	223838027	-0.0304	0.836	0.947
ENSG00000113845	TIMMDC1	chr3	+	119498547	119525090	-0.115	0.0817	0.321
ENSG00000171951	SCG2	chr2	-	223596940	223602361	0.608	0.398	
ENSG00000272192	PDE7A-DT	chr8	+	65842138	65843345	-0.36	0.426	0.739
ENSG00000123983	ACSL3	chr2	+	222860942	222944639	0.204	0.000499	0.00796
ENSG00000124003	MOGAT1	chr2	+	222671658	222709930	0.984	0.391	
ENSG00000160201	U2AF1	chr21	-	43092956	43107570	0.00289	0.954	0.986
ENSG00000163082	SGPP2	chr2	+	222424543	222562621	1.59	7.45e-11	5.05e-09
ENSG00000291155	CT75	chr2	+	222318471	222352989	1.18	3.45e-07	1.23e-05
ENSG00000138764	CCNG2	chr4	+	77157207	77433388	-0.174	0.00201	0.024
ENSG00000215193	PEX26	chr22	+	18077923	18105396	0.0549	0.374	0.7
ENSG00000163081	CCDC140	chr2	+	222298147	222305217	3.31	0.0472	
ENSG00000272944		chr2	+	221572506	221574454	0.0355	0.854	0.952
ENSG00000116106	EPHA4	chr2	-	221418027	221574202	0.152	0.000137	0.00267
ENSG00000221869	CEBPD	chr8	-	47736913	47738164	-0.173	0.8	
ENSG00000224819		chr2	+	220776818	220855873	0.413	0.692	
ENSG00000114923	SLC4A3	chr2	+	219627394	219641980	0.292	0.0591	0.265
ENSG00000144589	STK11IP	chr2	+	219597857	219616451	-0.0278	0.801	0.934
ENSG00000268896		chr2	-	219547211	219547658	0.687	0.555	
ENSG00000188760	TMEM198	chr2	+	219543663	219550595	-0.0117	0.955	0.986
ENSG00000123989	CHPF	chr2	-	219538954	219543809	0.0315	0.765	0.921
ENSG00000072182	ASIC4	chr2	+	219514170	219538772	0.308	0.639	
ENSG00000072195	SPEG	chr2	+	219434843	219493629	0.00341	0.98	0.994
ENSG00000175084	DES	chr2	+	219418377	219426735	0.0862	0.736	0.911
ENSG00000054356	PTPRN	chr2	-	219289623	219309648	0.111	0.765	0.921
ENSG00000135924	DNAJB2	chr2	+	219279342	219286898	-0.0373	0.68	0.885
ENSG00000127824	TUBA4A	chr2	-	219249710	219277902	0.112	0.633	0.861
ENSG00000115661	STK16	chr2	+	219245455	219250337	-0.00967	0.925	0.98
ENSG00000163516	ANKZF1	chr2	+	219229783	219236679	0.0611	0.457	0.76
ENSG00000198925	ATG9A	chr2	-	219219380	219229717	-0.0407	0.508	0.793
ENSG00000176428	VPS37D	chr7	+	73667831	73672112	-0.32	0.0359	0.194
ENSG00000115657	ABCB6	chr2	-	219209772	219218994	0.043	0.688	0.889
ENSG00000124201	ZNFX1	chr20	-	49237946	49278426	0.107	0.146	0.443
ENSG00000158552	ZFAND2B	chr2	+	219195237	219209651	0.0436	0.763	0.92
ENSG00000290093		chr2	+	219177068	219177530	0.252	0.816	
ENSG00000102007	PLP2	chrX	+	49171898	49175235	0.34	0.233	0.564
ENSG00000115649	CNPPD1	chr2	-	219171897	219178106	-0.075	0.522	0.801
ENSG00000213901	SLC23A3	chr2	-	219161465	219170095	-0.214	0.833	
ENSG00000187736	NHEJ1	chr2	-	219069355	219160869	0.03	0.63	0.859
ENSG00000171450	CDK5R2	chr2	+	218959666	218962155	0.329	0.807	
ENSG00000287031		chr5	+	6378674	6411690	0.466	0.585	
ENSG00000288898		chr2	+	218909158	218939965	0.271	0.776	
ENSG00000180596	H2BC4	chr6	-	26086317	26123926	-0.268	1.84e-06	5.81e-05
ENSG00000289201		chr4	-	24457352	24472951	0.787	0.026	0.157
ENSG00000135929	CYP27A1	chr2	+	218781749	218815293	0.558	0.121	0.397
ENSG00000163482	STK36	chr2	+	218672069	218702716	0.192	0.00577	0.0549
ENSG00000074582	BCS1L	chr2	+	218658764	218663443	-0.0136	0.898	0.971
ENSG00000115568	ZNF142	chr2	-	218633329	218659655	0.0286	0.674	0.882
ENSG00000183535	COL18A1-AS1	chr21	-	45419716	45425070	-0.291	0.871	
ENSG00000144580	CNOT9	chr2	+	218568580	218597080	-0.00723	0.888	0.967
ENSG00000127831	VIL1	chr2	+	218419121	218453295	0.0819	0.918	
ENSG00000236548	RNF217-AS1	chr6	-	124644434	124963165	0.426	0.117	0.391
ENSG00000144579	CTDSP1	chr2	+	218397136	218405941	-0.109	0.0784	0.314
ENSG00000248736		chr5	+	2921496	2967955	-0.885	0.647	
ENSG00000018280	SLC11A1	chr2	+	218382029	218396894	0.294	0.827	
ENSG00000158428	CATIP	chr2	+	218356857	218368099	0.223	0.739	
ENSG00000135926	TMBIM1	chr2	-	218274197	218292586	0.016	0.872	0.96
ENSG00000127837	AAMP	chr2	-	218264129	218270178	-0.0678	0.262	0.597
ENSG00000289390		chr5	-	178203851	178204373	-0.361	0.554	
ENSG00000179921	GPBAR1	chr2	+	218259496	218263861	1.05	0.355	
ENSG00000163466	ARPC2	chr2	+	218217141	218254356	-0.127	0.00753	0.0668
ENSG00000125351	UPF3B	chrX	-	119834022	119852998	-0.0523	0.617	0.851
ENSG00000228107		chr21	+	36360630	36362040	0.139	0.748	0.916
ENSG00000079308	TNS1	chr2	-	217799588	218033982	-0.143	0.492	0.782
ENSG00000231672	DIRC3	chr2	-	217284019	217756593	0.351	0.457	0.761
ENSG00000233143	DIRC3-AS1	chr2	+	216694404	217336120	-0.125	0.618	0.852
ENSG00000115461	IGFBP5	chr2	-	216672105	216695549	-0.333	3.35e-07	1.21e-05
ENSG00000049768	FOXP3	chrX	-	49250438	49264800	0.104	0.813	0.937
ENSG00000165185	KIAA1958	chr9	+	112486827	112669397	0.0361	0.406	0.724
ENSG00000232485	RPL37A-DT	chr2	-	216479030	216498770	0.801	0.0953	0.349
ENSG00000138375	SMARCAL1	chr2	+	216412383	216483053	-0.196	0.00579	0.0551
ENSG00000075043	KCNQ2	chr20	-	63400208	63472677	-0.0646	0.375	0.701
ENSG00000101230	ISM1	chr20	+	13221274	13300651	0.825	0.0216	0.139
ENSG00000260804	LINC01963	chr2	+	216217045	216220192	0.0652	0.706	0.898
ENSG00000079246	XRCC5	chr2	+	216107464	216206303	-0.0578	0.189	0.507
ENSG00000118242	MREG	chr2	-	215942584	216034096	-0.00241	0.983	0.995
ENSG00000226276		chr2	-	215939308	215941719	-0.178	0.887	
ENSG00000104413	ESRP1	chr8	+	94641074	94707466	-0.0152	0.871	0.96
ENSG00000273396	LINC01396	chr4	+	4844188	4850827	0.486	0.531	
ENSG00000114209	PDCD10	chr3	-	167683298	167734939	-0.0833	0.21	0.534
ENSG00000087077	TRIP6	chr7	+	100867387	100873454	-0.057	0.502	0.789
ENSG00000230695	FN1-DT	chr2	+	215436253	215437122	-0.796	0.332	
ENSG00000134982	APC	chr5	+	112707518	112846239	0.124	0.0206	0.135
ENSG00000115414	FN1	chr2	-	215360440	215436073	-0.338	1.09e-09	5.99e-08
ENSG00000138376	BARD1	chr2	-	214725646	214809683	-0.0771	0.209	0.534
ENSG00000146842	TMEM209	chr7	-	130164713	130207770	0.0577	0.31	0.646
ENSG00000197585		chr2	-	214241676	214684246	-0.919	0.636	
ENSG00000144451	SPAG16	chr2	+	213284389	214410501	-0.172	0.042	0.214
ENSG00000196096	SPAG16-DT	chr2	-	213276552	213284205	1.29	0.328	
ENSG00000030419	IKZF2	chr2	-	212999691	213152427	-0.291	3.98e-05	0.000889
