gene_ID	hgnc_symbol	chr	strand	start	end	PITX1_PTC_log2FoldChange	PITX1_PTC_pvalue	PITX1_PTC_padj
ENSG00000274570	SPDYE10	chr7	-	73104008	73155431	-1.5	0.17	1
ENSG00000290832		chr7	-	72969696	73005922	0.0558	0.693	1
ENSG00000285886		chr7	+	72954797	72957106	0.127	0.896	1
ENSG00000164867	NOS3	chr7	+	150991017	151014588	0.319	0.393	1
ENSG00000290831	NSUN5P2	chr7	-	72947581	72954790	-0.00898	0.972	1
ENSG00000196313	POM121	chr7	+	72879349	72951440	-0.151	0.0155	0.649
ENSG00000291152		chr7	+	72829425	72837399	-0.158	0.234	1
ENSG00000158321	AUTS2	chr7	+	69598296	70793506	0.318	0.121	1
ENSG00000230358	SPDYE21	chr7	+	67276941	67289005	-1.67	0.313	1
ENSG00000273142	LINC02604	chr7	+	66902857	66906297	0.464	0.0872	1
ENSG00000289177		chr7	+	66845003	66845637	0.393	0.514	1
ENSG00000291206	GTF2IRD1P1	chr7	-	66809993	66844923	-2.06	0.486	1
ENSG00000272831		chr7	-	66739829	66740642	-0.0663	0.843	1
ENSG00000289015		chr7	-	66681258	66682042	-0.622	0.555	1
ENSG00000291136		chr7	-	66526088	66592397	0.243	0.0885	1
ENSG00000288841		chr9	+	131432759	131446473	-0.821	0.00258	0.201
ENSG00000179406	LINC00174	chr7	-	66376044	66493566	-0.0785	0.667	1
ENSG00000169902	TPST1	chr7	+	66205317	66420543	-0.101	0.586	1
ENSG00000241258	CRCP	chr7	+	66114604	66154568	-0.0309	0.815	1
ENSG00000126522	ASL	chr7	+	66075800	66094697	0.0814	0.624	1
ENSG00000169919	GUSB	chr7	-	65960684	65982215	-0.0466	0.69	1
ENSG00000291124		chr7	+	65751037	65764225	-0.0539	0.819	1
ENSG00000289108		chr7	-	65219563	65252413	-18	0.00036	
ENSG00000131773	KHDRBS3	chr8	+	135457456	135656722	-0.184	0.289	1
ENSG00000189316		chr7	-	64888527	64890100	0.321	0.873	1
ENSG00000287985		chr7	+	64369241	64375584	-0.329	0.793	1
ENSG00000101882	NKAP	chrX	-	119920672	119943751	0.0691	0.5	1
ENSG00000157741	UBN2	chr7	+	139230356	139308236	-0.0146	0.841	1
ENSG00000279072		chr7	-	56809214	56848800	1.27	0.414	1
ENSG00000129103	SUMF2	chr7	+	56064002	56080670	0.0378	0.617	1
ENSG00000146731	CCT6A	chr7	+	56051685	56063989	-0.0413	0.544	1
ENSG00000146729	NIPSNAP2	chr7	+	55951793	56000181	0.0857	0.557	1
ENSG00000120889	TNFRSF10B	chr8	-	23020133	23069031	0.0778	0.218	1
ENSG00000178665	ZNF713	chr7	+	55887456	55942530	-0.0287	0.918	1
ENSG00000291029		chr7	-	55681074	55689301	-0.0225	0.979	1
ENSG00000154978	VOPP1	chr7	-	55436056	55572988	0.0518	0.745	1
ENSG00000132434	LANCL2	chr7	+	55365337	55433737	-0.0629	0.651	1
ENSG00000280890	ELDR	chr7	-	55235965	55255635	-1.16	0.745	
ENSG00000224057	EGFR-AS1	chr7	-	55179750	55188977	-0.217	0.898	1
ENSG00000273056		chr9	-	7786105	7786688	-1.79	0.438	1
ENSG00000196367	TRRAP	chr7	+	98877933	99050831	0.0192	0.775	1
ENSG00000106078	COBL	chr7	-	51016212	51316818	-0.0458	0.603	1
ENSG00000106070	GRB10	chr7	-	50590063	50793462	-0.00548	0.942	1
ENSG00000132437	DDC	chr7	-	50458436	50565405	-0.0927	0.919	1
ENSG00000290114		chr7	+	50450421	50451984	0.498	0.762	1
ENSG00000185811	IKZF1	chr7	+	50304068	50405101	-0.569	0.387	1
ENSG00000188730	VWC2	chr7	+	49773638	49921950	2.56	0.256	1
ENSG00000218305	CDC14C	chr7	+	48924547	48927454	-0.605	0.667	1
ENSG00000158683	PKD1L1	chr7	-	47740202	47948466	0.04	0.955	1
ENSG00000236078	LINC01447	chr7	+	47608465	47629893	-0.304	0.561	1
ENSG00000146678	IGFBP1	chr7	+	45888360	45893660	0.975	0.726	1
ENSG00000283247	CCDC201	chr7	-	45859994	45873082	0.0326	0.964	1
ENSG00000106304	SPAM1	chr7	+	123925237	123971414	-0.62	0.0509	1
ENSG00000164742	ADCY1	chr7	+	45574140	45723116	-0.161	0.0319	0.892
ENSG00000136274	NACAD	chr7	-	45080437	45088969	-0.0409	0.824	1
ENSG00000136280	CCM2	chr7	+	44999475	45076469	0.0869	0.599	1
ENSG00000272768		chr7	+	44884953	44886393	-2.08	0.162	1
ENSG00000105968	H2AZ2	chr7	-	44826791	44848087	0.0795	0.418	1
ENSG00000196262	PPIA	chr7	+	44796680	44824564	-0.0455	0.474	1
ENSG00000105953	OGDH	chr7	+	44606572	44709066	-0.0923	0.126	1
ENSG00000136271	DDX56	chr7	-	44565804	44575051	-0.048	0.642	1
ENSG00000058404	CAMK2B	chr7	-	44210019	44334577	0.576	0.506	1
ENSG00000106624	AEBP1	chr7	+	44104345	44114562	-0.0147	0.873	1
ENSG00000122678	POLM	chr7	-	44072062	44082530	0.0439	0.799	1
ENSG00000164708	PGAM2	chr7	-	44062727	44065567	0.859	0.491	1
ENSG00000136279	DBNL	chr7	+	44044640	44069456	0.0703	0.416	1
ENSG00000288746		chr7	-	44043567	44045188	-0.141	0.791	1
ENSG00000235314	LINC00957	chr7	+	44039171	44042306	0.491	0.528	1
ENSG00000228434		chr7	-	44004046	44007866	0.781	0.00283	0.218
ENSG00000062582	MRPS24	chr7	-	43866558	43869893	-0.103	0.356	1
ENSG00000122133	PAEP	chr9	+	135561756	135566955	-0.0434	0.858	1
ENSG00000164543	STK17A	chr7	+	43582758	43650713	-0.162	0.149	1
ENSG00000147144	CCDC120	chrX	+	49053572	49069857	-0.0801	0.442	1
ENSG00000231638	LUARIS	chr7	-	43508728	43522542	-2.03	0.584	
ENSG00000002746	HECW1	chr7	+	43112629	43566001	-2.43	0.329	1
ENSG00000136197	C7orf25	chr7	-	42909273	42912305	-0.136	0.565	1
ENSG00000261019		chr7	-	42901272	42902639	0.812	0.486	1
ENSG00000106571	GLI3	chr7	-	41960949	42264100	0.13	0.243	1
ENSG00000224116	INHBA-AS1	chr7	+	41693884	41779388	56.2	7.63e-60	
ENSG00000224017	LINC01449	chr7	+	41089539	41133507	-0.842	0.792	
ENSG00000175600	SUGCT	chr7	+	40135005	40860763	0.0295	0.966	1
ENSG00000168303	MPLKIP	chr7	-	40126027	40134622	0.0314	0.794	1
ENSG00000289269		chr7	+	40064967	40065478	1.16	0.0819	1
ENSG00000065883	CDK13	chr7	+	39950121	40099580	-0.0139	0.856	1
ENSG00000006451	RALA	chr7	+	39623565	39708120	0.108	0.243	1
ENSG00000241127	YAE1	chr7	+	39566385	39610320	0.337	0.118	1
ENSG00000105983	LMBR1	chr7	-	156668946	156893216	-0.01	0.911	1
ENSG00000233854	POU6F2-AS2	chr7	-	38980370	39013551	-2.12	0.571	1
ENSG00000006715	VPS41	chr7	-	38722974	38932394	0.0332	0.656	1
ENSG00000078053	AMPH	chr7	-	38383704	38631420	-0.811	0.452	1
ENSG00000105810	CDK6	chr7	-	92604921	92836573	-0.0314	0.646	1
ENSG00000102245	CD40LG	chrX	+	136648158	136660390	0.549	0.757	1
ENSG00000281103	TRG-AS1	chr7	+	38330978	38378804	-0.574	0.644	1
ENSG00000279245	FAM223A	chrX	+	154571248	154571960	-1.41	0.514	1
ENSG00000211695	TRGV9	chr7	-	38317017	38318861	0.582	0.638	1
ENSG00000205268	PDE7A	chr8	-	65714334	65842322	0.00845	0.927	1
ENSG00000289746		chr7	-	38259643	38273636	-0.707	0.581	1
ENSG00000010270	STARD3NL	chr7	+	38178245	38230670	0.133	0.334	1
ENSG00000086289	EPDR1	chr7	+	37920640	37951936	-0.478	0.681	1
ENSG00000086288	NME8	chr7	+	37848597	37900397	-2.77	0.276	
ENSG00000187037	GPR141	chr7	+	37683766	37833788	0.327	0.583	1
ENSG00000155849	ELMO1	chr7	-	36852906	37449223	-0.122	0.0609	1
ENSG00000165694	FRMD7	chrX	-	132076990	132128020	0.0977	0.881	1
ENSG00000272984		chr7	-	36734004	36734535	0.24	0.909	1
ENSG00000164542	MATCAP2	chr7	-	36324152	36390125	0.0558	0.791	1
ENSG00000122547	EEPD1	chr7	+	36153254	36301538	-0.0828	0.494	1
ENSG00000261184		chr7	+	36095255	36100660	0.0788	0.956	1
ENSG00000287893		chr7	-	35976596	36028174	-0.0563	0.917	1
ENSG00000156006	NAT2	chr8	+	18391282	18401218	-0.0724	0.889	1
ENSG00000122545	SEPTIN7	chr7	+	35800932	35907110	-0.0142	0.823	1
ENSG00000271122	HERPUD2-AS1	chr7	+	35695214	35699413	0.161	0.552	1
ENSG00000288947		chr7	-	35200166	35202371	0.0714	0.433	1
ENSG00000287249		chr7	+	35036836	35125012	-1.36	0.506	1
ENSG00000236212		chr7	+	34209465	34299012	1.51	0.254	1
ENSG00000173862		chr7	+	33725981	33728456	0.826	0.589	1
ENSG00000164610	RP9	chr7	-	33094797	33109405	0.244	0.257	1
ENSG00000122642	FKBP9	chr7	+	32957404	33006930	0.0803	0.494	1
ENSG00000105778	AVL9	chr7	+	32495426	32588726	0.0419	0.662	1
ENSG00000106355	LSM5	chr7	-	32485338	32495283	-0.099	0.368	1
ENSG00000154678	PDE1C	chr7	-	31751179	32428131	-0.234	0.354	1
ENSG00000180347	ITPRID1	chr7	+	31514090	31656504	0.0696	0.979	1
ENSG00000240583	AQP1	chr7	+	30911853	30925517	0.25	0.624	1
ENSG00000241644	INMT	chr7	+	30697985	30757602	-0.604	0.173	1
ENSG00000106113	CRHR2	chr7	-	30651942	30700129	-0.697	0.443	1
ENSG00000196295	GARS1-DT	chr7	-	30516309	30595286	0.118	0.381	1
ENSG00000006625	GGCT	chr7	-	30496621	30504841	0.183	0.0749	1
ENSG00000106100	NOD1	chr7	-	30424527	30478784	0.0363	0.865	1
ENSG00000180233	ZNRF2	chr7	+	30284597	30367689	0.0979	0.332	1
ENSG00000180354	MTURN	chr7	+	30134986	30162762	0.104	0.608	1
ENSG00000181191	PJA1	chrX	-	69160851	69165521	0.103	0.483	1
ENSG00000136193	SCRN1	chr7	-	29920104	29990289	-0.0143	0.905	1
ENSG00000122574	WIPF3	chr7	+	29806486	29917061	0.685	0.0266	0.838
ENSG00000288973		chr7	-	29645921	29648968	0.293	0.00111	0.0973
ENSG00000176532	PRR15	chr7	+	29563835	29567293	-0.0391	0.906	1
ENSG00000285081		chr7	-	29191582	29194109	-1.23	0.136	1
ENSG00000106069	CHN2	chr7	+	29146547	29514328	0.0694	0.546	1
ENSG00000233517		chr7	+	28987028	28988899	15.6	8.28e-06	
ENSG00000106052	TAX1BP1	chr7	+	27739331	27844564	-0.079	0.353	1
ENSG00000272010		chr8	-	65591850	65592472	-1.6	0.485	1
ENSG00000078399	HOXA9	chr7	-	27162438	27175180	0.398	0.872	1
ENSG00000233429	HOTAIRM1	chr7	+	27095647	27100265	-0.954	0.551	1
ENSG00000105991	HOXA1	chr7	-	27092993	27096000	1.56	0.303	1
ENSG00000233760		chr7	+	26551686	26558880	0.48	0.907	
ENSG00000214870	LINC02981	chr7	+	26398593	26497595	0.637	0.64	1
ENSG00000122566	HNRNPA2B1	chr7	-	26171151	26201529	0.0449	0.407	1
ENSG00000289053		chr7	+	26101646	26118068	0.274	0.645	1
ENSG00000290025		chr7	+	25839076	25848071	-15.5	4.48e-05	
ENSG00000223561	LINC03007	chr7	-	25593304	25751032	-0.699	0.656	1
ENSG00000070882	OSBPL3	chr7	-	24796540	24981634	-0.0767	0.435	1
ENSG00000287093		chr7	-	24778444	24795496	0.335	0.234	1
ENSG00000105928	GSDME	chr7	-	24698355	24757940	-0.033	0.682	1
ENSG00000272871		chr9	-	14588797	14590065	-0.671	0.219	1
ENSG00000122585	NPY	chr7	+	24284188	24291862	-3.35	0.119	1
ENSG00000196335	STK31	chr7	+	23710203	23832513	-0.0665	0.954	1
ENSG00000188732	FAM221A	chr7	+	23680130	23703249	0.529	0.0326	0.898
ENSG00000234286		chr7	-	23679601	23680842	-0.353	0.754	1
ENSG00000164548	TRA2A	chr7	-	23504780	23532041	0.0121	0.868	1
ENSG00000136231	IGF2BP3	chr7	-	23310209	23470491	-0.041	0.516	1
ENSG00000122550	KLHL7	chr7	+	23105758	23177914	-0.0754	0.443	1
ENSG00000230658	KLHL7-DT	chr7	-	23100214	23105703	-0.119	0.856	1
ENSG00000179428	IL6-AS1	chr7	-	22725395	22727620	0.512	0.623	1
ENSG00000105889	STEAP1B	chr7	-	22419444	22727613	-0.0922	0.612	1
ENSG00000136237	RAPGEF5	chr7	-	22118236	22357154	0.155	0.622	1
ENSG00000164649	CDCA7L	chr7	-	21900899	21945903	0.245	0.671	1
ENSG00000105877	DNAH11	chr7	+	21543039	21901839	0.204	0.367	1
ENSG00000164651	SP8	chr7	-	20782279	20786886	-0.46	0.76	1
ENSG00000105855	ITGB8	chr7	+	20330702	20415754	0.223	0.337	1
ENSG00000233834	GIRGL	chr7	+	20217536	20221702	0.658	0.497	1
ENSG00000236536		chr7	+	19117773	19121920	-1.35	0.603	1
ENSG00000105835	NAMPT	chr7	-	106248298	106285966	0.0325	0.667	1
ENSG00000232821		chr7	+	19112474	19114271	-0.729	0.621	1
ENSG00000122691	TWIST1	chr7	-	19020991	19117636	-0.337	0.011	0.546
ENSG00000048052	HDAC9	chr7	+	18086949	19002416	-0.238	0.775	1
ENSG00000071189	SNX13	chr7	-	17790761	17940501	-0.105	0.101	1
ENSG00000137573	SULF1	chr8	+	69466624	69660915	0.677	0.0382	0.961
ENSG00000236039	LINC02889	chr7	-	17405479	17558909	-0.0387	0.91	1
ENSG00000237773		chr7	-	16970320	17299368	-0.862	0.455	1
ENSG00000106546	AHR	chr7	+	16916359	17346152	-0.0217	0.823	1
ENSG00000106537	TSPAN13	chr7	+	16753755	16784536	0.105	0.43	1
ENSG00000122694	GLIPR2	chr9	+	36136536	36163913	0.0131	0.948	1
ENSG00000147697	GSDMC	chr8	-	129748196	129786624	-0.367	0.901	
ENSG00000106511	MEOX2	chr7	-	15611212	15686683	0.85	0.741	1
ENSG00000229618		chr7	+	12726152	13751920	-0.183	0.679	1
ENSG00000122644	ARL4A	chr7	+	12686856	12690958	-0.23	0.0469	1
ENSG00000006747	SCIN	chr7	+	12570577	12660182	-0.196	0.0516	1
ENSG00000225606		chr7	-	12570125	12571392	-0.378	0.359	1
ENSG00000146530	VWDE	chr7	-	12330885	12403941	0.0557	0.704	1
ENSG00000106460	TMEM106B	chr7	+	12211270	12243367	0.0266	0.756	1
ENSG00000005108	THSD7A	chr7	-	11370365	11832198	-0.111	0.128	1
ENSG00000106443	PHF14	chr7	+	10973336	11169623	0.152	0.188	1
ENSG00000189043	NDUFA4	chr7	-	10931943	10940153	-0.143	0.496	1
ENSG00000122584	NXPH1	chr7	+	8433609	8752961	-0.314	0.792	1
ENSG00000244239	ICA1-AS1	chr7	+	8262233	8262821	0.064	0.886	1
ENSG00000227719		chr7	+	8114025	8116561	1.08	0.546	1
ENSG00000003147	ICA1	chr7	-	8113184	8262687	-0.126	0.25	1
ENSG00000106415	GLCCI1	chr7	+	7968796	8094272	0.133	0.141	1
ENSG00000234141		chr7	-	7949853	7950709	1.58	0.699	
ENSG00000219545	UMAD1	chr7	+	7640711	7968020	-0.0247	0.878	1
ENSG00000272894	MIOS-DT	chr7	-	7552462	7566996	0.482	0.458	1
ENSG00000215018	COL28A1	chr7	-	7356203	7535873	-0.794	0.519	1
ENSG00000106392	C1GALT1	chr7	+	7156934	7248616	-0.146	0.0659	1
ENSG00000287860		chr7	-	6952438	7104482	2.36	0.497	1
ENSG00000146574	CCZ1B	chr7	-	6794134	6826770	-0.0228	0.798	1
ENSG00000290835		chr7	+	6710128	6753862	0.0605	0.786	1
ENSG00000164631	ZNF12	chr7	-	6688433	6706947	0.0577	0.642	1
ENSG00000228010		chr7	+	6663974	6708901	-0.192	0.884	1
ENSG00000205903	ZNF316	chr7	+	6637318	6658279	0.0296	0.817	1
ENSG00000146576	INTS15	chr7	+	6590021	6608726	-0.22	0.241	1
ENSG00000136238	RAC1	chr7	+	6374527	6403967	-0.00501	0.933	1
ENSG00000008256	CYTH3	chr7	-	6161779	6272644	-0.154	0.0713	1
ENSG00000106346	USP42	chr7	+	6104949	6161564	-0.147	0.0645	1
ENSG00000157999	ANKRD61	chr7	+	6031376	6036552	-1.83	0.382	1
ENSG00000270953		chr7	+	130507660	130508282	0.185	0.761	1
ENSG00000086232	EIF2AK1	chr7	-	6022247	6059175	-0.122	0.0368	0.955
ENSG00000106305	AIMP2	chr7	+	6009255	6023834	-0.0467	0.656	1
ENSG00000122512	PMS2	chr7	-	5970925	6009130	0.208	0.063	1
ENSG00000071553	ATP6AP1	chrX	+	154428633	154436516	-0.0997	0.105	1
ENSG00000011275	RNF216	chr7	-	5620047	5781696	-0.00257	0.972	1
ENSG00000075618	FSCN1	chr7	+	5592816	5606655	-0.0948	0.411	1
ENSG00000272719		chr7	+	5556731	5557245	0.851	0.712	1
ENSG00000177335	LINC02904	chr8	+	143039209	143060684	0.0158	0.936	1
ENSG00000230733		chr7	+	5475804	5479811	17.2	6.64e-11	
ENSG00000273084	LINC03073	chr7	+	5428184	5430566	0.71	0.011	0.546
ENSG00000290091		chr7	+	5424313	5424942	0.33	0.727	1
ENSG00000241269		chr7	+	5419827	5420767	-0.216	0.933	1
ENSG00000182095	TNRC18	chr7	-	5306790	5425414	0.107	0.195	1
ENSG00000273313	RBAKDN	chr7	+	5072125	5073223	-1.4	0.457	1
ENSG00000196204	RNF216P1	chr7	+	4973988	5040675	-0.103	0.394	1
ENSG00000157927	RADIL	chr7	-	4797055	4883716	-0.958	0.497	1
ENSG00000286874		chr7	+	4642248	4642570	-1.01	0.628	1
ENSG00000146555	SDK1	chr7	+	3301252	4269000	0.0361	0.605	1
ENSG00000146535	GNA12	chr7	-	2728105	2844308	-0.0556	0.317	1
ENSG00000174945	AMZ1	chr7	+	2679522	2775500	0.0424	0.887	1
ENSG00000106012	IQCE	chr7	+	2558972	2614733	-0.0478	0.763	1
ENSG00000106003	LFNG	chr7	+	2512529	2529177	0.522	0.274	1
ENSG00000136213	CHST12	chr7	+	2403588	2448484	0.104	0.266	1
ENSG00000106266	SNX8	chr7	-	2251770	2354318	0.00825	0.933	1
ENSG00000106268	NUDT1	chr7	+	2242226	2251146	0.0575	0.796	1
ENSG00000122687	MRM2	chr7	-	2234195	2242205	0.0597	0.615	1
ENSG00000002822	MAD1L1	chr7	-	1815793	2233243	-0.182	0.0935	1
ENSG00000154582	ELOC	chr8	-	73939169	73972307	-0.116	0.0928	1
ENSG00000230487	PSMG3-AS1	chr7	+	1570073	1589626	0.595	0.105	1
ENSG00000157778	PSMG3	chr7	-	1567332	1571005	-0.0117	0.938	1
ENSG00000164880	INTS1	chr7	-	1470277	1504389	-0.0474	0.542	1
ENSG00000164850	GPER1	chr7	+	1082208	1093815	0.292	0.551	1
ENSG00000224079		chr7	+	1074450	1078036	0.389	0.905	
ENSG00000164849	GPR146	chr7	+	1044546	1059261	0.0223	0.904	1
ENSG00000146540	C7orf50	chr7	-	996986	1138260	0.00502	0.972	1
ENSG00000073067	CYP2W1	chr7	+	983181	989640	0.796	0.779	1
ENSG00000105963	ADAP1	chr7	-	897900	955407	0.0626	0.865	1
ENSG00000273151		chr7	-	879790	886547	0.323	0.416	1
ENSG00000164828	SUN1	chr7	+	816615	896435	0.0368	0.583	1
ENSG00000164818	DNAAF5	chr7	+	726699	786475	-0.0547	0.656	1
ENSG00000160404	TOR2A	chr9	-	127731524	127735313	-0.116	0.586	1
ENSG00000188191	PRKAR1B	chr7	-	549197	727650	0.0775	0.646	1
ENSG00000223855	PDGFA-DT	chr7	+	520391	530163	0.141	0.899	1
ENSG00000249574		chr7	+	379359	382712	0.363	0.863	1
ENSG00000240859	LINC03014	chr7	+	149549	155465	-0.605	0.809	
ENSG00000260193	LINC02846	chr9	-	136107808	136109424	0.418	0.642	1
ENSG00000287411		chr6	+	170612622	170638715	-0.265	0.718	1
ENSG00000071994	PDCD2	chr6	-	170575295	170584692	-0.0278	0.765	1
ENSG00000112592	TBP	chr6	+	170554302	170572870	0.139	0.221	1
ENSG00000271234		chr6	-	170297876	170298375	1.61	0.69	
ENSG00000198719	DLL1	chr6	-	170282206	170306565	0.17	0.394	1
ENSG00000230844	ZNF674-AS1	chrX	+	46545438	46548841	-0.042	0.88	1
ENSG00000231690	LINC00574	chr6	+	169790037	169802873	-0.483	0.804	1
ENSG00000130023	ERMARD	chr6	+	169751622	169781600	0.151	0.481	1
ENSG00000184786	DYNLT2	chr6	-	169740109	169751587	-0.141	0.737	1
ENSG00000227704		chr6	+	169724713	169738992	0.162	0.807	1
ENSG00000272848		chr6	-	169426420	169452475	-0.0702	0.939	1
ENSG00000285887		chr6	-	169419004	169425156	1.71	0.195	1
ENSG00000226194	LINC02519	chr6	-	169369577	169388385	0.264	0.891	1
ENSG00000226445	THBS2-AS1	chr6	+	169213254	169245773	0.418	0.633	1
ENSG00000289090		chr6	+	168726135	168740449	-0.814	0.785	1
ENSG00000235815		chr6	+	168716606	168723495	1.83	0.281	1
ENSG00000153303	FRMD1	chr6	-	168053095	168101511	-0.407	0.598	1
ENSG00000125337	KIF25	chr6	+	167996241	168045091	-0.0529	0.954	1
ENSG00000229921	KIF25-AS1	chr6	-	167992822	167997110	-0.629	0.85	1
ENSG00000146521	LINC01558	chr6	-	167784537	167796872	0.967	0.747	
ENSG00000148358	GPR107	chr9	+	130053426	130140169	0.00343	0.959	1
ENSG00000287594		chr6	+	167678180	167680362	1.09	0.355	1
ENSG00000254936		chr8	-	11123381	11126064	0.768	0.14	1
ENSG00000120436	GPR31	chr6	-	167155247	167157980	-1.42	0.673	
ENSG00000291286		chr6	+	167146383	167178760	0.319	0.913	1
ENSG00000112486	CCR6	chr6	+	167111807	167139141	-0.0628	0.958	1
ENSG00000213066	CEP43	chr6	+	166999174	167052718	0.106	0.314	1
ENSG00000285730		chr6	-	166995735	166999511	0.0299	0.967	1
ENSG00000026297	RNASET2	chr6	-	166922113	166957191	0.0987	0.503	1
ENSG00000235272	RAMACL	chr6	-	166583009	166586678	0.56	0.183	1
ENSG00000071242	RPS6KA2	chr6	-	166409364	166906451	0.245	0.0949	1
ENSG00000176381	PRR18	chr6	-	166305300	166308448	-0.549	0.894	
ENSG00000288584		chr6	+	164148022	164152175	0.0301	0.986	1
ENSG00000270419	CAHM	chr6	-	163413061	163413960	0.251	0.509	1
ENSG00000285564		chr6	-	163338363	163346744	-2.39	0.324	1
ENSG00000085511	MAP3K4	chr6	+	160991727	161117385	-0.0521	0.479	1
ENSG00000119403	PHF19	chr9	-	120855651	120894896	-0.0954	0.806	1
ENSG00000233342		chr6	+	160926269	160943110	0.527	0.611	1
ENSG00000288873		chr9	-	136848770	136849648	-0.247	0.182	1
ENSG00000253361		chr8	-	38543276	38560877	0.0924	0.879	1
ENSG00000292246		chr6	+	160883260	160891562	0.805	0.297	1
ENSG00000224371		chr6	-	160872888	160926204	0.387	0.854	1
ENSG00000102001	CACNA1F	chrX	-	49205063	49233371	-2.35	0.384	1
ENSG00000290613	LPAL2	chr6	-	160466555	160520269	-0.19	0.849	1
ENSG00000146477	SLC22A3	chr6	+	160348378	160452577	-0.183	0.714	1
ENSG00000175003	SLC22A1	chr6	+	160121815	160158718	0.153	0.844	1
ENSG00000146453	PNLDC1	chr6	+	159800249	159820704	0.308	0.896	1
ENSG00000120438	TCP1	chr6	-	159778498	159789703	-0.0943	0.173	1
ENSG00000291237	SOD2	chr6	-	159669069	159762529	-0.0321	0.704	1
ENSG00000237927		chr6	-	159586955	159589169	-1.08	0.638	1
ENSG00000164694	FNDC1	chr6	+	159169400	159272108	0.0989	0.891	1
ENSG00000122711	SPINK4	chr9	+	33218365	33248567	1.19	0.706	1
ENSG00000130363	RSPH3	chr6	-	158972871	159000202	-0.151	0.447	1
ENSG00000241343	RPL36A	chrX	+	101390824	101396155	-0.155	0.0379	0.959
ENSG00000272047	GTF2H5	chr6	+	158168350	158199344	0.139	0.323	1
ENSG00000130340	SNX9	chr6	+	157700387	157945077	-0.0148	0.871	1
ENSG00000175048	ZDHHC14	chr6	+	157381133	157678157	-0.0725	0.413	1
ENSG00000271040	TMEM242-DT	chr6	+	157323964	157324477	-0.194	0.956	
ENSG00000215712	TMEM242	chr6	-	157289025	157323601	0.144	0.378	1
ENSG00000288910		chr6	+	157060632	157061587	0.524	0.448	1
ENSG00000271265		chr6	-	156774217	156774662	-0.105	0.972	1
ENSG00000235381		chr6	-	155253139	155256724	0.119	0.848	1
ENSG00000286000		chrX	+	101640421	101644352	0.139	0.914	1
ENSG00000146426	TIAM2	chr6	+	154832697	155257723	0.119	0.527	1
ENSG00000153721	CNKSR3	chr6	-	154387515	154510685	0.127	0.585	1
ENSG00000074706	IPCEF1	chr6	-	154154496	154356803	-0.192	0.759	1
ENSG00000112031	MTRF1L	chr6	-	152987362	153002709	0.0455	0.716	1
ENSG00000227627		chr6	+	152983331	152991322	0.237	0.667	1
ENSG00000112029	FBXO5	chr6	-	152970519	152983579	-0.0318	0.857	1
ENSG00000146469	VIP	chr6	+	152750797	152759765	1.94	0.559	
ENSG00000120279	MYCT1	chr6	+	152697897	152724569	-0.146	0.516	1
ENSG00000091831	ESR1	chr6	+	151656691	152129619	-1.22	0.387	1
ENSG00000146476	ARMT1	chr6	+	151452258	151470101	-0.0884	0.324	1
ENSG00000131016	AKAP12	chr6	+	151239967	151358559	0.0529	0.666	1
ENSG00000009765	IYD	chr6	+	150368892	150405969	-0.835	0.799	1
ENSG00000198729	PPP1R14C	chr6	+	150143044	150250392	0.394	0.249	1
ENSG00000111981	ULBP1	chr6	+	149963943	149973715	-0.467	0.401	1
ENSG00000120256	LRP11	chr6	-	149818757	149864359	0.328	0.371	1
ENSG00000120265	PCMT1	chr6	+	149749444	149811420	-0.0899	0.275	1
ENSG00000131023	LATS1	chr6	-	149658153	149718105	0.061	0.574	1
ENSG00000055211	GINM1	chr6	+	149566294	149591748	0.00792	0.938	1
ENSG00000131013	PPIL4	chr6	-	149504495	149546043	0.035	0.73	1
ENSG00000177688	SUMO4	chr6	+	149400262	149401278	0.163	0.717	1
ENSG00000055208	TAB2	chr6	+	149218641	149411613	-0.148	0.0475	1
ENSG00000224658		chr6	-	148237585	148283408	-1.25	0.738	
ENSG00000227681		chr6	+	147660703	147953937	-2.19	0.536	
ENSG00000164506	STXBP5	chr6	+	147204180	147391010	0.0377	0.687	1
ENSG00000233452	STXBP5-AS1	chr6	-	146824539	147204614	0.841	0.208	1
ENSG00000118508	RAB32	chr6	+	146543833	146554953	-0.184	0.331	1
ENSG00000146414	SHPRH	chr6	-	145864245	145964423	-0.0216	0.838	1
ENSG00000235652	EPM2A-DT	chr6	+	145799409	145887430	-0.732	0.403	1
ENSG00000102128	RAB40AL	chrX	+	102937272	102938300	-0.56	0.564	1
ENSG00000118496	FBXO30	chr6	-	145793502	145814795	-0.0332	0.704	1
ENSG00000112425	EPM2A	chr6	-	145382535	145736023	0.512	0.204	1
ENSG00000283122	HYMAI	chr6	-	144004916	144008262	0.834	0.576	1
ENSG00000112419	PHACTR2	chr6	+	143536845	143831185	0.155	0.237	1
ENSG00000001036	FUCA2	chr6	-	143494812	143511720	-0.108	0.167	1
ENSG00000189007	ADAT2	chr6	-	143422832	143450695	0.184	0.495	1
ENSG00000174697	LEP	chr7	+	128241278	128257629	-0.116	0.679	1
ENSG00000229017	LINC01277	chr6	-	142966293	143059682	0.189	0.903	1
ENSG00000249375	CASC11	chr8	-	127686343	127738987	15.3	6.62e-10	
ENSG00000232618	HIVEP2-DT	chr6	+	142946406	142957945	0.206	0.86	1
