gene_ID	hgnc_symbol	chr	strand	start	end	POU2F3_CE_log2FoldChange	POU2F3_CE_pvalue	POU2F3_CE_padj	POU2F3_KO_log2FoldChange	POU2F3_KO_pvalue	POU2F3_KO_padj	POU2F3_PTC_log2FoldChange	POU2F3_PTC_pvalue	POU2F3_PTC_padj
ENSG00000137309	HMGA1	chr6	+	34236873	34246231	-0.137	0.165	0.308	-0.0966	0.317	0.488	-0.0781	0.403	0.701
ENSG00000124493	GRM4	chr6	-	34018643	34155622	-3.11	0.00192	0.0183	-0.768	0.338	0.509	-1.3	0.1	0.391
ENSG00000161896	IP6K3	chr6	-	33721662	33746905	1.7	0.101	0.218	0.795	0.449		0.883	0.389	0.692
ENSG00000030110	BAK1	chr6	-	33572547	33580293	0.429	0.0466	0.127	0.384	0.0702	0.186	0.307	0.137	0.446
ENSG00000213588	ZBTB9	chr6	+	33453970	33457544	0.812	0.00225	0.0196	0.573	0.029	0.113	0.477	0.0626	0.328
ENSG00000237649	KIFC1	chr6	+	33391823	33409896	-0.239	0.14	0.275	-0.385	0.0152	0.0817	-0.315	0.0402	0.285
ENSG00000183808	RBM12B	chr8	-	93728155	93741017	0.245	0.0256	0.0847	0.212	0.0487	0.149	0.204	0.0509	0.305
ENSG00000204209	DAXX	chr6	-	33318558	33323016	-0.295	0.0073	0.0376	-0.26	0.016	0.0838	-0.357	0.000685	0.118
ENSG00000236104	ZBTB22	chr6	-	33314406	33317942	-0.288	0.135	0.267	-0.322	0.0888	0.216	-0.384	0.0375	0.281
ENSG00000289100		chr6	+	33299479	33301090	-0.233	0.406	0.568	-0.323	0.248	0.417	-0.447	0.11	0.406
ENSG00000227057	WDR46	chr6	-	33279108	33289247	-0.0673	0.435	0.595	-0.101	0.233	0.399	-0.0332	0.687	0.871
ENSG00000231500	RPS18	chr6	+	33272075	33276511	-0.342	0.0115	0.0498	-0.373	0.00494	0.0517	-0.277	0.0307	0.267
ENSG00000272217		chr6	-	33246075	33246856	0.0331	0.98		1.39	0.233		1.85	0.0968	0.385
ENSG00000204227	RING1	chr6	+	33208500	33212722	-0.0721	0.487	0.641	-0.0527	0.606	0.739	-0.165	0.1	0.391
ENSG00000227518	MIR1302-9HG	chr9	+	27657	30891	0.0871	0.946		0.672	0.591		-0.227	0.861	
ENSG00000204231	RXRB	chr6	-	33193588	33200665	-0.244	0.0574	0.147	-0.0968	0.44	0.604	-0.129	0.29	0.611
ENSG00000204248	COL11A2	chr6	-	33162681	33192499	-1.03	0.0468	0.127	-0.919	0.0698	0.186	-0.26	0.593	0.823
ENSG00000291111		chr6	+	33112440	33119163	-2.06	0.0685		-1.73	0.103		-2.35	0.0407	0.286
ENSG00000204252	HLA-DOA	chr6	-	33004182	33009591	0.121	0.832	0.897	0.309	0.578		0.628	0.238	0.557
ENSG00000204256	BRD2	chr6	+	32968594	32981505	-0.347	0.00207	0.0189	-0.341	0.00202	0.0381	-0.294	0.00594	0.199
ENSG00000242574	HLA-DMB	chr6	-	32934629	32941028	0.795	0.611		-0.744	0.671		0.723	0.641	0.849
ENSG00000240065	PSMB9	chr6	+	32844136	32859851	4.11	0.00478		3.04	0.0397		2.65	0.0726	
ENSG00000204261	PSMB8-AS1	chr6	+	32844078	32846500	2.5	0.177		-0.334	0.87		3.31	0.055	
ENSG00000204267	TAP2	chr6	-	32821833	32838739	0.768	0.0245	0.0821	0.639	0.0564	0.163	0.466	0.152	0.466
ENSG00000241106	HLA-DOB	chr6	-	32812763	32820466	1.49	0.064	0.158	0.874	0.283		1.28	0.1	0.391
ENSG00000101938	CHRDL1	chrX	-	110673856	110795819	0.0929	0.926		-1.28	0.244		-0.725	0.479	0.753
ENSG00000175445	LPL	chr8	+	19901717	19967259	0.203	0.621	0.75	-0.459	0.267	0.437	-0.505	0.211	0.531
ENSG00000160908	ZNF394	chr7	-	99473877	99504857	-0.397	0.0017	0.0172	-0.215	0.0819	0.205	-0.0608	0.611	0.832
ENSG00000196126	HLA-DRB1	chr6	-	32577902	32589848	-0.733	0.425		-2.72	0.0315		0.177	0.826	0.932
ENSG00000273333		chr6	-	32184733	32185882	0.416	0.841		-1.95	0.389		-2.63	0.234	
ENSG00000204305	AGER	chr6	-	32180968	32184322	0.0776	0.797	0.873	0.365	0.213	0.376	0.427	0.135	0.442
ENSG00000286078		chr9	-	129503461	129506433	-1.11	0.695		-0.132	0.962		-0.0645	0.981	
ENSG00000203875	SNHG5	chr6	-	85650491	85678932	-0.0661	0.543	0.686	-0.0594	0.577	0.718	-0.0889	0.391	0.692
ENSG00000204308	RNF5	chr6	+	32178405	32180793	0.0139	0.916	0.951	0.0525	0.685	0.799	-0.0431	0.733	0.892
ENSG00000204310	AGPAT1	chr6	-	32168212	32178096	0.258	0.041	0.116	0.271	0.0286	0.112	0.0883	0.463	0.742
ENSG00000284954		chr6	-	32152802	32154365	-0.0617	0.944	0.967	-1.09	0.257		-0.875	0.334	0.648
ENSG00000204314	PRRT1	chr6	-	32148359	32153083	2.87	0.058		2.6	0.0856		2.77	0.0591	
ENSG00000107077	KDM4C	chr9	+	6720863	7175648	-0.107	0.366	0.529	0.0487	0.674	0.791	-0.0113	0.919	0.97
ENSG00000168477	TNXB	chr6	-	32041153	32115334	-0.938	0.00512	0.0305	-0.642	0.049	0.15	-0.399	0.204	0.525
ENSG00000231852	CYP21A2	chr6	+	32038327	32041644	-0.521	0.503	0.655	-0.0647	0.931		-1.11	0.161	0.476
ENSG00000284418		chr9	-	22703516	23438700	0.776	0.619		-0.0302	0.985		0.995	0.486	
ENSG00000204344	STK19	chr6	+	31971091	31982821	0.031	0.824	0.892	0.0521	0.705	0.812	0.183	0.168	0.486
ENSG00000204356	NELFE	chr6	-	31952087	31959038	-0.266	0.00569	0.0324	-0.248	0.00864	0.0635	-0.405	1.13e-05	0.0261
ENSG00000112299	VNN1	chr6	-	132680849	132714055	-0.475	0.5	0.652	-0.624	0.382		-0.558	0.431	0.72
ENSG00000204371	EHMT2	chr6	-	31879759	31897698	0.284	0.016	0.0617	0.288	0.0127	0.0757	0.142	0.209	0.528
ENSG00000204386	NEU1	chr6	-	31857659	31862905	-0.11	0.151	0.29	-0.175	0.0198	0.0924	-0.17	0.0192	0.234
ENSG00000289637		chr6	-	31821149	31821964	2.56	0.138		1.21	0.51		2.2	0.205	
ENSG00000198853	RUSC2	chr9	+	35490111	35561898	0.851	0.00037	0.00902	0.527	0.0251	0.105	0.42	0.0666	0.335
ENSG00000204389	HSPA1A	chr6	+	31815543	31817946	-0.974	0.000867	0.0129	-0.931	0.00116	0.0318	-0.68	0.014	0.22
ENSG00000204396	VWA7	chr6	-	31765590	31777328	-0.208	0.789	0.869	0.394	0.59		-0.613	0.432	0.72
ENSG00000235663	SAPCD1-AS1	chr6	-	31764310	31765588	-0.504	0.895		2.9	0.423		0.742	0.838	
ENSG00000213722	DDAH2	chr6	-	31727038	31730617	0.427	0.0396	0.113	0.287	0.161	0.314	0.122	0.542	0.791
ENSG00000204438	GPANK1	chr6	-	31661228	31666283	-0.307	0.0499	0.133	-0.27	0.0782	0.199	-0.0208	0.888	0.959
ENSG00000204439	C6orf47	chr6	-	31658298	31660778	-0.0464	0.658	0.777	-0.121	0.243	0.412	0.0952	0.341	0.653
ENSG00000204469	PRRC2A	chr6	+	31620715	31637771	0.0422	0.618	0.746	0.0411	0.619	0.75	-0.0298	0.71	0.881
ENSG00000289375		chr6	-	31619847	31620406	-3.79	0.0628		-1.95	0.309		-1.28	0.495	
ENSG00000232810	TNF	chr6	+	31575565	31578336	2.76	0.0678		1.52	0.315		0.141	0.929	
ENSG00000198563	DDX39B	chr6	-	31530219	31542448	0.0775	0.257	0.418	0.136	0.0417	0.137	0.136	0.0362	0.278
ENSG00000228124	MDN1-AS1	chr6	+	89673469	89675783	-0.0209	0.996		1.85	0.658		-0.974	0.814	
ENSG00000204516	MICB	chr6	+	31494881	31511124	2.11	0.00816	0.0403	0.805	0.324		1.23	0.123	0.425
ENSG00000206337	HCP5	chr6	+	31463170	31478936	-1.05	0.412		0.391	0.716		0.352	0.739	0.893
ENSG00000204520	MICA	chr6	+	31399784	31415315	1.81	3.5e-05	0.00353	1.41	0.00113	0.0318	0.863	0.0447	0.293
ENSG00000272221		chr6	-	31394289	31395495	1.83	0.131		-0.464	0.735		-0.161	0.902	
ENSG00000204525	HLA-C	chr6	-	31268749	31272130	-0.439	0.0026	0.0211	-0.39	0.00628	0.0555	-0.253	0.0673	0.337
ENSG00000206344	HCG27	chr6	+	31197760	31203968	2.46	0.168		0.653	0.742		3	0.0753	
ENSG00000272501		chr6	-	31195200	31198037	0.0865	0.934		0.26	0.797		-0.157	0.878	0.955
ENSG00000287619		chrX	-	103563917	103573278	-2.43	0.18		-1.56	0.381		-0.809	0.617	
ENSG00000204531	POU5F1	chr6	-	31164337	31180731	0.172	0.632	0.757	0.0897	0.802	0.879	-0.0728	0.839	0.938
ENSG00000137310	TCF19	chr6	+	31158331	31167159	0.679	0.0308	0.0956	0.708	0.0217	0.0971	0.517	0.0852	0.366
ENSG00000204536	CCHCR1	chr6	-	31142439	31158238	-0.0017	0.992	0.995	0.239	0.15	0.301	-0.13	0.433	0.721
ENSG00000204538	PSORS1C2	chr6	-	31137534	31139066	-0.93	0.827		1.52	0.713		-0.403	0.921	
ENSG00000137411	VARS2	chr6	+	30914205	30926459	0.247	0.0539	0.141	0.262	0.0379	0.13	0.218	0.0766	0.351
ENSG00000213780	GTF2H4	chr6	+	30908207	30914106	0.121	0.286	0.449	0.207	0.0633	0.175	0.109	0.321	0.637
ENSG00000204580	DDR1	chr6	+	30876421	30900156	-0.53	0.0027	0.0214	-0.424	0.0143	0.08	-0.431	0.00999	0.208
ENSG00000237923	LINC02570	chr6	-	30838324	30848204	-0.0589	0.96		-0.723	0.557		0.217	0.848	
ENSG00000272540		chr6	-	30723105	30723877	0.403	0.458	0.616	-0.561	0.329		-0.51	0.367	0.675
ENSG00000196230	TUBB	chr6	+	30717435	30725538	0.264	0.0109	0.0482	0.198	0.051	0.153	0.111	0.257	0.577
ENSG00000146112	PPP1R18	chr6	-	30676389	30687895	0.227	0.234	0.392	0.0518	0.783	0.866	-0.253	0.168	0.485
ENSG00000137343	ATAT1	chr6	+	30626842	30646823	0.377	0.037	0.108	0.457	0.00977	0.0671	0.124	0.477	0.751
ENSG00000204568	MRPS18B	chr6	+	30617840	30626395	-0.0106	0.907	0.945	-0.0167	0.852	0.911	-0.0153	0.861	0.948
ENSG00000204574	ABCF1	chr6	+	30571393	30597179	-0.314	0.00209	0.0189	-0.292	0.00352	0.0454	-0.197	0.0417	0.288
ENSG00000289045		chr6	-	149497715	149498326	0.544	0.253	0.414	0.169	0.726		0.42	0.362	0.671
ENSG00000290047		chr6	-	30570638	30571273	-0.583	0.357	0.521	-0.763	0.226		-0.994	0.114	0.412
ENSG00000204590	GNL1	chr6	-	30541381	30556489	-0.149	0.0644	0.159	-0.119	0.132	0.278	-0.1	0.192	0.512
ENSG00000204599	TRIM39	chr6	+	30326479	30343729	-0.0634	0.623	0.75	-0.0805	0.525	0.677	0.00657	0.957	0.984
ENSG00000291097	HLA-L	chr6	+	30259548	30293015	0.53	0.468	0.624	1.01	0.15		0.519	0.464	0.742
ENSG00000204619	PPP1R11	chr6	+	30066709	30070333	-0.0439	0.667	0.782	-0.0128	0.898	0.942	-0.133	0.178	0.497
ENSG00000204632	HLA-G	chr6	+	29826967	29831125	-0.473	0.0342	0.103	-0.327	0.135	0.282	-0.171	0.419	0.712
ENSG00000214922	HLA-F-AS1	chr6	-	29726601	29749049	0.185	0.589	0.725	0.566	0.0867	0.212	0.134	0.685	0.87
ENSG00000253238		chr8	+	80265907	80484481	-4.06	0.0315		-3.05	0.0983		-2.92	0.102	
ENSG00000204642	HLA-F	chr6	+	29722775	29738528	-0.981	0.201	0.354	-0.555	0.45		0.274	0.686	0.87
ENSG00000282381		chr7	+	65269359	65317938	-2.08	0.162		-0.805	0.517		0.318	0.772	
ENSG00000204644	ZFP57	chr6	-	29672483	29681155	1.14	0.447		0.0106	0.995		-0.163	0.915	
ENSG00000204681	GABBR1	chr6	-	29555629	29633976	0.504	0.0828	0.19	0.5	0.0789	0.201	0.0708	0.799	0.92
ENSG00000131019	ULBP3	chr6	-	150061053	150069121	0.397	0.198	0.35	0.207	0.501	0.657	0.218	0.467	0.745
ENSG00000095383	TBC1D2	chr9	-	98199011	98255649	-0.402	0.0111	0.0488	-0.315	0.0421	0.138	-0.258	0.0855	0.366
ENSG00000290970		chr9	-	66047084	66055006	-2.16	0.407		-1.16	0.648		-0.238	0.921	
ENSG00000204701	OR2J3	chr6	+	29108058	29114770	0	1		3.02	0.442		1.04	0.791	
ENSG00000244349		chr6	+	28986800	28988536	-0.358	0.852		1.12	0.515		2.03	0.202	0.522
ENSG00000227214	HCG15	chr6	+	28986203	28987484	0.664	0.278	0.441	1.09	0.0646		0.473	0.435	0.722
ENSG00000204713	TRIM27	chr6	-	28903002	28923988	-0.021	0.826	0.893	0.0351	0.707	0.814	0.0167	0.853	0.945
ENSG00000120915	EPHX2	chr8	+	27490781	27545564	0.102	0.65	0.771	0.0793	0.723	0.826	0.225	0.3	0.619
ENSG00000246350	ZBED9-AS1	chr6	+	28587378	28591747	-0.446	0.136	0.269	-0.448	0.13	0.275	-0.888	0.00342	0.181
ENSG00000287804		chr6	-	28476650	28489505	-1.06	0.0234	0.0797	-0.685	0.13	0.275	-0.783	0.0802	0.356
ENSG00000189298	ZKSCAN3	chr6	+	28349947	28369172	0.407	0.0734	0.174	0.451	0.0429	0.14	0.345	0.113	0.411
ENSG00000290051		chr6	+	28335995	28337030	0.163	0.902		1.49	0.21		1.77	0.124	0.428
ENSG00000197062	ZSCAN26	chr6	+	28267058	28278224	0.482	0.0885	0.199	0.521	0.0604	0.17	0.568	0.0354	0.276
ENSG00000189134	NKAPL	chr6	+	28259297	28260958	0.456	0.917		0.295	0.945		-0.411	0.922	
ENSG00000137185	ZSCAN9	chr6	+	28224886	28233487	0.612	0.00881	0.0424	0.442	0.0557	0.162	0.133	0.559	0.803
ENSG00000291008		chr6	+	28091137	28093664	-0.572	0.00977	0.0452	-0.362	0.092	0.22	-0.382	0.067	0.336
ENSG00000124657	OR2B6	chr6	+	27957241	27958182	0.412	0.23	0.387	0.453	0.176	0.333	0.651	0.0421	0.288
ENSG00000278677	H2AC17	chr6	-	27892699	27893185	0.556	0.000114	0.00554	0.52	0.000236	0.0199	0.24	0.0814	0.359
ENSG00000197153	H3C12	chr6	-	27890315	27893106	0.828	0.00035	0.00876	0.71	0.00176	0.0366	0.547	0.0131	0.218
ENSG00000275126	H4C13	chr6	-	27873148	27873534	0.763	0.00461	0.0288	0.692	0.00892	0.0644	0.588	0.0225	0.245
ENSG00000275221	H2AC15	chr6	-	27837880	27838375	0.877	0.000149	0.00604	0.838	0.000252	0.0199	0.793	0.000431	0.0996
ENSG00000197238	H4C11	chr6	+	27824092	27824480	0.576	0.011	0.0485	0.956	1.58e-05	0.0081	0.542	0.0116	0.212
ENSG00000273703	H2BC14	chr6	+	27815022	27815489	0.445	0.0587	0.149	0.704	0.00223	0.0402	0.306	0.171	0.489
ENSG00000276368	H2AC14	chr6	-	27814302	27814777	0.571	0.00594	0.0332	0.507	0.0128	0.0761	0.315	0.112	0.408
ENSG00000185130	H2BC13	chr6	-	27807479	27807929	0.424	0.0161	0.062	0.389	0.0244	0.103	0.223	0.185	0.504
ENSG00000287252		chr6	+	27757416	27763269	0.187	0.527	0.674	0.654	0.0203	0.0933	0.111	0.695	0.874
ENSG00000281706		chr6	+	27694026	27713706	0.296	0.296	0.459	0.432	0.118	0.258	0.171	0.531	0.784
ENSG00000096654	ZNF184	chr6	-	27450743	27473118	0.671	2.78e-05	0.00317	0.341	0.0353	0.125	0.562	0.000319	0.0988
ENSG00000271755		chr6	-	27404010	27406964	-3.03	0.0605		-0.616	0.612		-3.14	0.0427	
ENSG00000124613	ZNF391	chr6	+	27374615	27403908	0.837	0.00217	0.0193	0.854	0.00147	0.0343	0.814	0.00193	0.163
ENSG00000291112		chr6	-	27356451	27375277	0.151	0.41	0.572	0.223	0.216	0.379	0.323	0.0643	0.331
ENSG00000290009		chr6	+	27178342	27178869	-0.0204	0.984	0.99	0.258	0.797		-0.573	0.588	
ENSG00000274997	H2AC12	chr6	+	27147106	27147562	0.684	0.000121	0.00568	0.566	0.00118	0.0318	0.434	0.0104	0.209
ENSG00000290032		chr6	-	27138293	27138540	-0.289	0.339	0.502	-0.269	0.365	0.536	-0.257	0.375	0.681
ENSG00000261584		chr6	+	26686241	26687964	0.739	0.531	0.678	1.16	0.312		-0.0602	0.959	0.984
ENSG00000285571		chr6	+	26677003	26683211	0.116	0.876	0.925	0.119	0.87		-1.05	0.183	0.502
ENSG00000275846		chr6	+	26602733	26606661	-1.01	0.246	0.407	-0.764	0.36		-0.63	0.43	0.719
ENSG00000284607		chr6	+	26569324	26574698	-0.55	0.829		-0.558	0.822		-0.512	0.831	
ENSG00000182952	HMGN4	chr6	+	26538366	26546933	-0.0351	0.709	0.813	-0.0963	0.3	0.472	-0.116	0.202	0.523
ENSG00000228223	HCG11	chr6	+	26521709	26527404	0.509	0.00845	0.0412	0.305	0.112	0.251	0.36	0.0542	0.312
ENSG00000124557	BTN1A1	chr6	+	26500303	26510425	0.0983	0.978		1.94	0.573		0.0394	0.991	
ENSG00000232949		chr7	+	22589698	22602536	0.765	0.228	0.386	0.321	0.616		0.605	0.331	0.646
ENSG00000112763	BTN2A1	chr6	+	26457904	26476621	0.229	0.138	0.272	0.0975	0.523	0.675	0.0191	0.898	0.963
ENSG00000026950	BTN3A1	chr6	+	26402237	26415208	-0.299	0.254	0.414	-0.156	0.543	0.691	0.193	0.434	0.721
ENSG00000124508	BTN2A2	chr6	+	26383096	26394874	-0.0176	0.933	0.961	0.105	0.608	0.741	-0.0886	0.664	0.861
ENSG00000236761	CTAGE9	chr6	-	131708441	131711017	0.507	0.804		1.59	0.42		-0.317	0.877	
ENSG00000164414	SLC35A1	chr6	+	87470623	87512336	0.145	0.214	0.37	-0.157	0.183	0.341	0.128	0.257	0.577
ENSG00000186470	BTN3A2	chr6	+	26365159	26378320	0.342	0.084	0.192	0.264	0.177	0.333	0.413	0.029	0.264
ENSG00000278588	H2BC10	chr6	+	26272931	26273412	0.605	0.00126	0.015	0.531	0.00386	0.0472	0.419	0.0189	0.234
ENSG00000290789		chr6	-	26272021	26272701	-0.452	0.791		0.907	0.56		0.105	0.947	
ENSG00000277775	H3C7	chr6	-	26250142	26250635	0.571	0.00155	0.0165	0.623	0.000419	0.0238	0.422	0.0139	0.22
ENSG00000274618	H4C6	chr6	+	26240393	26240793	0.314	0.0904	0.202	0.516	0.00447	0.0499	0.258	0.145	0.457
ENSG00000277075	H2AC8	chr6	+	26216921	26217437	0.587	0.000595	0.0109	0.493	0.00329	0.0446	0.36	0.0269	0.257
ENSG00000273802	H2BC8	chr6	-	26216200	26216688	0.55	0.00109	0.0142	0.493	0.00286	0.0431	0.341	0.0335	0.273
ENSG00000277157	H4C4	chr6	-	26188710	26189112	0.553	0.00231	0.0199	0.452	0.0111	0.0713	0.316	0.0668	0.336
ENSG00000274290	H2BC6	chr6	+	26172059	26184655	0.66	0.00117	0.0146	0.626	0.00168	0.0358	0.351	0.0701	0.342
ENSG00000289117		chr6	-	26157477	26157891	2.45	0.235		-0.359	0.872		0.778	0.72	
ENSG00000168298	H1-4	chr6	+	26156329	26157115	0.223	0.0621	0.155	0.151	0.197	0.358	0.0532	0.639	0.848
ENSG00000278463	H2AC4	chr6	-	26033092	26033618	0.456	0.00931	0.0438	0.459	0.00762	0.06	0.423	0.0114	0.211
ENSG00000278637	H4C1	chr6	+	26021649	26022050	0.566	0.0128	0.0533	0.746	0.000807	0.0294	0.617	0.00461	0.191
ENSG00000104343	UBE2W	chr8	-	73780097	73878910	-0.0537	0.635	0.76	-0.0229	0.836	0.901	-0.00455	0.966	0.987
ENSG00000272462	LINC02980	chr6	+	25992641	26001775	-0.67	0.066	0.162	-0.142	0.68	0.795	-0.107	0.749	0.898
ENSG00000112343	TRIM38	chr6	+	25962802	25991231	-0.39	0.11	0.231	-0.00902	0.97	0.982	-0.233	0.313	0.631
ENSG00000147162	OGT	chrX	+	71533087	71575892	-0.232	0.107	0.228	-0.139	0.324	0.495	0.00338	0.98	0.992
ENSG00000286933		chr6	-	25632673	25640931	1.16	0.362		1.31	0.292		1.16	0.345	
ENSG00000079691	CARMIL1	chr6	+	25279078	25620530	0.406	0.000239	0.00744	0.272	0.0128	0.0761	0.215	0.0434	0.291
ENSG00000111913	RIPOR2	chr6	-	24804282	25042170	-0.726	0.00741	0.038	-0.542	0.0409	0.136	-0.374	0.145	0.457
ENSG00000260286	ARMH2	chr6	-	24797335	24798917	1.33	0.68		1.29	0.684		0.698	0.822	
ENSG00000272402		chr6	+	24706747	24707151	-0.355	0.925		2.36	0.511		1.62	0.648	
ENSG00000112308	C6orf62	chr6	-	24704861	24720825	-0.208	0.00859	0.0416	-0.221	0.00444	0.0496	-0.178	0.018	0.231
ENSG00000137261	KIAA0319	chr6	-	24544104	24646191	0.225	0.755	0.847	0.373	0.596		-0.231	0.751	0.899
ENSG00000122641	INHBA	chr7	-	41667168	41705834	1.72	2.77e-06	0.00112	1.35	0.000177	0.019	0.624	0.075	0.349
ENSG00000112294	ALDH5A1	chr6	+	24494867	24537207	0.223	0.186	0.335	0.253	0.127	0.271	0.255	0.111	0.408
ENSG00000146038	DCDC2	chr6	-	24171755	24358059	0.647	0.0675	0.164	0.468	0.179	0.336	0.54	0.11	0.406
ENSG00000124766	SOX4	chr6	+	21593751	21598619	-0.0584	0.694	0.803	-0.189	0.193	0.353	-0.26	0.0658	0.333
ENSG00000086730	LAT2	chr7	+	74199652	74229834	-1.36	0.00899	0.043	-1.29	0.0115	0.073	-0.407	0.4	0.699
ENSG00000289981		chr6	-	20400741	20401503	3.05	0.0508		2.18	0.172		2.21	0.16	
ENSG00000172197	MBOAT1	chr6	-	20099684	20212469	1.32	0.00117	0.0146	1.02	0.011	0.0712	0.477	0.221	0.541
ENSG00000228412	LNC-LBCS	chr6	-	19323428	19839080	-0.404	0.392	0.555	-0.0335	0.941	0.967	-0.462	0.328	0.643
ENSG00000124795	DEK	chr6	-	18223860	18264548	0.397	0.000262	0.0078	0.182	0.0883	0.215	0.228	0.0273	0.258
ENSG00000165097	KDM1B	chr6	+	18155329	18223854	-0.0406	0.711	0.814	-0.0904	0.401	0.57	-0.103	0.324	0.64
ENSG00000130717	UCK1	chr9	-	131523801	131531264	-0.329	0.00417	0.0272	-0.237	0.0357	0.126	-0.0255	0.814	0.926
ENSG00000137177	KIF13A	chr6	-	17759183	17987635	-0.662	0.000655	0.0115	-0.547	0.00401	0.0481	-0.4	0.0297	0.265
ENSG00000272269	NUP153-AS1	chr6	+	17706094	17707344	0.371	0.52	0.668	0.332	0.562		0.36	0.524	0.781
ENSG00000287559		chr6	-	17224243	17281424	-0.146	0.944		0.259	0.895		-1.76	0.406	
ENSG00000230873	STMND1	chr6	+	17102050	17131378	-2.39	0.0712		-1.39	0.202		0.565	0.507	0.771
ENSG00000272341		chr6	+	16764346	16766883	0.775	0.16	0.302	0.809	0.135	0.282	0.458	0.398	0.698
ENSG00000229931	ATXN1-AS1	chr6	+	16761138	16763947	1.47	0.0119	0.0509	1.04	0.0765	0.197	0.596	0.318	0.635
ENSG00000120925	RNF170	chr8	-	42849637	42897290	0.0313	0.776	0.86	0.108	0.315	0.486	0.00128	0.99	0.996
ENSG00000282024		chr6	-	16259101	16264553	-1.36	0.00491	0.0298	-0.144	0.733	0.832	-0.47	0.27	0.59
ENSG00000137198	GMPR	chr6	+	16238587	16295549	1.11	0.00195	0.0184	1.2	0.000674	0.0278	1.08	0.00203	0.163
ENSG00000289953		chr6	+	15804645	15860930	-0.559	0.598		0.221	0.822		0.333	0.728	0.89
ENSG00000047579	DTNBP1	chr6	-	15522807	15663058	0.702	0.00371	0.0254	0.235	0.337	0.508	0.366	0.123	0.425
ENSG00000008083	JARID2	chr6	+	15246069	15522042	-0.604	0.00241	0.0204	-0.419	0.0313	0.118	-0.364	0.0534	0.31
ENSG00000271888	JARID2-DT	chr6	-	15243923	15245000	-0.452	0.399	0.562	-1.78	0.00463		-0.992	0.0726	0.345
ENSG00000112149	CD83	chr6	+	14117256	14136918	0.151	0.705	0.81	0.00442	0.991	0.995	-0.208	0.605	0.829
ENSG00000180537	RNF182	chr6	+	13924446	13980310	0.233	0.699	0.806	0.0804	0.894	0.939	-0.526	0.404	0.702
ENSG00000145990	GFOD1	chr6	-	13357830	13487662	2.21	8.34e-07	0.000524	2.05	3.84e-06	0.00391	1.56	0.00046	0.0996
ENSG00000145979	TBC1D7	chr6	-	13266542	13328583	0.241	0.102	0.22	0.222	0.127	0.271	0.159	0.264	0.583
ENSG00000112137	PHACTR1	chr6	+	12716312	13290446	-0.553	0.219	0.375	0.0139	0.975	0.985	-0.0272	0.949	0.98
ENSG00000229896		chr6	+	12007670	12008856	-0.751	0.858		0.332	0.935		0.636	0.873	
ENSG00000178397	FAM220A	chr7	-	6329411	6348981	-0.5	0.616	0.745	-1.21	0.216	0.38	-0.535	0.571	0.809
ENSG00000287593		chr6	+	11722547	11731923	1.21	0.47		1.8	0.255		1.67	0.276	
ENSG00000287769		chr9	-	88384902	88389224	-0.545	0.127	0.257	-0.248	0.473	0.633	-0.243	0.471	0.747
ENSG00000244476	ERVFRD-1	chr6	-	11102489	11111725	-0.944	0.00424	0.0274	-0.701	0.0301	0.115	-0.58	0.0636	0.331
ENSG00000230314	ELOVL2-AS1	chr6	+	11043482	11079154	0.589	0.838		1.96	0.473		2.72	0.294	
ENSG00000235051		chr6	+	10881780	10884349	-1.53	0.473		-0.47	0.816		-0.49	0.806	
ENSG00000124827	GCM2	chr6	-	10873223	10882041	-1.32	0.000332	0.00862	-0.964	0.00664	0.0568	-0.856	0.0121	0.214
ENSG00000137210	TMEM14B	chr6	+	10747759	10852753	0.061	0.529	0.676	-0.0168	0.861	0.917	-0.0971	0.302	0.621
ENSG00000111843	TMEM14C	chr6	+	10722915	10731129	-0.112	0.0916	0.204	-0.15	0.0222	0.0982	-0.121	0.0588	0.322
ENSG00000111845	PAK1IP1	chr6	+	10694972	10709782	0.369	0.0577	0.148	-0.00664	0.972	0.984	0.234	0.207	0.527
ENSG00000285763		chr6	+	10659498	10692860	0.843	0.338		1.2	0.158		0.919	0.276	0.597
ENSG00000111846	GCNT2	chr6	+	10492223	10629368	0.734	3.66e-05	0.00353	0.581	0.000887	0.0295	0.297	0.0826	0.361
ENSG00000285759		chr6	+	10426623	10429110	2.01	0.445		2.78	0.27		0.793	0.762	
ENSG00000285278		chr6	+	10404502	10407928	-0.662	0.258	0.419	0.096	0.861		-0.031	0.954	0.982
ENSG00000285219	HULC	chr6	+	8435568	9294133	-0.106	0.743	0.838	0.177	0.571	0.713	-0.0741	0.808	0.924
ENSG00000124802	EEF1E1	chr6	-	8073360	8102559	0.412	0.0414	0.117	0.292	0.141	0.289	0.44	0.022	0.245
ENSG00000188428	BLOC1S5	chr6	-	8013567	8064396	0.371	0.0032	0.0233	0.271	0.03	0.115	0.403	0.000865	0.13
ENSG00000239264	TXNDC5	chr6	-	7881517	7910788	0.192	0.105	0.225	0.17	0.142	0.291	0.129	0.252	0.572
ENSG00000164304	CAGE1	chr6	-	7326656	7389742	1.05	0.284		0.0131	0.99		0.108	0.917	0.97
ENSG00000124782	RREB1	chr6	+	7107597	7251980	-0.393	0.0061	0.0337	-0.286	0.0421	0.138	-0.207	0.127	0.432
