gene_ID	hgnc_symbol	chr	strand	start	end	PPARG_CE_log2FoldChange	PPARG_CE_pvalue	PPARG_CE_padj	PPARG_KO_log2FoldChange	PPARG_KO_pvalue	PPARG_KO_padj	PPARG_PTC_log2FoldChange	PPARG_PTC_pvalue	PPARG_PTC_padj
ENSG00000179428	IL6-AS1	chr7	-	22725395	22727620	-0.674	0.444	0.578	-0.146	0.848	0.914	0.782	0.267	0.413
ENSG00000105889	STEAP1B	chr7	-	22419444	22727613	0.616	0.0362	0.0828	0.659	0.0264	0.0784	0.163	0.582	0.712
ENSG00000136237	RAPGEF5	chr7	-	22118236	22357154	-0.345	0.274	0.406	-0.132	0.672	0.796	-0.544	0.0877	0.177
ENSG00000164649	CDCA7L	chr7	-	21900899	21945903	-0.00717	0.988	0.994	-0.472	0.333	0.504	-1.42	0.00534	0.0182
ENSG00000105877	DNAH11	chr7	+	21543039	21901839	-1.73	1.22e-05	9.4e-05	-1.57	5.34e-05	0.000489	-2.06	3.38e-07	4.86e-06
ENSG00000290069		chr7	+	21427548	21427960	0.0455	0.989		-0.146	0.965		-0.959	0.769	
ENSG00000164651	SP8	chr7	-	20782279	20786886	2.25	0.266		2.34	0.251		2.23	0.27	
ENSG00000105855	ITGB8	chr7	+	20330702	20415754	0.303	0.266	0.396	-0.168	0.543	0.699	0.674	0.0127	0.0371
ENSG00000233834	GIRGL	chr7	+	20217536	20221702	-0.00162	0.998	0.999	0.785	0.217	0.374	0.55	0.392	0.545
ENSG00000236536		chr7	+	19117773	19121920	-0.629	0.652		-0.577	0.667		-2.19	0.176	
ENSG00000105835	NAMPT	chr7	-	106248298	106285966	0.0889	0.493	0.622	0.158	0.228	0.388	0.177	0.171	0.297
ENSG00000232821		chr7	+	19112474	19114271	-2.99	0.0446		-3.66	0.0142		0.00025	1	
ENSG00000122691	TWIST1	chr7	-	19020991	19117636	-1.57	8.85e-10	1.98e-08	-1.32	2.06e-07	3.62e-06	-1.19	2.3e-06	2.59e-05
ENSG00000048052	HDAC9	chr7	+	18086949	19002416	3.14	0.000467	0.00218	1.78	0.0516	0.131	3.39	0.000145	0.000884
ENSG00000071189	SNX13	chr7	-	17790761	17940501	-0.551	5.6e-08	8.23e-07	-0.42	3.9e-05	0.000372	-0.479	2.05e-06	2.36e-05
ENSG00000137573	SULF1	chr8	+	69466624	69660915	3.06	7.03e-20	8.25e-18	2.66	4.53e-15	3.5e-13	2.83	2.68e-17	2.75e-15
ENSG00000236039	LINC02889	chr7	-	17405479	17558909	-1.95	0.00136	0.00539	-2.08	0.00114	0.00647	-2.17	0.000576	0.00281
ENSG00000237773		chr7	-	16970320	17299368	-0.886	0.384	0.521	0.707	0.387	0.559	-0.649	0.501	0.644
ENSG00000106546	AHR	chr7	+	16916359	17346152	-0.913	9.67e-05	0.000561	-0.634	0.00741	0.0294	-0.932	6.59e-05	0.000455
ENSG00000106537	TSPAN13	chr7	+	16753755	16784536	0.0763	0.543	0.667	0.125	0.32	0.489	0.143	0.251	0.394
ENSG00000122694	GLIPR2	chr9	+	36136536	36163913	1.6	8.16e-07	8.86e-06	1.25	0.000142	0.00113	1.65	3.17e-07	4.59e-06
ENSG00000229618		chr7	+	12726152	13751920	-3.91	0.00145	0.00567	-2.61	0.00587	0.0244	-3.32	0.00203	0.00813
ENSG00000122644	ARL4A	chr7	+	12686856	12690958	-2.35	9.8e-23	1.63e-20	-2.24	1.02e-20	1.73e-18	-2.43	2.59e-24	6.18e-22
ENSG00000006747	SCIN	chr7	+	12570577	12660182	-1.32	1.27e-15	8.06e-14	-1.05	1.91e-10	6.46e-09	-1.16	1.29e-12	5.98e-11
ENSG00000225606		chr7	-	12570125	12571392	-1.07	0.031	0.0729	-1.41	0.00533	0.0226	-0.663	0.16	0.283
ENSG00000146530	VWDE	chr7	-	12330885	12403941	-0.557	9.93e-05	0.000573	-0.474	0.000843	0.00505	-0.54	0.000143	0.000877
ENSG00000106460	TMEM106B	chr7	+	12211270	12243367	-0.174	0.036	0.0823	-0.141	0.0904	0.198	-0.132	0.109	0.209
ENSG00000005108	THSD7A	chr7	-	11370365	11832198	-2.52	3.6e-75	9.14e-72	-2.34	2.16e-64	4.65e-61	-2.3	1.35e-63	2.74e-60
ENSG00000106443	PHF14	chr7	+	10973336	11169623	0.496	1.27e-06	1.3e-05	0.399	0.000109	0.000904	0.509	5.7e-07	7.74e-06
ENSG00000189043	NDUFA4	chr7	-	10931943	10940153	0.0911	0.397	0.534	0.143	0.187	0.337	0.256	0.0166	0.0464
ENSG00000122584	NXPH1	chr7	+	8433609	8752961	1.47	0.54		2.2	0.353		0.00165	0.999	
ENSG00000244239	ICA1-AS1	chr7	+	8262233	8262821	-1.26	0.000952	0.00396	-0.871	0.014	0.0481	-0.872	0.0146	0.0418
ENSG00000227719		chr7	+	8114025	8116561	-1.91	0.537		-1.68	0.592		-1.83	0.553	
ENSG00000003147	ICA1	chr7	-	8113184	8262687	-0.104	0.393	0.53	-0.00213	0.986	0.993	-0.197	0.106	0.204
ENSG00000106415	GLCCI1	chr7	+	7968796	8094272	-0.166	0.259	0.389	-0.168	0.259	0.424	-0.106	0.47	0.617
ENSG00000234141		chr7	-	7949853	7950709	0.954	0.762		1.71	0.582		0.0035	0.999	
ENSG00000219545	UMAD1	chr7	+	7640711	7968020	0.226	0.102	0.191	0.314	0.0228	0.0703	0.19	0.167	0.292
ENSG00000272894	MIOS-DT	chr7	-	7552462	7566996	-0.373	0.439	0.574	-0.746	0.13	0.26	-1	0.0523	0.118
ENSG00000215018	COL28A1	chr7	-	7356203	7535873	-1.48	0.166	0.278	-1.27	0.227	0.386	-1.48	0.165	0.289
ENSG00000106392	C1GALT1	chr7	+	7156934	7248616	-0.836	3e-06	2.77e-05	-0.523	0.0039	0.0175	-0.794	8.66e-06	8.1e-05
ENSG00000287860		chr7	-	6952438	7104482	1.96	0.528		2.11	0.499		0.00572	0.999	
ENSG00000146574	CCZ1B	chr7	-	6794134	6826770	-0.0939	0.17	0.283	0.0281	0.677	0.799	-0.0424	0.531	0.668
ENSG00000290835		chr7	+	6710128	6753862	-0.0905	0.649	0.754	-0.13	0.513	0.674	-0.0486	0.805	0.876
ENSG00000164631	ZNF12	chr7	-	6688433	6706947	0.168	0.144	0.249	0.148	0.198	0.35	-0.0411	0.721	0.818
ENSG00000228010		chr7	+	6663974	6708901	0.0827	0.912	0.948	0.461	0.534	0.692	0.38	0.602	0.728
ENSG00000205903	ZNF316	chr7	+	6637318	6658279	-0.131	0.288	0.421	-0.154	0.21	0.364	-0.0891	0.465	0.613
ENSG00000146576	INTS15	chr7	+	6590021	6608726	-0.1	0.496	0.625	-0.19	0.194	0.346	0.0296	0.838	0.898
ENSG00000136238	RAC1	chr7	+	6374527	6403967	-0.0515	0.399	0.535	-0.0609	0.323	0.492	-0.137	0.0249	0.0647
ENSG00000008256	CYTH3	chr7	-	6161779	6272644	-0.803	0.000462	0.00216	-0.323	0.163	0.306	-0.717	0.00172	0.00707
ENSG00000106346	USP42	chr7	+	6104949	6161564	-0.0672	0.645	0.75	0.173	0.239	0.4	0.0376	0.796	0.869
ENSG00000157999	ANKRD61	chr7	+	6031376	6036552	0.74	0.631		1.31	0.383		-0.923	0.597	
ENSG00000270953		chr7	+	130507660	130508282	0.775	0.159	0.269	0.937	0.0907	0.198	0.37	0.512	0.653
ENSG00000086232	EIF2AK1	chr7	-	6022247	6059175	-0.66	5.15e-07	5.92e-06	-0.399	0.00269	0.0129	-0.496	0.000151	0.000917
ENSG00000106305	AIMP2	chr7	+	6009255	6023834	-0.322	0.0236	0.0583	-0.459	0.00132	0.00731	-0.205	0.146	0.262
ENSG00000122512	PMS2	chr7	-	5970925	6009130	0.159	0.0634	0.13	0.167	0.0498	0.128	0.0749	0.38	0.533
ENSG00000071553	ATP6AP1	chrX	+	154428633	154436516	-0.608	5.01e-12	1.76e-10	-0.519	5.06e-09	1.27e-07	-0.534	1.1e-09	2.9e-08
ENSG00000011275	RNF216	chr7	-	5620047	5781696	-0.102	0.135	0.237	-0.0907	0.182	0.331	-0.0491	0.468	0.616
ENSG00000075618	FSCN1	chr7	+	5592816	5606655	1.6	8.88e-11	2.43e-09	1.4	1.97e-08	4.32e-07	1.83	1.02e-13	5.7e-12
ENSG00000272719		chr7	+	5556731	5557245	-0.65	0.761		-0.355	0.864		-0.802	0.706	
ENSG00000177335	LINC02904	chr8	+	143039209	143060684	0.222	0.179	0.293	0.4	0.014	0.0483	0.479	0.00303	0.0113
ENSG00000230733		chr7	+	5475804	5479811	1.09	0.741		1.55	0.637		0.967	0.769	
ENSG00000273084	LINC03073	chr7	+	5428184	5430566	0.384	0.233	0.36	0.249	0.446	0.617	0.42	0.19	0.321
ENSG00000290091		chr7	+	5424313	5424942	-0.548	0.537	0.661	-1.01	0.259	0.423	-0.666	0.451	0.6
ENSG00000241269		chr7	+	5419827	5420767	-0.465	0.775		-0.043	0.979		-2.74	0.152	
ENSG00000182095	TNRC18	chr7	-	5306790	5425414	0.134	0.126	0.224	0.0502	0.569	0.719	0.0463	0.595	0.723
ENSG00000273313	RBAKDN	chr7	+	5072125	5073223	-0.0182	0.994		0.904	0.687		0.00148	0.999	
ENSG00000196204	RNF216P1	chr7	+	4973988	5040675	-0.155	0.169	0.282	-0.221	0.0497	0.128	-0.141	0.207	0.343
ENSG00000157927	RADIL	chr7	-	4797055	4883716	2.07	0.00605	0.0188	1.39	0.07	0.164	1.91	0.011	0.0331
ENSG00000286874		chr7	+	4642248	4642570	-0.102	0.976		0.194	0.954		-0.962	0.773	
ENSG00000146555	SDK1	chr7	+	3301252	4269000	-0.284	0.00636	0.0196	-0.363	0.000548	0.00355	-0.261	0.0118	0.035
ENSG00000146535	GNA12	chr7	-	2728105	2844308	-0.0623	0.494	0.623	0.107	0.243	0.405	0.057	0.53	0.668
ENSG00000174945	AMZ1	chr7	+	2679522	2775500	-1.8	4.6e-07	5.39e-06	-1.68	1.86e-06	2.58e-05	-2.21	3.06e-09	7.28e-08
ENSG00000106012	IQCE	chr7	+	2558972	2614733	0.375	0.0102	0.0291	0.179	0.224	0.382	0.379	0.00887	0.0277
ENSG00000106003	LFNG	chr7	+	2512529	2529177	0.795	0.0999	0.187	0.788	0.0993	0.212	1.02	0.0315	0.0782
ENSG00000136213	CHST12	chr7	+	2403588	2448484	-0.512	0.000274	0.00138	-0.432	0.00234	0.0116	-0.622	9.45e-06	8.73e-05
ENSG00000106266	SNX8	chr7	-	2251770	2354318	-0.128	0.333	0.469	-0.114	0.391	0.563	-0.0779	0.553	0.687
ENSG00000106268	NUDT1	chr7	+	2242226	2251146	-0.0662	0.71	0.801	0.0923	0.598	0.741	0.0753	0.667	0.778
ENSG00000122687	MRM2	chr7	-	2234195	2242205	0.0384	0.666	0.768	-0.151	0.0906	0.198	0.058	0.51	0.651
ENSG00000002822	MAD1L1	chr7	-	1815793	2233243	0.047	0.671	0.771	0.00649	0.953	0.974	0.00153	0.989	0.998
ENSG00000154582	ELOC	chr8	-	73939169	73972307	-0.445	9.16e-06	7.33e-05	-0.287	0.00441	0.0193	-0.371	0.000201	0.00116
ENSG00000230487	PSMG3-AS1	chr7	+	1570073	1589626	0.389	0.122	0.219	0.307	0.225	0.383	-0.135	0.603	0.729
ENSG00000157778	PSMG3	chr7	-	1567332	1571005	0.243	0.0458	0.1	0.179	0.138	0.271	0.215	0.0754	0.157
ENSG00000164880	INTS1	chr7	-	1470277	1504389	-0.681	5.46e-10	1.28e-08	-0.57	2.59e-07	4.44e-06	-0.616	1.67e-08	3.29e-07
ENSG00000225981	MICALL2-DT	chr7	+	1459912	1464707	0.927	0.838		-1.08	0.816		1.51	0.736	
ENSG00000164850	GPER1	chr7	+	1082208	1093815	-0.36	0.322	0.459	-0.467	0.19	0.34	-0.663	0.0761	0.158
ENSG00000224079		chr7	+	1074450	1078036	-0.0413	0.989		1.91	0.537		0.963	0.756	
ENSG00000164849	GPR146	chr7	+	1044546	1059261	-0.704	0.176	0.291	-0.111	0.832	0.903	-1.2	0.022	0.0586
ENSG00000146540	C7orf50	chr7	-	996986	1138260	0.0892	0.445	0.579	-0.0184	0.875	0.93	-0.0367	0.753	0.84
ENSG00000105963	ADAP1	chr7	-	897900	955407	-0.347	0.373	0.51	-0.665	0.0927	0.202	-0.16	0.673	0.783
ENSG00000273151		chr7	-	879790	886547	-2.2	1.15e-05	8.9e-05	-0.947	0.0208	0.0655	-2	3.18e-05	0.000245
ENSG00000164828	SUN1	chr7	+	816615	896435	-0.511	1.62e-08	2.69e-07	-0.601	4.69e-11	1.76e-09	-0.539	2.26e-09	5.53e-08
ENSG00000164818	DNAAF5	chr7	+	726699	786475	0.19	0.159	0.269	0.159	0.239	0.401	0.491	0.000224	0.00128
ENSG00000160404	TOR2A	chr9	-	127731524	127735313	-0.015	0.93	0.959	-0.0427	0.8	0.882	0.12	0.471	0.618
ENSG00000188191	PRKAR1B	chr7	-	549197	727650	0.214	0.368	0.505	0.0602	0.802	0.884	0.459	0.0521	0.117
ENSG00000223855	PDGFA-DT	chr7	+	520391	530163	0.93	0.183	0.299	1.01	0.157	0.298	0.0987	0.893	0.932
ENSG00000249574		chr7	+	379359	382712	-2.37	0.103	0.192	-0.178	0.861	0.922	-0.584	0.599	0.725
ENSG00000240859	LINC03014	chr7	+	149549	155465	1.15	0.44		-0.25	0.881		0.657	0.669	
ENSG00000260193	LINC02846	chr9	-	136107808	136109424	-0.287	0.777	0.85	0.63	0.498	0.66	1	0.258	0.402
ENSG00000287411		chr6	+	170612622	170638715	-0.0711	0.93	0.959	-0.684	0.453	0.623	0.274	0.728	0.823
ENSG00000071994	PDCD2	chr6	-	170575295	170584692	-0.135	0.143	0.248	-0.0859	0.351	0.523	0.0143	0.876	0.921
ENSG00000112592	TBP	chr6	+	170554302	170572870	0.00337	0.974	0.986	-0.0464	0.647	0.778	0.0123	0.903	0.939
ENSG00000198719	DLL1	chr6	-	170282206	170306565	-0.527	0.152	0.26	-0.817	0.0291	0.0843	-1.97	6.32e-07	8.45e-06
ENSG00000230844	ZNF674-AS1	chrX	+	46545438	46548841	0.496	0.0202	0.0512	0.631	0.00266	0.0128	0.891	1.57e-05	0.000134
ENSG00000231690	LINC00574	chr6	+	169790037	169802873	0.874	0.345	0.482	-0.891	0.369	0.54	0.679	0.457	0.606
ENSG00000130023	ERMARD	chr6	+	169751622	169781600	0.473	0.000885	0.00373	0.206	0.154	0.293	0.293	0.0406	0.0961
ENSG00000184786	DYNLT2	chr6	-	169740109	169751587	0.489	0.0736	0.147	0.389	0.158	0.299	0.249	0.37	0.523
ENSG00000227704		chr6	+	169724713	169738992	0.0292	0.944	0.968	-0.256	0.547	0.702	-0.0602	0.885	0.927
ENSG00000272848		chr6	-	169426420	169452475	0.409	0.415	0.551	-0.221	0.686	0.806	-0.106	0.84	0.9
ENSG00000285887		chr6	-	169419004	169425156	-0.271	0.762	0.84	-0.387	0.67	0.795	-0.282	0.752	0.839
ENSG00000226194	LINC02519	chr6	-	169369577	169388385	1.88	0.181		1.85	0.188		2.02	0.143	
ENSG00000226445	THBS2-AS1	chr6	+	169213254	169245773	1.91	0.00543	0.0172	1.92	0.0053	0.0225	2.02	0.00309	0.0114
ENSG00000289090		chr6	+	168726135	168740449	-1.16	0.731		1.61	0.622		0.341	0.917	
ENSG00000235815		chr6	+	168716606	168723495	-0.00685	0.997	0.999	0.384	0.806		-2.44	0.175	
ENSG00000229694		chr9	+	91118592	91182762	0.56	0.784		0.891	0.66		-0.0329	0.988	
ENSG00000153303	FRMD1	chr6	-	168053095	168101511	0.413	0.765		-1.66	0.286		-0.522	0.717	
ENSG00000125337	KIF25	chr6	+	167996241	168045091	0.844	0.376	0.513	1.36	0.148	0.286	0.299	0.759	0.845
ENSG00000229921	KIF25-AS1	chr6	-	167992822	167997110	-0.853	0.791		-0.95	0.771		-0.868	0.787	
ENSG00000148358	GPR107	chr9	+	130053426	130140169	-1.15	1.3e-17	1.13e-15	-1.03	5.56e-14	3.56e-12	-1.13	5.76e-17	5.54e-15
ENSG00000287594		chr6	+	167678180	167680362	0.867	0.244		0.557	0.47		-0.77	0.354	
ENSG00000254936		chr8	-	11123381	11126064	1.25	0.0059	0.0184	0.913	0.0509	0.13	0.761	0.0997	0.195
ENSG00000112486	CCR6	chr6	+	167111807	167139141	3.55	0.00514	0.0164	2.46	0.06	0.147	2.69	0.0377	0.0906
ENSG00000213066	CEP43	chr6	+	166999174	167052718	0.587	2e-05	0.000144	0.485	0.000492	0.00325	0.175	0.204	0.338
ENSG00000285730		chr6	-	166995735	166999511	1.16	0.00639	0.0197	1.07	0.0134	0.0465	0.52	0.241	0.384
ENSG00000227598		chr6	-	166969626	166999065	0.886	0.794		2.02	0.55		-3.2e-05	1	
ENSG00000026297	RNASET2	chr6	-	166922113	166957191	-0.266	0.0926	0.176	-0.218	0.168	0.311	-0.539	0.000753	0.00352
ENSG00000235272	RAMACL	chr6	-	166583009	166586678	1.38	0.000134	0.000747	0.93	0.0119	0.0424	0.437	0.248	0.391
ENSG00000071242	RPS6KA2	chr6	-	166409364	166906451	0.552	0.000189	0.001	0.531	0.000352	0.00246	0.213	0.152	0.271
ENSG00000287550		chr6	-	164791288	164827683	0.149	0.97		-0.385	0.923		0.0059	0.999	
ENSG00000288584		chr6	+	164148022	164152175	-1.91	0.476		-0.735	0.786		-1.83	0.493	
ENSG00000270419	CAHM	chr6	-	163413061	163413960	-1.23	0.00463	0.015	-1.06	0.0119	0.0426	-1.89	6.63e-05	0.000457
ENSG00000285564		chr6	-	163338363	163346744	-2.5	0.333		-1.28	0.614		-2.68	0.296	
ENSG00000085511	MAP3K4	chr6	+	160991727	161117385	-0.67	5.13e-06	4.46e-05	-0.448	0.00257	0.0125	-0.502	0.000615	0.00297
ENSG00000119403	PHF19	chr9	-	120855651	120894896	0.791	0.00742	0.0223	0.443	0.139	0.272	0.781	0.00793	0.0253
ENSG00000233342		chr6	+	160926269	160943110	-3.3	0.0177	0.046	-0.601	0.511	0.671	-1.44	0.162	0.285
ENSG00000288873		chr9	-	136848770	136849648	-1.49	7.7e-07	8.43e-06	-0.798	0.00715	0.0285	-1.74	9.77e-09	2.05e-07
ENSG00000253361		chr8	-	38543276	38560877	0.386	0.382	0.518	-0.177	0.7	0.816	-0.245	0.592	0.72
ENSG00000292246		chr6	+	160883260	160891562	1.34	0.118	0.213	1.59	0.063	0.152	0.582	0.516	0.656
ENSG00000224371		chr6	-	160872888	160926204	0.0804	0.968		-1.97	0.35		-1.82	0.382	
ENSG00000102001	CACNA1F	chrX	-	49205063	49233371	-0.0327	0.988		0.129	0.956		0.00552	0.998	
ENSG00000290613	LPAL2	chr6	-	160466555	160520269	1.67	0.00538	0.0171	0.211	0.747	0.848	1.59	0.00765	0.0245
ENSG00000146477	SLC22A3	chr6	+	160348378	160452577	1.33	6.71e-05	0.000412	1.17	0.000417	0.00284	1.49	5.36e-06	5.37e-05
ENSG00000175003	SLC22A1	chr6	+	160121815	160158718	0.361	0.541	0.665	-0.0211	0.972	0.985	-0.013	0.983	0.995
ENSG00000146453	PNLDC1	chr6	+	159800249	159820704	1.2	0.412		0.0796	0.959		1.54	0.283	
ENSG00000120438	TCP1	chr6	-	159778498	159789703	-0.272	0.000652	0.00289	-0.22	0.0064	0.0262	-0.165	0.0382	0.0915
ENSG00000291237	SOD2	chr6	-	159669069	159762529	-0.539	1.72e-08	2.83e-07	-0.492	2.8e-07	4.75e-06	-0.47	7.49e-07	9.79e-06
ENSG00000237927		chr6	-	159586955	159589169	-0.181	0.932		-0.375	0.866		1.18	0.552	
ENSG00000164694	FNDC1	chr6	+	159169400	159272108	0.472	0.466	0.598	0.0488	0.941	0.968	-0.0137	0.984	0.995
ENSG00000122711	SPINK4	chr9	+	33218365	33248567	1.93	0.41		1.41	0.56		0.00243	0.999	
ENSG00000130363	RSPH3	chr6	-	158972871	159000202	0.106	0.479	0.61	0.289	0.0499	0.128	0.132	0.373	0.526
ENSG00000241343	RPL36A	chrX	+	101390824	101396155	-0.219	0.0144	0.0386	-0.0863	0.339	0.509	-0.169	0.058	0.128
ENSG00000272047	GTF2H5	chr6	+	158168350	158199344	0.362	0.000141	0.00078	0.313	0.000897	0.00532	0.141	0.141	0.256
ENSG00000130340	SNX9	chr6	+	157700387	157945077	0.284	0.000481	0.00223	0.241	0.00317	0.0148	0.177	0.029	0.0732
ENSG00000175048	ZDHHC14	chr6	+	157381133	157678157	-0.132	0.286	0.419	0.141	0.256	0.42	-0.0717	0.559	0.693
ENSG00000271040	TMEM242-DT	chr6	+	157323964	157324477	-2.03	0.521		-3.53	0.27		-2.17	0.49	
ENSG00000215712	TMEM242	chr6	-	157289025	157323601	0.24	0.0211	0.053	0.0503	0.631	0.766	0.237	0.0217	0.058
ENSG00000288910		chr6	+	157060632	157061587	1.48	0.0152	0.0406	0.914	0.147	0.283	0.524	0.415	0.567
ENSG00000271265		chr6	-	156774217	156774662	3.18	0.0677		4.25	0.0123		3.18	0.0672	
ENSG00000235381		chr6	-	155253139	155256724	0.77	0.0347	0.0798	0.462	0.213	0.369	1.14	0.00132	0.00563
ENSG00000286000		chrX	+	101640421	101644352	0.411	0.714	0.804	1.44	0.178	0.325	1.25	0.238	0.38
ENSG00000146426	TIAM2	chr6	+	154832697	155257723	0.438	0.0227	0.0564	0.381	0.0484	0.125	0.148	0.447	0.597
ENSG00000287260		chr6	+	154510770	154522307	0.00172	1		0.41	0.919		-2.47	0.545	
ENSG00000153721	CNKSR3	chr6	-	154387515	154510685	0.939	6.57e-07	7.29e-06	0.861	6.07e-06	7.35e-05	0.423	0.0274	0.0698
ENSG00000074706	IPCEF1	chr6	-	154154496	154356803	-1.23	0.101	0.189	-1.17	0.104	0.22	-2.71	0.00661	0.0218
ENSG00000112031	MTRF1L	chr6	-	152987362	153002709	0.312	0.00323	0.0112	0.276	0.0089	0.0339	0.472	5.94e-06	5.86e-05
ENSG00000227627		chr6	+	152983331	152991322	0.92	0.00922	0.0268	0.768	0.0306	0.0879	0.584	0.103	0.2
ENSG00000112029	FBXO5	chr6	-	152970519	152983579	1.02	4.2e-10	1.01e-08	0.779	2.22e-06	3.01e-05	1.03	2.04e-10	6.21e-09
ENSG00000120279	MYCT1	chr6	+	152697897	152724569	1.37	2.93e-05	0.000202	1.62	1.06e-06	1.55e-05	0.711	0.031	0.0772
ENSG00000091831	ESR1	chr6	+	151656691	152129619	-0.878	0.714		1.22	0.592		0.945	0.683	
ENSG00000146476	ARMT1	chr6	+	151452258	151470101	0.218	0.00594	0.0185	0.188	0.0178	0.058	0.31	7.61e-05	0.000512
ENSG00000131016	AKAP12	chr6	+	151239967	151358559	1.91	3.34e-05	0.000226	1.23	0.00845	0.0325	2.16	2.36e-06	2.65e-05
ENSG00000224029		chr6	+	150624677	150626086	2.04	0.562		-0.35	0.923		2.48	0.474	
ENSG00000198729	PPP1R14C	chr6	+	150143044	150250392	-1.41	9.41e-05	0.000549	-0.735	0.0354	0.0984	-1.49	3.77e-05	0.000282
ENSG00000111981	ULBP1	chr6	+	149963943	149973715	1.3	0.016	0.0422	2.45	1.91e-06	2.64e-05	2.05	7.75e-05	0.00052
ENSG00000120256	LRP11	chr6	-	149818757	149864359	0.662	0.0516	0.11	0.517	0.132	0.262	0.466	0.171	0.296
ENSG00000120265	PCMT1	chr6	+	149749444	149811420	-0.081	0.309	0.445	-0.0639	0.423	0.594	0.0932	0.236	0.378
ENSG00000131023	LATS1	chr6	-	149658153	149718105	0.317	0.00182	0.00685	0.141	0.168	0.312	0.241	0.0171	0.0477
ENSG00000055211	GINM1	chr6	+	149566294	149591748	-0.284	0.000977	0.00405	-0.265	0.00188	0.00971	-0.218	0.0104	0.0316
ENSG00000131013	PPIL4	chr6	-	149504495	149546043	0.271	0.00594	0.0185	0.203	0.0402	0.109	0.224	0.0224	0.0594
ENSG00000177688	SUMO4	chr6	+	149400262	149401278	0.292	0.487	0.617	-2.04e-05	1	1	-0.629	0.164	0.287
ENSG00000055208	TAB2	chr6	+	149218641	149411613	-0.532	3.52e-05	0.000237	-0.31	0.017	0.056	-0.48	0.000179	0.00105
ENSG00000227681		chr6	+	147660703	147953937	4.52	0.00383		4.07	0.0114		1.86	0.305	
ENSG00000164506	STXBP5	chr6	+	147204180	147391010	0.614	9.06e-06	7.26e-05	0.373	0.00766	0.0302	0.466	0.000733	0.00344
ENSG00000233452	STXBP5-AS1	chr6	-	146824539	147204614	0.923	0.0397	0.0891	0.635	0.161	0.302	0.29	0.537	0.674
ENSG00000118508	RAB32	chr6	+	146543833	146554953	0.641	7.45e-05	0.000451	0.74	4.79e-06	5.95e-05	0.335	0.0396	0.0943
ENSG00000146414	SHPRH	chr6	-	145864245	145964423	0.634	6.42e-07	7.16e-06	0.459	0.00037	0.00257	0.508	6.35e-05	0.00044
ENSG00000235652	EPM2A-DT	chr6	+	145799409	145887430	1.11	0.0341	0.0787	0.481	0.371	0.543	-0.418	0.451	0.6
ENSG00000102128	RAB40AL	chrX	+	102937272	102938300	2.16	0.0244	0.06	1.79	0.0697	0.164	1.91	0.0493	0.112
ENSG00000118496	FBXO30	chr6	-	145793502	145814795	0.529	1.75e-06	1.73e-05	0.44	8.21e-05	0.000705	0.44	6.91e-05	0.000472
ENSG00000112425	EPM2A	chr6	-	145382535	145736023	0.873	0.0046	0.015	0.69	0.0268	0.0794	0.911	0.00296	0.011
ENSG00000283122	HYMAI	chr6	-	144004916	144008262	-0.113	0.89	0.932	-1.46	0.137	0.27	-1.31	0.178	0.306
ENSG00000112419	PHACTR2	chr6	+	143536845	143831185	0.592	0.00335	0.0115	0.351	0.0858	0.19	0.603	0.00269	0.0102
ENSG00000001036	FUCA2	chr6	-	143494812	143511720	-0.274	0.000376	0.00181	-0.203	0.0088	0.0336	-0.107	0.163	0.286
ENSG00000189007	ADAT2	chr6	-	143422832	143450695	0.789	0.000199	0.00105	0.515	0.0168	0.0554	0.904	1.67e-05	0.000142
ENSG00000174697	LEP	chr7	+	128241278	128257629	-4.42	2.93e-08	4.6e-07	-3.62	5.99e-06	7.27e-05	-5.42	2.13e-11	7.75e-10
ENSG00000229017	LINC01277	chr6	-	142966293	143059682	0.392	0.7	0.793	-0.762	0.483	0.648	-1.93	0.156	0.276
ENSG00000249375	CASC11	chr8	-	127686343	127738987	1.24	0.666		1.8	0.537		1.38	0.632	
ENSG00000232618	HIVEP2-DT	chr6	+	142946406	142957945	1.72	0.115	0.21	1.15	0.312	0.481	0.00262	0.998	
ENSG00000010818	HIVEP2	chr6	-	142751469	142956698	0.229	0.203	0.323	-0.0987	0.588	0.734	0.0971	0.588	0.717
ENSG00000112414	ADGRG6	chr6	+	142301854	142446266	-0.986	6.15e-11	1.73e-09	-0.852	2.33e-08	5.02e-07	-0.946	3.06e-10	9.01e-09
ENSG00000234147		chr6	-	140575812	140898448	-0.904	0.75		1.57	0.559		0.583	0.83	
ENSG00000156298	TSPAN7	chrX	+	38561542	38688920	0.474	0.146	0.251	0.304	0.354	0.526	0.638	0.0465	0.107
ENSG00000236013	LINC02941	chr6	+	139976352	140093724	-2.74	0.168		-2.97	0.139		-1.83	0.355	
ENSG00000287820		chr6	-	139938864	139991094	2.05	0.379		-0.329	0.893		0.967	0.688	
ENSG00000164442	CITED2	chr6	-	139371807	139374648	-0.68	1.04e-06	1.1e-05	-0.484	0.000593	0.00378	-0.693	6.01e-07	8.11e-06
ENSG00000226571		chr6	+	139271362	139667284	-1.48	0.354	0.491	-2.84	0.118		-2.91	0.105	
ENSG00000203734	ECT2L	chr6	+	138795911	138904070	1.1	0.313	0.449	0.0493	0.966	0.981	0.19	0.868	0.916
