gene_ID	hgnc_symbol	chr	strand	start	end	EOMES_KO_log2FoldChange	EOMES_KO_pvalue	EOMES_KO_padj
ENSG00000240583	AQP1	chr7	+	30911853	30925517	2.53	3.82e-05	9.31e-05
ENSG00000241644	INMT	chr7	+	30697985	30757602	0.789	0.0323	0.0544
ENSG00000196295	GARS1-DT	chr7	-	30516309	30595286	0.273	0.0149	0.0267
ENSG00000006625	GGCT	chr7	-	30496621	30504841	0.646	8.84e-13	3.45e-12
ENSG00000106100	NOD1	chr7	-	30424527	30478784	2.98	5.17e-82	8.11e-81
ENSG00000180233	ZNRF2	chr7	+	30284597	30367689	-0.11	0.321	0.411
ENSG00000180354	MTURN	chr7	+	30134986	30162762	0.681	2.17e-09	7.09e-09
ENSG00000181191	PJA1	chrX	-	69160851	69165521	0.336	1.28e-07	3.75e-07
ENSG00000136193	SCRN1	chr7	-	29920104	29990289	0.0484	0.336	0.428
ENSG00000122574	WIPF3	chr7	+	29806486	29917061	-1.69	2.53e-39	2.13e-38
ENSG00000288973		chr7	-	29645921	29648968	0.835	2.57e-06	6.91e-06
ENSG00000176532	PRR15	chr7	+	29563835	29567293	-3.23	6.17e-28	4.07e-27
ENSG00000285081		chr7	-	29191582	29194109	1.36	0.523	0.611
ENSG00000106069	CHN2	chr7	+	29146547	29514328	-0.773	4.8e-06	1.26e-05
ENSG00000234336	JAZF1-AS1	chr7	+	28180322	28243917	-0.843	0.722	
ENSG00000106052	TAX1BP1	chr7	+	27739331	27844564	0.634	3.88e-31	2.77e-30
ENSG00000272010		chr8	-	65591850	65592472	0.21	0.877	0.911
ENSG00000005073	HOXA11	chr7	-	27181157	27185232	7.96	2.51e-14	1.05e-13
ENSG00000122592	HOXA7	chr7	-	27153716	27157936	5.05	5.83e-10	1.97e-09
ENSG00000165583	SSX5	chrX	-	48186220	48196795	-5.63	2.51e-05	6.22e-05
ENSG00000233429	HOTAIRM1	chr7	+	27095647	27100265	5.56	3.31e-05	8.1e-05
ENSG00000214870	LINC02981	chr7	+	26398593	26497595	3.29	8.31e-19	4.15e-18
ENSG00000122566	HNRNPA2B1	chr7	-	26171151	26201529	0.126	0.0115	0.021
ENSG00000070882	OSBPL3	chr7	-	24796540	24981634	-0.166	0.242	0.325
ENSG00000105928	GSDME	chr7	-	24698355	24757940	0.488	0.000329	0.00073
ENSG00000272871		chr9	-	14588797	14590065	-1.75	0.000449	0.000979
ENSG00000122585	NPY	chr7	+	24284188	24291862	11.8	3.12e-23	1.8e-22
ENSG00000196335	STK31	chr7	+	23710203	23832513	-1.64	6.68e-06	1.74e-05
ENSG00000188732	FAM221A	chr7	+	23680130	23703249	-2.44	1.04e-59	1.2e-58
ENSG00000234286		chr7	-	23679601	23680842	-1.41	0.000142	0.000327
ENSG00000164548	TRA2A	chr7	-	23504780	23532041	0.505	1.04e-15	4.59e-15
ENSG00000273249	WDR5-DT	chr9	-	134132242	134135772	-2.54	0.221	
ENSG00000136231	IGF2BP3	chr7	-	23310209	23470491	-0.058	0.243	0.326
ENSG00000122550	KLHL7	chr7	+	23105758	23177914	0.398	4.81e-10	1.63e-09
ENSG00000230658	KLHL7-DT	chr7	-	23100214	23105703	-1.3	1.37e-05	3.46e-05
ENSG00000105889	STEAP1B	chr7	-	22419444	22727613	-2.88	5.41e-147	1.54e-145
ENSG00000136237	RAPGEF5	chr7	-	22118236	22357154	-3.23	0	0
ENSG00000164649	CDCA7L	chr7	-	21900899	21945903	3.3	0	0
ENSG00000105877	DNAH11	chr7	+	21543039	21901839	1.26	0.00225	0.00454
ENSG00000290069		chr7	+	21427548	21427960	1.52	0.217	0.296
ENSG00000164651	SP8	chr7	-	20782279	20786886	0.352	0.0239	0.0413
ENSG00000105855	ITGB8	chr7	+	20330702	20415754	-2.15	9e-133	2.32e-131
ENSG00000233834	GIRGL	chr7	+	20217536	20221702	-4.2	0.0163	0.029
ENSG00000105835	NAMPT	chr7	-	106248298	106285966	-2.19	1.26e-245	6.9e-244
ENSG00000122691	TWIST1	chr7	-	19020991	19117636	5.39	1.31e-38	1.08e-37
ENSG00000048052	HDAC9	chr7	+	18086949	19002416	1.55	3.52e-06	9.35e-06
ENSG00000071189	SNX13	chr7	-	17790761	17940501	-0.0499	0.447	0.539
ENSG00000137573	SULF1	chr8	+	69466624	69660915	6.93	9.62e-156	2.92e-154
ENSG00000237773		chr7	-	16970320	17299368	2.61	0.179	0.25
ENSG00000106546	AHR	chr7	+	16916359	17346152	2.16	3.83e-81	5.93e-80
ENSG00000106537	TSPAN13	chr7	+	16753755	16784536	-0.45	2.88e-08	8.81e-08
ENSG00000122694	GLIPR2	chr9	+	36136536	36163913	-1.14	2.09e-66	2.65e-65
ENSG00000147697	GSDMC	chr8	-	129748196	129786624	-3.55	0.098	0.148
ENSG00000122644	ARL4A	chr7	+	12686856	12690958	1.79	4.14e-90	7.12e-89
ENSG00000226690		chr7	+	12469621	12542222	-0.538	0.734	0.796
ENSG00000146530	VWDE	chr7	-	12330885	12403941	0.035	0.873	0.908
ENSG00000106460	TMEM106B	chr7	+	12211270	12243367	-0.74	3.81e-23	2.19e-22
ENSG00000230435		chr7	+	11406955	11414078	-4.07	0.00648	0.0123
ENSG00000005108	THSD7A	chr7	-	11370365	11832198	3.83	1.46e-132	3.75e-131
ENSG00000106443	PHF14	chr7	+	10973336	11169623	0.395	5.87e-10	1.98e-09
ENSG00000189043	NDUFA4	chr7	-	10931943	10940153	0.161	0.00289	0.00574
ENSG00000122584	NXPH1	chr7	+	8433609	8752961	-1.47	0.505	0.594
ENSG00000244239	ICA1-AS1	chr7	+	8262233	8262821	-1.04	0.0816	0.126
ENSG00000003147	ICA1	chr7	-	8113184	8262687	-1.08	2.23e-30	1.57e-29
ENSG00000106415	GLCCI1	chr7	+	7968796	8094272	-0.279	0.000288	0.000643
ENSG00000234141		chr7	-	7949853	7950709	-1.62	0.206	0.282
ENSG00000219545	UMAD1	chr7	+	7640711	7968020	0.212	0.0878	0.134
ENSG00000272894	MIOS-DT	chr7	-	7552462	7566996	-3.62	6.09e-10	2.05e-09
ENSG00000215018	COL28A1	chr7	-	7356203	7535873	-0.984	0.134	0.194
ENSG00000106392	C1GALT1	chr7	+	7156934	7248616	0.889	5.73e-48	5.55e-47
ENSG00000287860		chr7	-	6952438	7104482	-0.851	0.0047	0.00909
ENSG00000146574	CCZ1B	chr7	-	6794134	6826770	-0.728	2.46e-39	2.07e-38
ENSG00000290835		chr7	+	6710128	6753862	-0.863	3.46e-11	1.25e-10
ENSG00000164631	ZNF12	chr7	-	6688433	6706947	-0.12	0.0579	0.0925
ENSG00000228010		chr7	+	6663974	6708901	-0.725	0.00968	0.0179
ENSG00000205903	ZNF316	chr7	+	6637318	6658279	0.23	0.00571	0.0109
ENSG00000146576	INTS15	chr7	+	6590021	6608726	0.21	0.0354	0.0592
ENSG00000136238	RAC1	chr7	+	6374527	6403967	0.164	5.35e-05	0.000128
ENSG00000008256	CYTH3	chr7	-	6161779	6272644	0.717	7.63e-13	2.99e-12
ENSG00000106346	USP42	chr7	+	6104949	6161564	-0.225	0.00037	0.000815
ENSG00000157999	ANKRD61	chr7	+	6031376	6036552	-0.786	0.542	0.629
ENSG00000270953		chr7	+	130507660	130508282	2.12	1.67e-05	4.2e-05
ENSG00000086232	EIF2AK1	chr7	-	6022247	6059175	0.0177	0.73	0.793
ENSG00000106305	AIMP2	chr7	+	6009255	6023834	-0.435	4.54e-09	1.45e-08
ENSG00000122512	PMS2	chr7	-	5970925	6009130	0.0468	0.501	0.591
ENSG00000071553	ATP6AP1	chrX	+	154428633	154436516	0.377	6.84e-10	2.3e-09
ENSG00000011275	RNF216	chr7	-	5620047	5781696	-0.0373	0.51	0.599
ENSG00000075618	FSCN1	chr7	+	5592816	5606655	0.531	2.69e-28	1.8e-27
ENSG00000272719		chr7	+	5556731	5557245	-0.342	0.869	0.905
ENSG00000177335	LINC02904	chr8	+	143039209	143060684	-1.66	1.47e-40	1.27e-39
ENSG00000230733		chr7	+	5475804	5479811	1.22	0.442	0.535
ENSG00000273084	LINC03073	chr7	+	5428184	5430566	-0.46	0.129	0.189
ENSG00000290091		chr7	+	5424313	5424942	0.609	0.22	0.299
ENSG00000241269		chr7	+	5419827	5420767	-0.116	0.885	0.917
ENSG00000182095	TNRC18	chr7	-	5306790	5425414	-0.502	3.84e-29	2.61e-28
ENSG00000273313	RBAKDN	chr7	+	5072125	5073223	-2.51	0.17	0.239
ENSG00000196204	RNF216P1	chr7	+	4973988	5040675	-0.289	8.76e-05	0.000206
ENSG00000136297	MMD2	chr7	-	4905989	4959213	-1.58	0.445	0.537
ENSG00000157927	RADIL	chr7	-	4797055	4883716	-1.04	2.53e-26	1.6e-25
ENSG00000286874		chr7	+	4642248	4642570	-0.0691	0.947	0.966
ENSG00000146555	SDK1	chr7	+	3301252	4269000	-0.555	1.61e-12	6.19e-12
ENSG00000146535	GNA12	chr7	-	2728105	2844308	-0.349	6.45e-09	2.05e-08
ENSG00000174945	AMZ1	chr7	+	2679522	2775500	-4.04	1.98e-14	8.34e-14
ENSG00000106012	IQCE	chr7	+	2558972	2614733	-0.481	2.19e-07	6.32e-07
ENSG00000106003	LFNG	chr7	+	2512529	2529177	3.57	7e-47	6.67e-46
ENSG00000136213	CHST12	chr7	+	2403588	2448484	0.119	0.268	0.354
ENSG00000106266	SNX8	chr7	-	2251770	2354318	-0.138	0.131	0.192
ENSG00000106268	NUDT1	chr7	+	2242226	2251146	-0.369	0.00186	0.00379
ENSG00000122687	MRM2	chr7	-	2234195	2242205	-0.352	1.86e-05	4.65e-05
ENSG00000002822	MAD1L1	chr7	-	1815793	2233243	0.241	0.00738	0.0139
ENSG00000154582	ELOC	chr8	-	73939169	73972307	-0.341	7.76e-08	2.31e-07
ENSG00000230487	PSMG3-AS1	chr7	+	1570073	1589626	0.478	9.85e-05	0.000231
ENSG00000157778	PSMG3	chr7	-	1567332	1571005	-0.02	0.8	0.851
ENSG00000164880	INTS1	chr7	-	1470277	1504389	0.554	4.88e-21	2.62e-20
ENSG00000225981	MICALL2-DT	chr7	+	1459912	1464707	0.93	0.701	
ENSG00000164850	GPER1	chr7	+	1082208	1093815	3.54	7.16e-06	1.86e-05
ENSG00000164849	GPR146	chr7	+	1044546	1059261	1.59	0.00826	0.0154
ENSG00000146540	C7orf50	chr7	-	996986	1138260	-0.713	1.09e-19	5.59e-19
ENSG00000105963	ADAP1	chr7	-	897900	955407	-2.51	6.81e-13	2.68e-12
ENSG00000273151		chr7	-	879790	886547	-1.23	0.337	0.429
ENSG00000164828	SUN1	chr7	+	816615	896435	-0.205	0.00081	0.00172
ENSG00000164818	DNAAF5	chr7	+	726699	786475	0.0641	0.321	0.412
ENSG00000160404	TOR2A	chr9	-	127731524	127735313	0.872	1.02e-10	3.58e-10
ENSG00000188191	PRKAR1B	chr7	-	549197	727650	-0.909	6.44e-36	5.08e-35
ENSG00000223855	PDGFA-DT	chr7	+	520391	530163	0.516	0.504	0.593
ENSG00000249574		chr7	+	379359	382712	-3.04	2.62e-11	9.49e-11
ENSG00000240859	LINC03014	chr7	+	149549	155465	0.945	0.0887	0.136
ENSG00000260193	LINC02846	chr9	-	136107808	136109424	-0.108	0.934	0.955
ENSG00000071994	PDCD2	chr6	-	170575295	170584692	-0.637	7.65e-29	5.16e-28
ENSG00000112592	TBP	chr6	+	170554302	170572870	-0.0326	0.727	0.791
ENSG00000271234		chr6	-	170297876	170298375	0.83	0.725	
ENSG00000198719	DLL1	chr6	-	170282206	170306565	3.14	9.38e-09	2.96e-08
ENSG00000230844	ZNF674-AS1	chrX	+	46545438	46548841	0.262	0.297	0.386
ENSG00000231690	LINC00574	chr6	+	169790037	169802873	-2.87	2.87e-09	9.31e-09
ENSG00000130023	ERMARD	chr6	+	169751622	169781600	0.317	0.0247	0.0427
ENSG00000184786	DYNLT2	chr6	-	169740109	169751587	-0.269	0.31	0.4
ENSG00000227704		chr6	+	169724713	169738992	-1.47	2.44e-18	1.2e-17
ENSG00000272848		chr6	-	169426420	169452475	-2.11	4.28e-05	0.000104
ENSG00000285887		chr6	-	169419004	169425156	-1.93	0.145	0.209
ENSG00000226194	LINC02519	chr6	-	169369577	169388385	-0.0267	0.987	0.992
ENSG00000226445	THBS2-AS1	chr6	+	169213254	169245773	-0.151	0.653	0.729
ENSG00000153303	FRMD1	chr6	-	168053095	168101511	1.61	0.357	0.45
ENSG00000125337	KIF25	chr6	+	167996241	168045091	-1.63	6.47e-05	0.000154
ENSG00000229921	KIF25-AS1	chr6	-	167992822	167997110	-0.329	0.0802	0.124
ENSG00000235994		chr6	-	167975924	167979776	-0.762	0.219	0.298
ENSG00000148358	GPR107	chr9	+	130053426	130140169	0.0727	0.168	0.237
ENSG00000203688	LINC02487	chr6	-	167679626	167696290	3.3	0.0572	0.0915
ENSG00000287594		chr6	+	167678180	167680362	2.45	0.00205	0.00416
ENSG00000280707		chr6	+	167228200	167237517	5.17	6.93e-29	4.68e-28
ENSG00000254936		chr8	-	11123381	11126064	-0.965	0.148	0.213
ENSG00000112486	CCR6	chr6	+	167111807	167139141	-2.65	0.00533	0.0102
ENSG00000213066	CEP43	chr6	+	166999174	167052718	-0.137	0.0548	0.088
ENSG00000285730		chr6	-	166995735	166999511	-0.0182	0.972	0.982
ENSG00000227598		chr6	-	166969626	166999065	0.0127	0.994	0.996
ENSG00000026297	RNASET2	chr6	-	166922113	166957191	-0.77	4.86e-09	1.56e-08
ENSG00000235272	RAMACL	chr6	-	166583009	166586678	-1	0.0514	0.083
ENSG00000071242	RPS6KA2	chr6	-	166409364	166906451	-0.341	0.000533	0.00115
ENSG00000287189		chr6	+	166309504	166317547	-2.87	0.00192	0.0039
ENSG00000176381	PRR18	chr6	-	166305300	166308448	-3.41	0.000182	0.000415
ENSG00000164458	TBXT	chr6	-	166157656	166168700	1.89	0.000859	0.00182
ENSG00000270419	CAHM	chr6	-	163413061	163413960	-0.313	0.578	0.663
ENSG00000085511	MAP3K4	chr6	+	160991727	161117385	-0.147	0.0103	0.019
ENSG00000119403	PHF19	chr9	-	120855651	120894896	0.966	8.39e-29	5.65e-28
ENSG00000233342		chr6	+	160926269	160943110	-2.52	3.03e-07	8.7e-07
ENSG00000288873		chr9	-	136848770	136849648	0.0909	0.838	0.881
ENSG00000253361		chr8	-	38543276	38560877	3.1	0.000181	0.000412
ENSG00000292246		chr6	+	160883260	160891562	-5.39	6.27e-109	1.32e-107
ENSG00000224371		chr6	-	160872888	160926204	-1.06	0.305	0.395
ENSG00000102001	CACNA1F	chrX	-	49205063	49233371	-1.28	0.0689	0.108
ENSG00000290613	LPAL2	chr6	-	160466555	160520269	-0.692	0.149	0.214
ENSG00000146477	SLC22A3	chr6	+	160348378	160452577	-1.78	6.21e-24	3.67e-23
ENSG00000175003	SLC22A1	chr6	+	160121815	160158718	1.5	0.0684	0.108
ENSG00000146453	PNLDC1	chr6	+	159800249	159820704	-1.96	0.361	0.454
ENSG00000120438	TCP1	chr6	-	159778498	159789703	0.336	3.57e-12	1.35e-11
ENSG00000291237	SOD2	chr6	-	159669069	159762529	-0.348	5.68e-09	1.81e-08
ENSG00000164694	FNDC1	chr6	+	159169400	159272108	1.21	1.87e-07	5.42e-07
ENSG00000122711	SPINK4	chr9	+	33218365	33248567	0.00396	0.998	0.998
ENSG00000164691	TAGAP	chr6	-	159034468	159045152	1.86	0.342	0.434
ENSG00000130363	RSPH3	chr6	-	158972871	159000202	-1.37	6.71e-54	7.13e-53
ENSG00000241343	RPL36A	chrX	+	101390824	101396155	0.182	9.76e-05	0.000229
ENSG00000272047	GTF2H5	chr6	+	158168350	158199344	-0.705	2.14e-21	1.16e-20
ENSG00000130340	SNX9	chr6	+	157700387	157945077	-0.394	4.91e-14	2.04e-13
ENSG00000175048	ZDHHC14	chr6	+	157381133	157678157	1.81	2.03e-13	8.18e-13
ENSG00000271040	TMEM242-DT	chr6	+	157323964	157324477	-1.39	0.262	0.347
ENSG00000215712	TMEM242	chr6	-	157289025	157323601	-0.145	0.123	0.181
ENSG00000288910		chr6	+	157060632	157061587	-1.24	0.319	0.41
ENSG00000271265		chr6	-	156774217	156774662	-0.498	0.623	0.704
ENSG00000235381		chr6	-	155253139	155256724	-0.674	0.0354	0.0592
ENSG00000286000		chrX	+	101640421	101644352	-0.331	0.808	0.857
ENSG00000146426	TIAM2	chr6	+	154832697	155257723	1.98	1.37e-74	1.96e-73
ENSG00000287260		chr6	+	154510770	154522307	2.68	0.00702	0.0132
ENSG00000153721	CNKSR3	chr6	-	154387515	154510685	0.449	2.83e-08	8.66e-08
ENSG00000074706	IPCEF1	chr6	-	154154496	154356803	-4.3	4.13e-39	3.45e-38
ENSG00000112031	MTRF1L	chr6	-	152987362	153002709	0.145	0.0516	0.0833
ENSG00000227627		chr6	+	152983331	152991322	-2.1	5.56e-14	2.3e-13
ENSG00000112029	FBXO5	chr6	-	152970519	152983579	-0.542	1.14e-12	4.43e-12
ENSG00000120279	MYCT1	chr6	+	152697897	152724569	-3.07	3.93e-261	2.36e-259
ENSG00000091831	ESR1	chr6	+	151656691	152129619	-2.13	0.189	0.262
ENSG00000146476	ARMT1	chr6	+	151452258	151470101	-1.81	3.03e-234	1.57e-232
ENSG00000131016	AKAP12	chr6	+	151239967	151358559	1.46	1.53e-177	5.44e-176
ENSG00000198729	PPP1R14C	chr6	+	150143044	150250392	1.29	0.194	0.269
ENSG00000290917	RAET1K	chr6	-	149998019	150005166	-0.0762	0.922	0.947
ENSG00000231212		chr9	-	62349941	62351536	-4.4	0.00647	0.0123
ENSG00000111981	ULBP1	chr6	+	149963943	149973715	0.535	0.492	0.583
ENSG00000131015	ULBP2	chr6	+	149942014	149949235	3.86	0.0513	0.0828
ENSG00000203722	RAET1G	chr6	-	149916878	149923121	4.1	0.0283	0.0482
ENSG00000223701	RAET1E-AS1	chr6	+	149884431	149919508	3.96	0.0378	0.0628
ENSG00000120256	LRP11	chr6	-	149818757	149864359	3.71	2.72e-231	1.39e-229
ENSG00000120265	PCMT1	chr6	+	149749444	149811420	-0.253	2.08e-05	5.19e-05
ENSG00000131023	LATS1	chr6	-	149658153	149718105	-0.809	2e-50	2.01e-49
ENSG00000055211	GINM1	chr6	+	149566294	149591748	0.261	0.00023	0.00052
ENSG00000131013	PPIL4	chr6	-	149504495	149546043	0.371	1.27e-10	4.43e-10
ENSG00000177688	SUMO4	chr6	+	149400262	149401278	-0.198	0.794	0.846
ENSG00000055208	TAB2	chr6	+	149218641	149411613	0.43	7.37e-21	3.94e-20
ENSG00000164506	STXBP5	chr6	+	147204180	147391010	-1.16	1.03e-54	1.11e-53
ENSG00000233452	STXBP5-AS1	chr6	-	146824539	147204614	1.84	0.0086	0.016
ENSG00000118492	ADGB	chr6	+	146598967	146815462	2.32	0.22	0.299
ENSG00000118508	RAB32	chr6	+	146543833	146554953	-0.433	1.98e-06	5.36e-06
ENSG00000146414	SHPRH	chr6	-	145864245	145964423	0.0998	0.106	0.159
ENSG00000235652	EPM2A-DT	chr6	+	145799409	145887430	0.521	0.042	0.0692
ENSG00000102128	RAB40AL	chrX	+	102937272	102938300	0.563	0.712	0.778
ENSG00000118496	FBXO30	chr6	-	145793502	145814795	-0.2	9.22e-05	0.000217
ENSG00000288551		chr6	+	145749917	145751137	-2.47	0.217	0.296
ENSG00000112425	EPM2A	chr6	-	145382535	145736023	1.46	1.99e-20	1.05e-19
ENSG00000289850		chr6	+	144922315	144929987	-1.01	0.708	
ENSG00000283122	HYMAI	chr6	-	144004916	144008262	5.11	4.42e-08	1.34e-07
ENSG00000112419	PHACTR2	chr6	+	143536845	143831185	-0.182	0.000149	0.000343
ENSG00000001036	FUCA2	chr6	-	143494812	143511720	-0.204	0.00366	0.00718
ENSG00000189007	ADAT2	chr6	-	143422832	143450695	0.0943	0.499	0.589
ENSG00000249375	CASC11	chr8	-	127686343	127738987	-2.97	0.0013	0.00269
ENSG00000232618	HIVEP2-DT	chr6	+	142946406	142957945	2	0.0342	0.0574
ENSG00000010818	HIVEP2	chr6	-	142751469	142956698	3.02	1.09e-119	2.52e-118
ENSG00000112414	ADGRG6	chr6	+	142301854	142446266	3.51	0	0
ENSG00000156298	TSPAN7	chrX	+	38561542	38688920	0.659	0.000515	0.00112
ENSG00000164442	CITED2	chr6	-	139371807	139374648	1.52	2.25e-101	4.4e-100
ENSG00000024862	CCDC28A	chr6	+	138773769	138793319	1.07	1.99e-19	1.01e-18
ENSG00000225177	NHSL1-AS1	chr6	+	138692548	138697288	-0.423	0.0769	0.119
ENSG00000051620	HEBP2	chr6	+	138403531	138422197	-0.817	6.54e-40	5.58e-39
ENSG00000262543	SMIM28	chr6	+	138377905	138383486	-2.45	0.241	
ENSG00000118503	TNFAIP3	chr6	+	137867214	137883314	1.1	4.12e-17	1.93e-16
ENSG00000175895	PLEKHF2	chr8	+	95115642	95156698	-0.797	1.18e-19	6.06e-19
ENSG00000182747	SLC35D3	chr6	+	136922301	136925660	2.76	0.0101	0.0186
ENSG00000135525	MAP7	chr6	-	136342281	136550819	-3.9	0	0
ENSG00000146410	MTFR2	chr6	-	136231024	136250335	0.77	6.95e-05	0.000165
ENSG00000246145	RRS1-DT	chr8	-	66419589	66428977	0.741	0.46	0.552
ENSG00000135541	AHI1	chr6	-	135283407	135498434	-0.0889	0.325	0.416
ENSG00000112339	HBS1L	chr6	-	134960378	135103056	-0.084	0.137	0.199
ENSG00000118514	ALDH8A1	chr6	-	134917393	134950115	0.592	0.685	0.756
ENSG00000028839	TBPL1	chr6	+	133952170	133990432	0.32	5.67e-05	0.000136
ENSG00000227954	TARID	chr6	-	133502252	133892802	3.82	0.0223	0.0388
ENSG00000182307	C8orf33	chr8	+	145052465	145066685	0.285	9.5e-05	0.000223
ENSG00000112319	EYA4	chr6	+	133240514	133532128	2.04	0.00757	0.0142
ENSG00000146409	SLC18B1	chr6	-	132769370	132813339	0.481	1.63e-07	4.75e-07
ENSG00000122729	ACO1	chr9	+	32384603	32454769	-0.0199	0.732	0.795
ENSG00000079950	STX7	chr6	-	132445867	132513198	0.332	2.44e-07	7.03e-07
ENSG00000228495	LINC01013	chr6	+	131901848	132169992	-1.08	0.00485	0.00937
ENSG00000197594	ENPP1	chr6	+	131808016	131895155	0.0156	0.856	0.896
ENSG00000112282	MED23	chr6	-	131573966	131628242	0.805	3.66e-31	2.62e-30
ENSG00000118520	ARG1	chr6	+	131470832	131584332	-4.98	0.000433	0.000947
ENSG00000118507	AKAP7	chr6	+	131135467	131283535	0.265	0.0411	0.0678
ENSG00000158516	CPA2	chr7	+	130266863	130289798	-1.2	0.0555	0.089
ENSG00000164484	TMEM200A	chr6	+	130366017	130443067	0.59	8.75e-13	3.42e-12
ENSG00000227678		chr6	-	130133410	130146179	-1.31	0.303	0.393
ENSG00000146376	ARHGAP18	chr6	-	129576132	129710177	-1.49	3.14e-55	3.4e-54
ENSG00000130826	DKC1	chrX	+	154762742	154777689	0.752	1.14e-37	9.29e-37
ENSG00000226149		chr6	-	129439485	129576047	-1.44	0.207	0.283
ENSG00000289190		chr6	+	128520728	128521180	0.36	0.68	0.751
ENSG00000189367	KIAA0408	chr6	-	127438406	127459389	1.46	1.27e-10	4.44e-10
ENSG00000146374	RSPO3	chr6	+	127118671	127199481	11.7	3.3e-23	1.9e-22
ENSG00000203760	CENPW	chr6	+	126340115	126348875	0.775	2.68e-14	1.12e-13
ENSG00000111912	NCOA7	chr6	+	125781161	125932034	-0.436	9.51e-07	2.63e-06
ENSG00000135547	HEY2	chr6	+	125747664	125761269	7.2	3.64e-252	2.09e-250
ENSG00000111906	HDDC2	chr6	-	125219962	125302078	0.332	1.61e-07	4.7e-07
ENSG00000111907	TPD52L1	chr6	+	125119049	125264407	-0.408	0.00288	0.00573
ENSG00000146373	RNF217	chr6	+	124962437	125092633	0.889	1.1e-41	9.72e-41
ENSG00000188580	NKAIN2	chr6	+	123803865	124825640	1.41	0.0316	0.0534
ENSG00000106299	WASL	chr7	-	123681943	123749003	-0.0437	0.516	0.604
ENSG00000172594	SMPDL3A	chr6	+	122789049	122809720	1.42	1.82e-11	6.63e-11
ENSG00000164434	FABP7	chr6	+	122779716	122784074	1.43	0.00149	0.00307
ENSG00000287100		chr6	+	119349886	119689173	0.627	0.197	0.272
ENSG00000111879	FAM184A	chr6	-	118959763	119149387	-3.59	0	0
ENSG00000253194		chr6	+	118934770	119182745	-2.16	0.181	0.253
ENSG00000111877	MCM9	chr6	-	118813442	118935162	-0.188	0.0339	0.0568
ENSG00000111860	CEP85L	chr6	-	118460772	118710075	1.74	6.27e-73	8.72e-72
ENSG00000153989	NUS1	chr6	+	117675469	117710727	-0.369	8.46e-12	3.14e-11
ENSG00000164465	DCBLD1	chr6	+	117453817	117569858	1.91	1.17e-123	2.79e-122
ENSG00000111834	RSPH4A	chr6	+	116616479	116632985	-0.291	0.571	0.656
ENSG00000189241	TSPYL1	chr6	-	116267760	116279930	-0.172	0.000324	0.000718
ENSG00000178425	NT5DC1	chr6	+	116100851	116249497	-0.619	5.03e-22	2.8e-21
ENSG00000289376		chr6	-	115901795	116100713	-0.897	0.454	0.546
ENSG00000196591	HDAC2	chr6	-	113933028	114011308	0.0646	0.155	0.221
ENSG00000277443	MARCKS	chr6	+	113857345	113863475	0.774	1.42e-53	1.5e-52
ENSG00000223969		chr7	-	90590619	90597398	2.3	0.000188	0.000427
ENSG00000074935	TUBE1	chr6	-	112070663	112087529	-1.83	1.56e-50	1.58e-49
ENSG00000010810	FYN	chr6	-	111660332	111873452	0.811	5.63e-38	4.6e-37
ENSG00000231889	TRAF3IP2-AS1	chr6	+	111483459	111598783	-0.153	0.263	0.349
ENSG00000254180		chr8	-	90198389	90620077	1.99	0.176	0.246
ENSG00000272356		chr6	+	111309203	111313517	0.774	0.0117	0.0213
ENSG00000112394	SLC16A10	chr6	+	111087503	111231194	-0.597	0.0221	0.0383
ENSG00000197498	RPF2	chr6	+	110982015	111028263	0.345	1.96e-05	4.88e-05
ENSG00000155115	GTF3C6	chr6	+	110958706	110967890	0.0129	0.852	0.892
ENSG00000123505	AMD1	chr6	+	110874770	110898879	-0.323	8.72e-09	2.75e-08
ENSG00000155111	CDK19	chr6	-	110609978	110815958	0.892	6.56e-27	4.2e-26
ENSG00000175283	DOLK	chr9	-	128945530	128947603	-0.554	1.46e-08	4.54e-08
ENSG00000112290	WASF1	chr6	-	110099819	110180004	0.509	2.76e-16	1.25e-15
ENSG00000112367	FIG4	chr6	+	109690609	109878098	-0.409	9.19e-06	2.36e-05
ENSG00000155085	AK9	chr6	-	109492855	109691217	1.88	7.96e-13	3.12e-12
ENSG00000112365	ZBTB24	chr6	-	109460632	109483239	-0.0638	0.479	0.571
ENSG00000135587	SMPD2	chr6	+	109440724	109443919	-0.372	0.0294	0.0499
ENSG00000185250	PPIL6	chr6	-	109390215	109441171	-1.06	0.000463	0.00101
ENSG00000260273		chr6	+	109382795	109383667	-0.22	0.77	0.827
ENSG00000135535	CD164	chr6	-	109366514	109382467	0.885	9.96e-58	1.12e-56
ENSG00000118690	ARMC2	chr6	+	108848416	108974476	0.624	0.0161	0.0288
ENSG00000112335	SNX3	chr6	-	108211222	108261246	1.04	8.05e-84	1.29e-82
ENSG00000025796	SEC63	chr6	-	107867756	107958208	0.455	3.62e-14	1.51e-13
ENSG00000176595	KBTBD11	chr8	+	1973677	2006936	-1.98	4.81e-86	7.88e-85
ENSG00000289433		chr6	+	107595351	107597651	3.55	5.33e-06	1.4e-05
ENSG00000272398	CD24	chr6	-	106969831	106975627	0.11	0.00735	0.0138
ENSG00000130348	QRSL1	chr6	+	106629578	106668417	-0.285	4e-04	0.000878
ENSG00000112297	CRYBG1	chr6	+	106360717	106572017	-2.88	1.34e-10	4.66e-10
