gene_ID	hgnc_symbol	chr	strand	start	end	PAX6_CE_log2FoldChange	PAX6_CE_pvalue	PAX6_CE_padj	PAX6_KO_log2FoldChange	PAX6_KO_pvalue	PAX6_KO_padj	PAX6_PTC_log2FoldChange	PAX6_PTC_pvalue	PAX6_PTC_padj
ENSG00000226954		chr22	-	49718053	49724506	-0.0755	0.985		0.414	0.915	1	1.06	0.784	1
ENSG00000188511	MIR3667HG	chr22	-	49414524	49657542	-1.11	0.527	1	0.043	0.979	1	0.626	0.699	1
ENSG00000205632	LINC01310	chr22	+	48866770	48898386	-0.758	0.485	1	0.0195	0.985	1	1.32	0.2	1
ENSG00000170044	ZPLD1	chr3	+	102099244	102479841	0.719	0.631	1	0.905	0.546	1	0.935	0.531	1
ENSG00000219438	TAFA5	chr22	+	48489553	48850912	0.227	0.323	1	0.348	0.131	1	0.311	0.176	1
ENSG00000287225		chr22	-	48474135	48489324	1.79	0.781		1.93	0.764		0.788	0.903	
ENSG00000164366	CCDC127	chr5	-	196868	218153	0.0126	0.922	1	0.0693	0.591	1	-0.0813	0.528	1
ENSG00000260317	LINC02986	chr8	+	80541300	80543104	-0.139	0.83	1	0.207	0.75	1	-1.07	0.108	1
ENSG00000107159	CA9	chr9	+	35673928	35681159	0.818	0.425	1	0.542	0.601	1	-0.227	0.83	1
ENSG00000177992	SPATA31E1	chr9	+	87882877	87888903	1.76	0.572		3.91	0.19	1	3.35	0.264	
ENSG00000054611	TBC1D22A	chr22	+	46762617	47175699	0.0382	0.827	1	0.0546	0.755	1	0.107	0.54	1
ENSG00000173852	DPY19L1	chr7	-	34927292	35038271	0.00802	0.955	1	-0.0484	0.733	1	0.0261	0.854	1
ENSG00000075240	GRAMD4	chr22	+	46576012	46679790	0.149	0.324	1	0.258	0.0876	1	0.0525	0.728	1
ENSG00000253910	PCDHGB2	chr5	+	141359994	141512975	0.0959	0.759	1	-0.265	0.399	1	0.00711	0.982	1
ENSG00000234869	LINC02925	chr22	+	46541495	46548196	-0.136	0.908	1	-0.215	0.856	1	-0.193	0.87	1
ENSG00000291139	DPY19L2P2	chr7	-	103175133	103280410	0.178	0.675	1	0.031	0.942	1	0.012	0.978	1
ENSG00000288754		chr22	+	46537892	46539807	1.59	0.12	1	0.783	0.459	1	1.37	0.184	1
ENSG00000075275	CELSR1	chr22	-	46360834	46537620	0.0761	0.711	1	0.18	0.383	1	0.0865	0.674	1
ENSG00000075218	GTSE1	chr22	+	46296870	46330810	0.0606	0.768	1	0.175	0.394	1	-0.127	0.536	1
ENSG00000277232	GTSE1-DT	chr22	-	46295143	46296660	0.45	0.451	1	-0.196	0.751	1	0.431	0.471	1
ENSG00000075234	TTC38	chr22	+	46267961	46294008	0.137	0.439	1	0.231	0.193	1	0.348	0.049	1
ENSG00000130943	PKDREJ	chr22	-	46255663	46263343	1.12	0.644	1	-2.4	0.362		-1.65	0.53	1
ENSG00000205643	CDPF1	chr22	-	46244011	46250311	0.00478	0.985	1	0.177	0.487	1	0.151	0.553	1
ENSG00000157654	PALM2AKAP2	chr9	+	109498325	110172512	0.0133	0.961	1	0.0783	0.771	1	-0.0171	0.949	1
ENSG00000157680	DGKI	chr7	-	137381037	137847092	-0.28	0.523	1	-0.223	0.611	1	-0.443	0.313	1
ENSG00000231711	LINC00899	chr22	-	46039907	46044853	-1.75	0.357	1	-1.56	0.411	1	-2.4	0.23	1
ENSG00000135253	KCP	chr7	-	128862042	128910719	0.144	0.576	1	0.355	0.168	1	0.134	0.602	1
ENSG00000279954		chr22	+	45875932	45879247	0.439	0.646	1	0.52	0.587	1	-0.133	0.891	1
ENSG00000130638	ATXN10	chr22	+	45671798	45845307	-0.00331	0.978	1	0.0479	0.697	1	-0.0262	0.831	1
ENSG00000273287		chr22	-	45262273	45263585	-1.75	0.522	1	-4.98	0.0871		-2.15	0.434	
ENSG00000273353		chr22	+	45178990	45179310	-0.976	0.492	1	-0.532	0.703	1	-0.725	0.603	1
ENSG00000255224		chr8	-	144077997	144079265	-0.646	0.348	1	-0.225	0.742	1	-0.471	0.49	1
ENSG00000093000	NUP50	chr22	+	45163925	45188017	-0.039	0.754	1	-0.0982	0.43	1	-0.144	0.247	1
ENSG00000273243		chr22	-	45155539	45156011	-0.361	0.611	1	-0.358	0.615	1	-0.415	0.559	1
ENSG00000056487	PHF21B	chr22	-	44881162	45010005	-0.0791	0.607	1	-0.00394	0.98	1	-0.0692	0.653	1
ENSG00000241484	ARHGAP8	chr22	+	44752558	44862788	0.0644	0.828	1	-0.23	0.437	1	0.227	0.441	1
ENSG00000188636	RTL6	chr22	-	44492583	44498233	-0.0645	0.733	1	0.0343	0.856	1	-0.136	0.472	1
ENSG00000280011		chr22	-	44210442	44229512	1.1	0.68	1	0.45	0.868	1	1	0.707	1
ENSG00000286900		chr4	+	3450638	3453108	-1.1	0.702	1	-2.52	0.401		-3.65	0.234	
ENSG00000138964	PARVG	chr22	+	44172956	44219533	-1.62	0.514		-1.44	0.562		-0.726	0.762	1
ENSG00000280434		chr22	+	44139365	44153626	-0.384	0.376	1	0.69	0.0993	1	-0.286	0.507	1
ENSG00000279175		chr22	+	44102779	44116232	-0.0886	0.891	1	-0.0865	0.895	1	0.198	0.757	1
ENSG00000100347	SAMM50	chr22	+	43955442	44010531	-0.0072	0.951	1	-0.0659	0.578	1	0.0258	0.827	1
ENSG00000100344	PNPLA3	chr22	+	43923792	43964488	-0.0355	0.921	1	-0.384	0.283	1	0.018	0.96	1
ENSG00000130540	SULT4A1	chr22	-	43824509	43862513	0.0521	0.789	1	0.0299	0.878	1	0.109	0.575	1
ENSG00000261251	EFCAB6-DT	chr22	+	43812456	43817394	-0.326	0.433	1	-0.376	0.369	1	-0.6	0.152	1
ENSG00000159307	SCUBE1	chr22	-	43197280	43343372	0.37	0.613	1	0.407	0.578	1	-0.00986	0.989	1
ENSG00000100290	BIK	chr22	+	43110750	43129712	-0.0487	0.927	1	-0.323	0.546	1	0.239	0.649	1
ENSG00000100266	PACSIN2	chr22	-	42835412	43015149	-0.0385	0.689	1	-0.0476	0.622	1	-0.0721	0.454	1
ENSG00000128274	A4GALT	chr22	-	42692121	42721298	0.0331	0.88	1	-0.0149	0.946	1	0.232	0.29	1
ENSG00000235568	NFAM1	chr22	-	42380407	42432403	0.635	0.226	1	0.142	0.789	1	0.464	0.378	1
ENSG00000232710		chr22	-	42136433	42139927	0.822	0.691	1	1.79	0.379	1	-0.177	0.934	1
ENSG00000260231	KDM7A-DT	chr7	+	140177184	140179640	-0.112	0.719	1	-0.0685	0.827	1	-0.0707	0.821	1
ENSG00000237037	NDUFA6-DT	chr22	+	42090931	42137742	0.161	0.553	1	0.127	0.64	1	0.2	0.461	1
ENSG00000286735		chr3	+	120448974	120509675	-0.138	0.98		1	0.857		0.788	0.888	
ENSG00000184983	NDUFA6	chr22	-	42085526	42090884	0.136	0.45	1	0.116	0.52	1	-0.147	0.416	1
ENSG00000286659		chr22	+	42070949	42071488	0.111	0.95	1	-0.214	0.906	1	-0.775	0.673	1
ENSG00000198951	NAGA	chr22	-	42058334	42070842	0.152	0.253	1	0.0627	0.64	1	0.0348	0.794	1
ENSG00000100167	SEPTIN3	chr22	+	41969443	41998221	-0.0601	0.73	1	-0.0863	0.62	1	0.0436	0.802	1
ENSG00000205704	SMIM45	chr22	+	41952150	41958939	0.379	0.706	1	0.784	0.433	1	-0.589	0.567	1
ENSG00000234965	SHISA8	chr22	-	41909543	41915074	2.21	0.502		1.92	0.565		0.788	0.816	
ENSG00000178033	CALHM5	chr6	+	116511639	116524788	-0.803	0.294	1	-0.761	0.322	1	-0.964	0.21	1
ENSG00000100147	CCDC134	chr22	+	41800679	41832164	-0.228	0.17	1	-0.0984	0.554	1	-0.0235	0.887	1
ENSG00000167077	MEI1	chr22	+	41699503	41799456	4.77	0.06	1	4.49	0.0778	1	4.41	0.083	1
ENSG00000100138	SNU13	chr22	-	41673933	41690504	-0.0045	0.977	1	0.0842	0.598	1	-0.0703	0.659	1
ENSG00000196419	XRCC6	chr22	+	41621163	41664048	0.000815	0.995	1	0.0567	0.651	1	-0.12	0.337	1
ENSG00000100418	DESI1	chr22	-	41598028	41621043	-0.0876	0.419	1	-0.148	0.173	1	-0.00501	0.963	1
ENSG00000100417	PMM1	chr22	-	41576900	41589871	0.338	0.188	1	0.451	0.0795	1	0.392	0.127	1
ENSG00000261189	DSP-AS1	chr6	-	7540447	7543114	-0.47	0.233	1	-0.542	0.173	1	-0.277	0.479	1
ENSG00000172346	CSDC2	chr22	+	41561010	41577741	1.04	0.189	1	1.36	0.0845	1	1.22	0.121	1
ENSG00000137561	TTPA	chr8	-	63048553	63086053	0.426	0.324	1	0.373	0.39	1	0.0295	0.946	1
ENSG00000289841		chr22	+	41446935	41447749	-0.727	0.605	1	0.0348	0.98	1	-1.46	0.318	1
ENSG00000183864	TOB2	chr22	-	41433494	41446801	-0.0197	0.856	1	-0.0835	0.444	1	-0.0547	0.615	1
ENSG00000167074	TEF	chr22	+	41367333	41399326	-0.0413	0.778	1	0.05	0.733	1	0.0669	0.647	1
ENSG00000100403	ZC3H7B	chr22	+	41301525	41360147	0.00371	0.97	1	0.027	0.788	1	0.0533	0.595	1
ENSG00000100399	CHADL	chr22	-	41229510	41240931	4.29	0.0635	1	3.49	0.137	1	3.69	0.113	1
ENSG00000235513	L3MBTL2-AS1	chr22	-	41207592	41228500	-0.742	0.631	1	-0.0987	0.948	1	0.224	0.881	1
ENSG00000145103	ILDR1	chr3	-	121987323	122022247	-0.29	0.723	1	-0.341	0.68	1	-0.844	0.31	1
ENSG00000100395	L3MBTL2	chr22	+	41205282	41231271	0.0848	0.457	1	0.127	0.267	1	0.00303	0.979	1
ENSG00000231993	EP300-AS1	chr22	-	41174591	41197508	2.78	0.516		0.0432	0.992		1.57	0.719	
ENSG00000144868	TMEM108	chr3	+	133038391	133397775	0.0315	0.836	1	-0.0879	0.565	1	-0.0258	0.865	1
ENSG00000100393	EP300	chr22	+	41092592	41180077	-0.233	0.283	1	-0.261	0.23	1	-0.0903	0.678	1
ENSG00000100387	RBX1	chr22	+	40951347	40973309	0.118	0.638	1	0.199	0.43	1	-0.0245	0.923	1
ENSG00000196236	XPNPEP3	chr22	+	40857077	40932815	-0.0473	0.678	1	-0.0689	0.546	1	0.063	0.58	1
ENSG00000128285	MCHR1	chr22	+	40679273	40682812	0.333	0.642	1	-0.231	0.751	1	0.163	0.82	1
ENSG00000289361		chr4	+	89940	91488	-0.204	0.585	1	-0.319	0.396	1	-0.354	0.345	1
ENSG00000289292		chr22	-	40660784	40684939	-1.22	0.615	1	-1.53	0.539	1	-1.27	0.6	1
ENSG00000196588	MRTFA	chr22	-	40410281	40636719	0.00908	0.946	1	0.0741	0.582	1	0.0613	0.648	1
ENSG00000127022	CANX	chr5	+	179678628	179731641	-0.0277	0.807	1	-0.131	0.25	1	-0.103	0.365	1
ENSG00000100354	TNRC6B	chr22	+	40044817	40335808	-0.248	0.238	1	-0.22	0.297	1	-0.133	0.526	1
ENSG00000261202	TNRC6B-DT	chr22	-	40043068	40044565	1.15	0.315	1	1.33	0.245	1	0.98	0.393	1
ENSG00000133477	FAM83F	chr22	+	39994954	40043534	0.0344	0.952	1	-0.284	0.622	1	0.542	0.345	1
ENSG00000187742	SECISBP2	chr9	+	89318500	89359663	-0.145	0.146	1	-0.0794	0.425	1	-0.0489	0.623	1
ENSG00000100346	CACNA1I	chr22	+	39570753	39689735	-0.0829	0.848	1	-0.259	0.554	1	0.0555	0.898	1
ENSG00000104695	PPP2CB	chr8	-	30774457	30814314	0.0119	0.922	1	-0.0113	0.927	1	-0.0675	0.582	1
ENSG00000187051	RPS19BP1	chr22	-	39529093	39532761	0.288	0.22	1	0.501	0.0328	1	0.247	0.293	1
ENSG00000100324	TAB1	chr22	+	39399778	39437060	0.0539	0.698	1	0.156	0.261	1	0.136	0.328	1
ENSG00000100311	PDGFB	chr22	-	39223359	39244982	-0.212	0.849	1	-0.119	0.915	1	0.475	0.664	1
ENSG00000113262	GRM6	chr5	-	178977587	178996206	-3.58	0.683		-2.44	0.781	1	-3.62	0.68	
ENSG00000100307	CBX7	chr22	-	39120167	39152680	0.275	0.196	1	0.345	0.105	1	0.231	0.276	1
ENSG00000145632	PLK2	chr5	-	58453982	58460139	0.238	0.51	1	0.103	0.777	1	0.687	0.0554	1
ENSG00000128394	APOBEC3F	chr22	+	39040604	39055972	-0.0762	0.776	1	-0.0726	0.787	1	0.251	0.345	1
ENSG00000068323	TFE3	chrX	-	49028726	49043410	-0.0157	0.951	1	-0.13	0.608	1	0.191	0.45	1
ENSG00000288106		chr22	+	38886837	38903794	0.55	0.666	1	-0.0381	0.977	1	-0.425	0.745	1
ENSG00000091073	DTX2	chr7	+	76461676	76505995	0.185	0.375	1	0.23	0.272	1	0.216	0.302	1
ENSG00000221890	NPTXR	chr22	-	38818452	38844028	-0.0108	0.961	1	-0.0737	0.741	1	-0.051	0.819	1
ENSG00000272669		chr22	+	38742625	38743115	0.5	0.417	1	0.99	0.106	1	0.381	0.538	1
ENSG00000155428	TRIM74	chr7	-	72959485	72969466	-0.277	0.787	1	-0.612	0.553	1	-0.119	0.907	1
ENSG00000225450		chr22	+	38739003	38749041	3.04	0.321	1	3.57	0.241		2.59	0.399	
ENSG00000104626	ERI1	chr8	+	9002147	9116746	-0.138	0.268	1	-0.238	0.0566	1	-0.14	0.261	1
ENSG00000230149		chr22	+	38734730	38738990	1.18	0.374	1	2.14	0.102	1	2.09	0.109	1
ENSG00000164659	ELAPOR2	chr7	-	86876906	87059654	-0.669	0.26	1	-0.891	0.133	1	-0.597	0.315	1
ENSG00000244491		chr22	+	38734725	38738765	-1.3	0.324	1	-1.41	0.287	1	-1.62	0.221	1
ENSG00000100221	JOSD1	chr22	-	38685543	38701556	-0.0406	0.796	1	-0.0457	0.771	1	-0.139	0.376	1
ENSG00000100216	TOMM22	chr22	+	38681957	38685421	0.0595	0.676	1	0.169	0.236	1	0.0199	0.889	1
ENSG00000228274		chr22	-	38667585	38681860	-0.2	0.495	1	-0.389	0.188	1	-0.0364	0.901	1
ENSG00000100211	CBY1	chr22	+	38656636	38673854	0.105	0.623	1	0.111	0.607	1	-0.0621	0.772	1
ENSG00000248738		chr8	+	22877972	22888022	1.71	0.541	1	2.46	0.366	1	3.39	0.201	1
ENSG00000184949	FAM227A	chr22	-	38578118	38656629	-0.111	0.549	1	-0.0864	0.641	1	-0.0742	0.688	1
ENSG00000100201	DDX17	chr22	-	38483438	38507660	-0.125	0.483	1	-0.169	0.343	1	-0.0152	0.932	1
ENSG00000168135	KCNJ4	chr22	-	38426327	38455199	-0.0881	0.89	1	0.351	0.578	1	0.55	0.378	1
ENSG00000213923	CSNK1E	chr22	-	38290691	38318084	0.2	0.0791	1	0.232	0.0416	1	0.221	0.052	1
ENSG00000198792	TMEM184B	chr22	-	38219291	38273010	0.18	0.297	1	0.224	0.194	1	0.172	0.318	1
ENSG00000156170	NDUFAF6	chr8	+	94895533	95116455	-0.0417	0.805	1	0.013	0.939	1	-0.0285	0.866	1
ENSG00000272720		chr22	+	38090127	38091559	-0.269	0.398	1	-0.21	0.511	1	0.00132	0.997	1
ENSG00000100156	SLC16A8	chr22	-	38078134	38084184	0.481	0.578	1	0.774	0.369	1	1.29	0.131	1
ENSG00000100151	PICK1	chr22	+	38056311	38075701	0.0782	0.604	1	0.0778	0.607	1	0.172	0.252	1
ENSG00000100142	POLR2F	chr22	+	37952607	38041915	0.0666	0.707	1	0.0627	0.723	1	-0.103	0.562	1
ENSG00000272582		chr22	+	37950965	37951778	0.217	0.938	1	0.506	0.856	1	0.12	0.966	1
ENSG00000172461	FUT9	chr6	+	96015974	96215612	-0.225	0.445	1	-0.27	0.36	1	-0.0722	0.807	1
ENSG00000128346	C22orf23	chr22	-	37943050	37953669	1.31	0.162	1	1.24	0.191	1	0.715	0.453	1
ENSG00000042832	TG	chr8	+	132866958	133134903	0.451	0.827	1	-2.44	0.296		-1.27	0.561	
ENSG00000100139	MICALL1	chr22	+	37905657	37942822	0.131	0.4	1	0.103	0.509	1	0.164	0.291	1
ENSG00000279738		chr22	+	37876148	37895563	0.567	0.0142	1	0.669	0.00386	1	0.418	0.0714	1
ENSG00000122707	RECK	chr9	+	36036913	36124455	0.00572	0.964	1	0.0151	0.906	1	-0.121	0.343	1
ENSG00000100124	ANKRD54	chr22	-	37830855	37849327	0.105	0.558	1	0.114	0.526	1	0.0505	0.778	1
ENSG00000100116	GCAT	chr22	+	37807905	37817176	0.277	0.397	1	0.298	0.364	1	0.386	0.238	1
ENSG00000124813	RUNX2	chr6	+	45328157	45664349	-0.669	0.434	1	0.193	0.817	1	0.0591	0.943	1
ENSG00000189060	H1-0	chr22	+	37805229	37807432	0.0381	0.801	1	-0.038	0.801	1	-0.0449	0.766	1
ENSG00000100106	TRIOBP	chr22	+	37697048	37776556	0.00235	0.99	1	0.0246	0.894	1	0.126	0.498	1
ENSG00000100097	LGALS1	chr22	+	37675636	37679802	0.161	0.616	1	0.485	0.13	1	0.117	0.715	1
ENSG00000233360	PDXP-DT	chr22	-	37641832	37658377	1.13	0.415	1	0.9	0.519	1	1.33	0.336	1
ENSG00000100092	SH3BP1	chr22	+	37634654	37656117	0.135	0.429	1	0.0929	0.588	1	0.149	0.385	1
ENSG00000145348	TBCK	chr4	-	106041599	106316683	-0.0543	0.76	1	-0.148	0.406	1	-0.124	0.487	1
ENSG00000100065	CARD10	chr22	-	37490362	37519542	0.00733	0.978	1	0.263	0.322	1	0.259	0.327	1
ENSG00000100060	MFNG	chr22	-	37469063	37486393	0.436	0.23	1	0.821	0.0232	1	0.78	0.0307	1
ENSG00000211699	TRGV3	chr7	-	38358512	38359162	-0.75	0.845	1	-3.98	0.316		-2.44	0.535	
ENSG00000166897	ELFN2	chr22	-	37367960	37427479	0.0955	0.776	1	-0.19	0.572	1	0.337	0.316	1
ENSG00000100055	CYTH4	chr22	+	37282027	37315341	0.36	0.655	1	0.415	0.609	1	0.458	0.568	1
ENSG00000100385	IL2RB	chr22	-	37118666	37175118	0.206	0.792	1	0.276	0.724	1	-0.234	0.766	1
ENSG00000100379	KCTD17	chr22	+	37051739	37063390	0.253	0.32	1	0.39	0.125	1	0.218	0.391	1
ENSG00000287236		chr22	+	37033124	37035513	0.594	0.781	1	1.26	0.549	1	0.886	0.675	1
ENSG00000145002	FAM86B2	chr8	-	12424411	12436406	-0.238	0.668	1	-0.238	0.67	1	0.164	0.767	1
ENSG00000128309	MPST	chr22	+	37019635	37029821	0.27	0.184	1	0.372	0.067	1	0.175	0.39	1
ENSG00000100362	PVALB	chr22	-	36800684	36819479	0.972	0.5	1	0.461	0.754	1	0.601	0.68	1
ENSG00000134086	VHL	chr3	+	10141778	10153667	0.0117	0.918	1	-0.0109	0.923	1	-0.0537	0.634	1
ENSG00000287773		chr22	-	36754086	36755731	-0.745	0.782	1	-0.957	0.725	1	-3.62	0.203	
ENSG00000253549	CA3-AS1	chr8	-	85440596	85464915	-0.471	0.237	1	-0.471	0.24	1	-0.851	0.0347	1
ENSG00000100348	TXN2	chr22	-	36467046	36481640	0.101	0.591	1	0.127	0.5	1	0.0424	0.822	1
ENSG00000223695	MYH9-DT	chr22	+	36388626	36396517	-1.72	0.53	1	-3.98	0.164		-2.42	0.389	
ENSG00000100345	MYH9	chr22	-	36281280	36388010	-0.124	0.367	1	-0.036	0.794	1	0.0715	0.604	1
ENSG00000100336	APOL4	chr22	-	36189124	36204840	-0.813	0.442	1	-0.164	0.876	1	-1.06	0.321	1
ENSG00000100320	RBFOX2	chr22	-	35738736	36028824	-0.163	0.301	1	-0.289	0.0666	1	-0.0995	0.528	1
ENSG00000285761		chr6	+	29752573	29763295	-1.08	0.731		-0.956	0.762	1	-0.243	0.938	
ENSG00000221963	APOL6	chr22	+	35648446	35668404	0.586	0.584	1	0.59	0.583	1	-0.017	0.988	1
ENSG00000198125	MB	chr22	-	35606764	35637951	0.0372	0.963	1	-0.242	0.766	1	0.708	0.377	1
ENSG00000100302	RASD2	chr22	+	35540831	35553999	0.269	0.784	1	0.875	0.369	1	1.88	0.0497	1
ENSG00000100297	MCM5	chr22	+	35400134	35425431	0.0403	0.833	1	0.153	0.422	1	0.0166	0.931	1
ENSG00000280029		chr5	-	141136683	141245380	-0.701	0.753	1	0.0217	0.992	1	-2.62	0.257	
ENSG00000100292	HMOX1	chr22	+	35380361	35394214	0.135	0.603	1	0.077	0.768	1	0.203	0.434	1
ENSG00000100281	HMGXB4	chr22	+	35257452	35295807	-0.0743	0.415	1	-0.0801	0.381	1	-0.109	0.231	1
ENSG00000164603	BMT2	chr7	-	112819147	112939875	0.0925	0.702	1	-0.026	0.915	1	-0.128	0.598	1
ENSG00000273082	LARGE1-AS1	chr22	+	33922422	33922766	2.08	0.29	1	1.81	0.362	1	2.01	0.309	1
ENSG00000133424	LARGE1	chr22	-	33162226	33922841	-0.0171	0.911	1	-0.27	0.0768	1	0.0418	0.784	1
ENSG00000100234	TIMP3	chr22	+	32801705	32863041	-0.23	0.67	1	-0.608	0.26	1	0.382	0.479	1
ENSG00000100225	FBXO7	chr22	+	32474676	32498829	-0.0456	0.666	1	-0.0848	0.424	1	0.0272	0.797	1
ENSG00000273325		chr22	+	32284683	32285131	1.48	0.464	1	0.434	0.836	1	2.35	0.238	1
ENSG00000067177	PHKA1	chrX	-	72578814	72714319	-0.0451	0.84	1	-0.428	0.0574	1	0.0969	0.665	1
ENSG00000180245	RRH	chr4	+	109827972	109849123	-2.16	0.0865	1	-1.04	0.394	1	-1.33	0.276	1
ENSG00000242082	SLC5A4-AS1	chr22	+	32205115	32278382	-0.251	0.526	1	-0.443	0.266	1	0.0224	0.955	1
ENSG00000174780	SRP72	chr4	+	56467617	56503681	-0.0183	0.886	1	-0.015	0.907	1	-0.107	0.401	1
ENSG00000100170	SLC5A1	chr22	+	32043261	32113029	-1.09	0.276	1	-0.918	0.358	1	-0.0846	0.931	1
ENSG00000144810	COL8A1	chr3	+	99638475	99799226	-0.137	0.975		0.0433	0.992		1.57	0.722	
ENSG00000128245	YWHAH	chr22	+	31944522	31957603	-0.0213	0.888	1	-0.00388	0.979	1	-0.0985	0.515	1
ENSG00000100150	DEPDC5	chr22	+	31753867	31908033	0.111	0.426	1	0.0863	0.536	1	0.0778	0.576	1
ENSG00000287817		chr22	+	31490150	31491022	0.389	0.571	1	0.118	0.865	1	0.24	0.728	1
ENSG00000198089	SFI1	chr22	+	31488688	31618588	0.0369	0.759	1	0.14	0.246	1	0.137	0.255	1
ENSG00000100105	PATZ1	chr22	-	31325804	31346346	0.152	0.193	1	0.111	0.342	1	0.102	0.381	1
ENSG00000184709	LRRC26	chr9	-	137168758	137170051	0.841	0.712	1	1.91	0.393	1	-0.836	0.731	
ENSG00000288793		chr3	+	76580318	76581804	0.824	0.939		1	0.926		-0.174	0.987	
ENSG00000182541	LIMK2	chr22	+	31212239	31280080	-0.00303	0.978	1	-0.0277	0.802	1	0.0451	0.682	1
ENSG00000261236	BOP1	chr8	-	144262045	144291438	0.266	0.231	1	0.349	0.116	1	0.0949	0.67	1
ENSG00000138942	RNF185	chr22	+	31160182	31207019	0.0495	0.731	1	0.0374	0.796	1	-0.032	0.825	1
ENSG00000273387		chr22	-	31082156	31083565	0.226	0.642	1	0.217	0.656	1	0.28	0.563	1
ENSG00000183963	SMTN	chr22	+	31064105	31104757	0.0224	0.92	1	0.406	0.0686	1	0.0489	0.827	1
ENSG00000253352	TUG1	chr22	+	30969245	30979395	-0.0722	0.643	1	-0.162	0.298	1	-0.0554	0.722	1
ENSG00000235989	MORC2-AS1	chr22	+	30922308	30932449	-2.58	0.578		-1.44	0.757		-1.65	0.722	
ENSG00000184792	OSBP2	chr22	+	30693782	30907824	0.134	0.761	1	-0.0925	0.835	1	0.334	0.445	1
ENSG00000197977	ELOVL2	chr6	-	10980759	11044305	0.249	0.603	1	0.295	0.538	1	-0.314	0.515	1
ENSG00000167065	DUSP18	chr22	-	30652051	30667887	-0.0825	0.781	1	0.136	0.646	1	0.0626	0.832	1
ENSG00000100036	SLC35E4	chr22	+	30635781	30669016	0.561	0.1	1	0.649	0.0575	1	0.485	0.156	1
ENSG00000100029	PES1	chr22	-	30576625	30607083	0.0747	0.597	1	0.153	0.278	1	0.0276	0.845	1
ENSG00000214491	SEC14L6	chr22	-	30522799	30546741	0.007	0.983	1	-0.214	0.515	1	-0.0554	0.865	1
ENSG00000247516	MIR4458HG	chr5	+	8450701	8486930	-0.156	0.54	1	0.0635	0.803	1	-0.0953	0.707	1
ENSG00000273428		chr22	+	30432686	30436066	3.86	0.107	1	4.46	0.0615	1	4.45	0.0615	1
ENSG00000272689		chr22	-	30421206	30421536	0.614	0.771	1	-2.4	0.303	1	1.35	0.514	1
ENSG00000273350		chr22	+	30420512	30420912	-3.58	0.328		-2.44	0.505		-1.31	0.715	1
ENSG00000289643		chr4	-	42285818	42292644	-0.222	0.773	1	-2.01	0.0096	1	-1.06	0.17	1
ENSG00000100003	SEC14L2	chr22	+	30396941	30425303	0.0649	0.829	1	0.25	0.407	1	0.197	0.511	1
ENSG00000099999	RNF215	chr22	-	30368811	30421771	0.205	0.42	1	0.396	0.119	1	0.204	0.422	1
ENSG00000268812	LIF-AS2	chr22	+	30246205	30246998	-0.172	0.93	1	-0.839	0.677	1	0.299	0.878	1
ENSG00000128342	LIF	chr22	-	30240453	30246759	0.14	0.778	1	0.387	0.435	1	0.512	0.3	1
ENSG00000227117	HORMAD2-AS1	chr22	-	30008742	30080480	-0.166	0.833	1	0.269	0.732	1	-0.173	0.827	1
ENSG00000279159		chr22	-	29978950	30028236	-0.124	0.776	1	0.147	0.735	1	0.247	0.568	1
ENSG00000100330	MTMR3	chr22	+	29883169	30030868	-0.12	0.331	1	-0.101	0.415	1	-0.0153	0.901	1
ENSG00000100325	ASCC2	chr22	-	29788609	29838304	-0.0132	0.929	1	-0.0616	0.678	1	-0.00328	0.982	1
ENSG00000100314	CABP7	chr22	+	29720003	29731833	0.348	0.668	1	-0.208	0.8	1	0.361	0.656	1
ENSG00000181195	PENK	chr8	-	56436674	56446671	-1.12	0.495	1	-0.212	0.894	1	-0.875	0.589	1
ENSG00000253509		chr8	-	41275115	41277003	-1.17	0.579	1	-1.5	0.492	1	-2.65	0.242	1
ENSG00000225465	RFPL1S	chr22	-	29436534	29478868	-0.522	0.392	1	-0.282	0.644	1	-0.532	0.384	1
ENSG00000100280	AP1B1	chr22	-	29327680	29388583	0.122	0.323	1	0.127	0.303	1	0.189	0.124	1
ENSG00000135314	KHDC1	chr6	-	73241314	73310365	-0.0409	0.897	1	0.237	0.451	1	0.173	0.582	1
ENSG00000100276	RASL10A	chr22	-	29312933	29319679	1.75	0.544	1	4.68	0.0864	1	2.6	0.354	1
ENSG00000146674	IGFBP3	chr7	-	45912245	45921874	-0.447	0.376	1	-0.759	0.133	1	0.0215	0.966	1
ENSG00000185340	GAS2L1	chr22	+	29306618	29312787	1.18	0.0855	1	1.6	0.0189	1	0.77	0.264	1
ENSG00000182944	EWSR1	chr22	+	29268009	29300525	-0.0223	0.822	1	0.0396	0.69	1	-0.0602	0.544	1
ENSG00000237015		chr22	+	29260889	29262037	-0.137	0.976		2.44	0.587		0.788	0.863	
ENSG00000100263	RHBDD3	chr22	-	29259872	29268209	0.136	0.505	1	0.331	0.106	1	0.0782	0.702	1
ENSG00000186998	EMID1	chr22	+	29205896	29259597	0.499	0.0501	1	0.371	0.148	1	0.487	0.0558	1
ENSG00000183762	KREMEN1	chr22	+	29073035	29168333	0.0484	0.899	1	0.0769	0.84	1	0.451	0.233	1
