gene_ID	hgnc_symbol	chr	strand	start	end	FEZF2_CE_log2FoldChange	FEZF2_CE_pvalue	FEZF2_CE_padj	FEZF2_KO_log2FoldChange	FEZF2_KO_pvalue	FEZF2_KO_padj	FEZF2_PTC_log2FoldChange	FEZF2_PTC_pvalue	FEZF2_PTC_padj
ENSG00000287086		chr3	-	10149986	10153326	2.28	0.405		1.63	0.561	1	3.36	0.208	1
ENSG00000176248	ANAPC2	chr9	-	137174784	137188560	0.109	0.539	0.795	0.0982	0.582	1	0.247	0.166	1
ENSG00000254999	BRK1	chr3	+	10115675	10127190	0.185	0.162	0.492	0.0584	0.659	1	0.0588	0.657	1
ENSG00000165066	NKX6-3	chr8	-	41645177	41650817	0.299	0.934		-1.65	0.66		2	0.578	1
ENSG00000185774	KCNIP4	chr4	-	20728606	21948772	0.778	0.78		1.68	0.536		3.31	0.203	1
ENSG00000144554	FANCD2	chr3	+	10026370	10101932	-0.104	0.481	0.755	-0.108	0.463	1	-0.13	0.379	1
ENSG00000291078		chr3	-	10014235	10026395	0.604	0.0441		0.219	0.47	1	0.427	0.157	1
ENSG00000291224		chr3	+	9986885	10006990	-0.228	0.214	0.548	0.0844	0.645	1	-0.0787	0.668	1
ENSG00000125037	EMC3	chr3	-	9962682	10011202	0.0595	0.687	0.873	-0.173	0.244	1	-0.0114	0.939	1
ENSG00000269982		chr3	+	9958717	9962539	-0.588	0.28		-0.251	0.641	1	-0.209	0.698	1
ENSG00000163704	PRRT3	chr3	-	9939450	9952408	-0.201	0.22	0.555	-0.252	0.125	1	-0.166	0.312	1
ENSG00000163702	IL17RC	chr3	+	9917074	9933630	0.29	0.263		-0.0161	0.951	1	0.343	0.186	1
ENSG00000269886		chr3	-	9812762	9813097	-2.34	0.156		-0.425	0.762	1	0.307	0.822	1
ENSG00000214021	TTLL3	chr3	+	9808086	9855138	-0.087	0.68	0.869	0.0294	0.889	1	0.226	0.284	1
ENSG00000241553	ARPC4	chr3	+	9792495	9807101	0.254	0.179	0.509	0.0201	0.915	1	0.201	0.288	1
ENSG00000261167		chr3	-	131455126	131458598	-0.411	0.0601		-0.17	0.435	1	-0.391	0.074	1
ENSG00000171148	TADA3	chr3	-	9779967	9793011	0.136	0.374	0.687	0.00674	0.965	1	0.0314	0.838	1
ENSG00000134072	CAMK1	chr3	-	9757347	9769992	0.672	0.0581		0.0898	0.801	1	0.372	0.296	1
ENSG00000156983	BRPF1	chr3	+	9731729	9748019	-0.0482	0.685	0.872	-0.0744	0.531	1	-0.0936	0.431	1
ENSG00000154710	RABGEF1	chr7	+	66682164	66811464	-0.0726	0.516	0.779	-0.000409	0.997	1	-0.0967	0.388	1
ENSG00000144550	CPNE9	chr3	+	9703826	9729908	-0.262	0.649		-0.324	0.574	1	-0.144	0.802	1
ENSG00000287878		chr3	-	9693182	9721399	3.3	0.498		3.27	0.502		0.878	0.86	
ENSG00000163719	MTMR14	chr3	+	9649433	9702393	0.0654	0.572	0.811	0.0972	0.401	1	0.122	0.292	1
ENSG00000168615	ADAM9	chr8	+	38996754	39105445	-0.244	0.158	0.488	0.0447	0.795	1	-0.0962	0.577	1
ENSG00000168137	SETD5	chr3	+	9397615	9479240	-0.234	0.0601	0.359	-0.00531	0.966	1	-0.0852	0.493	1
ENSG00000206573	THUMPD3-AS1	chr3	-	9349689	9398579	-0.329	0.0179	0.245	-0.216	0.12	1	-0.319	0.022	1
ENSG00000254485		chr3	-	9292588	9363303	1.19	0.386		1.05	0.446	1	1.57	0.25	1
ENSG00000147883	CDKN2B	chr9	-	22002903	22009305	-1.33	0.417		-1.76	0.299	1	-0.618	0.696	1
ENSG00000235830	SRGAP3-AS4	chr3	+	9249742	9257507	2.2	0.756		-0.17	0.981		-0.0839	0.991	
ENSG00000196220	SRGAP3	chr3	-	8980591	9363053	-0.528	0.00628	0.179	-0.11	0.569	1	-0.254	0.188	1
ENSG00000090097	PCBP4	chr3	-	51957454	51974016	0.292	0.227	0.562	-0.0378	0.876	1	0.169	0.484	1
ENSG00000291007		chr3	+	8682943	8693701	3.85	0.592		-0.171	0.981		3.6	0.617	
ENSG00000101972	STAG2	chrX	+	123960212	124422664	0.239	0.0966	0.413	0.0962	0.504	1	0.109	0.451	1
ENSG00000125046	SSUH2	chr3	-	8619386	8745040	-0.0912	0.941		0.238	0.846	1	0.582	0.631	1
ENSG00000231401		chr3	-	8359344	8366427	-0.933	0.368		-0.207	0.838	1	-2.52	0.0306	1
ENSG00000227110	LMCD1-AS1	chr3	-	7951263	8611924	-0.545	0.319		0.21	0.698	1	-0.206	0.705	1
ENSG00000196277	GRM7	chr3	+	6770001	7741533	-3.65	0.00568		-1.16	0.283	1	-1.53	0.165	1
ENSG00000173011	TADA2B	chr4	+	7041899	7057952	-0.025	0.848	0.946	0.0461	0.723	1	0.0763	0.558	1
ENSG00000233912		chr3	-	5156905	5187329	-2.45	0.43		-3.97	0.218		-3.11	0.329	
ENSG00000134107	BHLHE40	chr3	+	4979437	4985323	-1.33	0.198		-0.32	0.754	1	1.38	0.17	1
ENSG00000235978		chr3	-	4793222	4887293	-1.83	0.468		-1.61	0.518	1	0.221	0.925	1
ENSG00000237742	HEY2-AS1	chr6	-	125577545	125749190	1.2	0.397		0.948	0.504	1	0.951	0.503	1
ENSG00000113851	CRBN	chr3	-	3144628	3179727	0.43	0.0183	0.246	0.0898	0.623	1	0.108	0.553	1
ENSG00000104341	LAPTM4B	chr8	+	97775057	97853013	0.166	0.209	0.542	0.118	0.37	1	0.0642	0.627	1
ENSG00000072756	TRNT1	chr3	+	3126933	3153435	-0.0542	0.614	0.836	0.0787	0.464	1	-0.0477	0.658	1
ENSG00000111885	MAN1A1	chr6	-	119177205	119349761	-0.128	0.589		0.103	0.664	1	-0.171	0.472	1
ENSG00000144619	CNTN4	chr3	+	2098813	3057959	0.0068	0.982		-0.177	0.548	1	-0.0361	0.902	1
ENSG00000122824	NUDT10	chrX	+	51332231	51337525	0.182	0.249	0.587	0.109	0.493	1	0.00804	0.96	1
ENSG00000288831		chr3	-	2097040	2098664	1.53	0.475		2	0.346	1	1.33	0.537	1
ENSG00000134121	CHL1	chr3	+	196763	409417	-0.167	0.841		-0.37	0.657	1	-0.327	0.696	1
ENSG00000223587	LINC01986	chr3	+	11745	24849	-0.184	0.969		-0.169	0.971		-0.0829	0.986	
ENSG00000291064		chr22	+	50756948	50801309	0.323	0.138		0.119	0.588	1	0.265	0.225	1
ENSG00000242094	FOXP1-IT1	chr3	-	71570255	71574457	0.0782	0.842		0.644	0.0956	1	0.379	0.331	1
ENSG00000100312	ACR	chr22	+	50738196	50745339	-0.786	0.676		-0.494	0.791	1	-0.0515	0.978	1
ENSG00000251322	SHANK3	chr22	+	50674415	50733212	-0.269	0.0732	0.385	-0.0221	0.883	1	-0.0994	0.508	1
ENSG00000177989	ODF3B	chr22	-	50529710	50532506	0.876	0.373		0.189	0.85	1	0.71	0.472	1
ENSG00000025708	TYMP	chr22	-	50525752	50530032	-0.497	0.646		0.74	0.476	1	0.275	0.794	1
ENSG00000128165	ADM2	chr22	+	50481543	50486440	-0.03	0.917		-0.19	0.513	1	0.104	0.719	1
ENSG00000126953	TIMM8A	chrX	-	101345661	101348742	0.282	0.0648	0.37	0.102	0.504	1	0.0644	0.675	1
ENSG00000205593	DENND6B	chr22	-	50309030	50327012	0.0329	0.916		-0.167	0.593	1	0.0466	0.882	1
ENSG00000196576	PLXNB2	chr22	-	50274979	50307646	0.373	0.0837	0.395	-0.0126	0.954	1	0.23	0.286	1
ENSG00000185386	MAPK11	chr22	-	50263713	50270767	-0.28	0.64		-0.28	0.639	1	0.0178	0.976	1
ENSG00000132541	RIDA	chr8	-	98102344	98117171	0.0178	0.926	0.973	0.112	0.56	1	0.0775	0.687	1
ENSG00000100429	HDAC10	chr22	-	50245183	50251405	0.268	0.261		-0.0741	0.756	1	0.197	0.409	1
ENSG00000273137	SELENOO-AS1	chr22	-	50208461	50209542	-3.1	0.17		-1.35	0.519	1	-3.89	0.0957	1
ENSG00000272836		chr22	-	50205585	50206062	-0.184	0.961		2.47	0.501		0.879	0.816	
ENSG00000170638	TRABD	chr22	+	50185913	50199598	0.169	0.37	0.684	0.0103	0.957	1	0.286	0.129	1
ENSG00000073150	PANX2	chr22	+	50170731	50180295	0.0654	0.862		-0.128	0.736	1	-0.133	0.726	1
ENSG00000280395		chr22	+	50092745	50096437	2.3	0.618		0.792	0.866		3.56	0.437	1
ENSG00000137574	TGS1	chr8	+	55773446	55826445	0.0735	0.538	0.795	0.0204	0.864	1	-0.0643	0.591	1
ENSG00000260604		chr6	-	3904920	3912072	-1.43	0.145		-1.79	0.0708	1	-1.66	0.0944	1
ENSG00000073146	MOV10L1	chr22	+	50090006	50161690	-0.67	0.594		-1.4	0.268	1	-0.642	0.61	1
ENSG00000138892	TTLL8	chr22	-	50018575	50058298	0.776	0.918		-0.17	0.982		1.73	0.817	1
ENSG00000188263	IL17REL	chr22	-	49991811	50012765	-0.679	0.244		-0.375	0.515	1	0.219	0.7	1
ENSG00000184164	CRELD2	chr22	+	49918167	49927540	0.103	0.594		-0.0706	0.716	1	0.0297	0.878	1
ENSG00000273192		chr22	+	49902228	49904576	-0.641	0.428		-0.494	0.54	1	-0.95	0.246	1
ENSG00000121578	B4GALT4	chr3	-	119211732	119240946	0.174	0.15	0.478	0.0435	0.719	1	0.0521	0.666	1
ENSG00000100426	ZBED4	chr22	+	49853844	49890080	-0.105	0.424	0.719	-0.017	0.897	1	-0.053	0.686	1
ENSG00000260613		chr22	-	49832449	49838901	1.14	0.516		0.699	0.692	1	-2.22	0.266	1
ENSG00000120327	PCDHB14	chr5	+	141223343	141227759	-0.0261	0.925		0.0475	0.863	1	0.026	0.925	1
ENSG00000100425	BRD1	chr22	-	49773283	49827873	-0.249	0.0171	0.244	0.0103	0.921	1	-0.13	0.214	1
ENSG00000119321	FKBP15	chr9	-	113161006	113221458	-0.158	0.182	0.514	-0.0537	0.651	1	-0.067	0.573	1
ENSG00000226954		chr22	-	49718053	49724506	-0.226	0.954		0.71	0.854	1	-1.56	0.695	
ENSG00000188511	MIR3667HG	chr22	-	49414524	49657542	-0.494	0.724		0.28	0.839	1	0.0287	0.984	1
ENSG00000205632	LINC01310	chr22	+	48866770	48898386	-0.262	0.785		0.37	0.697	1	0.357	0.707	1
ENSG00000170044	ZPLD1	chr3	+	102099244	102479841	-0.0446	0.978		0.103	0.948	1	-0.241	0.881	1
ENSG00000219438	TAFA5	chr22	+	48489553	48850912	0.404	0.0789		0.0345	0.881	1	0.175	0.449	1
ENSG00000287225		chr22	-	48474135	48489324	1.73	0.788		-0.169	0.979		-0.0834	0.99	
ENSG00000164366	CCDC127	chr5	-	196868	218153	-0.136	0.295	0.625	-0.182	0.16	1	-0.103	0.428	1
ENSG00000260317	LINC02986	chr8	+	80541300	80543104	-0.117	0.889		0.907	0.263	1	0.216	0.795	1
ENSG00000107159	CA9	chr9	+	35673928	35681159	0.597	0.562		0.189	0.856	1	0.868	0.397	1
ENSG00000177992	SPATA31E1	chr9	+	87882877	87888903	0.177	0.947		1.16	0.656	1	-1.56	0.579	
ENSG00000054611	TBC1D22A	chr22	+	46762617	47175699	-0.0369	0.831	0.939	-0.0822	0.635	1	-0.0294	0.865	1
ENSG00000173852	DPY19L1	chr7	-	34927292	35038271	-0.0378	0.792	0.92	0.0625	0.663	1	-0.0434	0.762	1
ENSG00000075240	GRAMD4	chr22	+	46576012	46679790	0.0556	0.712	0.887	0.104	0.49	1	0.212	0.161	1
ENSG00000253910	PCDHGB2	chr5	+	141359994	141512975	-0.493	0.11		-0.135	0.662	1	-0.166	0.589	1
ENSG00000234869	LINC02925	chr22	+	46541495	46548196	-1.9	0.0676		-0.819	0.408	1	-1.3	0.199	1
ENSG00000291139	DPY19L2P2	chr7	-	103175133	103280410	0.0379	0.93		-0.153	0.725	1	0.0352	0.935	1
ENSG00000288754		chr22	+	46537892	46539807	0.342	0.686		0.453	0.591	1	0.766	0.36	1
ENSG00000075275	CELSR1	chr22	-	46360834	46537620	-0.222	0.28	0.614	-0.196	0.341	1	-0.182	0.377	1
ENSG00000075218	GTSE1	chr22	+	46296870	46330810	0.0507	0.806	0.926	-0.0726	0.724	1	-0.125	0.544	1
ENSG00000277232	GTSE1-DT	chr22	-	46295143	46296660	-0.878	0.0994		-0.89	0.0954	1	-0.786	0.141	1
ENSG00000075234	TTC38	chr22	+	46267961	46294008	-0.0211	0.904	0.965	0.0548	0.755	1	0.0297	0.866	1
ENSG00000130943	PKDREJ	chr22	-	46255663	46263343	2.91	0.305		3.28	0.245	1	-0.0833	0.978	
ENSG00000205643	CDPF1	chr22	-	46244011	46250311	0.148	0.562		-0.0521	0.839	1	0.228	0.371	1
ENSG00000157654	PALM2AKAP2	chr9	+	109498325	110172512	0.00693	0.979	0.993	0.0257	0.924	1	-0.00682	0.98	1
ENSG00000157680	DGKI	chr7	-	137381037	137847092	-0.289	0.517		-0.379	0.396	1	-0.46	0.303	1
ENSG00000231711	LINC00899	chr22	-	46039907	46044853	0.768	0.66		0.875	0.616	1	-0.215	0.904	1
ENSG00000135253	KCP	chr7	-	128862042	128910719	-0.171	0.509		-0.0764	0.767	1	0.00284	0.991	1
ENSG00000279954		chr22	+	45875932	45879247	-0.633	0.434		0.196	0.806	1	-0.506	0.532	1
ENSG00000130638	ATXN10	chr22	+	45671798	45845307	-0.0212	0.864	0.95	-0.0597	0.628	1	-0.0716	0.562	1
ENSG00000273287		chr22	-	45262273	45263585	0.777	0.825		0.793	0.821		2.23	0.513	
ENSG00000273353		chr22	+	45178990	45179310	-1.04	0.465		-0.534	0.699	1	-0.0356	0.979	1
ENSG00000255224		chr8	-	144077997	144079265	-0.0395	0.956		0.0978	0.89	1	0.286	0.686	1
ENSG00000093000	NUP50	chr22	+	45163925	45188017	-0.00902	0.942	0.98	-0.0259	0.836	1	-0.0546	0.662	1
ENSG00000273243		chr22	-	45155539	45156011	-0.321	0.641		-0.154	0.822	1	-0.356	0.607	1
ENSG00000056487	PHF21B	chr22	-	44881162	45010005	-0.162	0.291	0.622	-0.0365	0.812	1	-0.0415	0.787	1
ENSG00000241484	ARHGAP8	chr22	+	44752558	44862788	-0.177	0.546		0.111	0.705	1	0.0956	0.745	1
ENSG00000188636	RTL6	chr22	-	44492583	44498233	0.195	0.305	0.631	-0.0529	0.781	1	0.0431	0.821	1
ENSG00000280011		chr22	-	44210442	44229512	-1.3	0.592		-1.69	0.493	1	-3.15	0.227	
ENSG00000286900		chr4	+	3450638	3453108	-0.184	0.959		2.58	0.46		1.84	0.604	
ENSG00000138964	PARVG	chr22	+	44172956	44219533	-0.378	0.843		-1.76	0.383		-0.235	0.902	1
ENSG00000280434		chr22	+	44139365	44153626	-0.394	0.276		0.0333	0.926	1	0.0163	0.964	1
ENSG00000279175		chr22	+	44102779	44116232	-0.908	0.0755		-0.382	0.448	1	-0.334	0.508	1
ENSG00000100347	SAMM50	chr22	+	43955442	44010531	0.216	0.0718	0.383	0.135	0.259	1	0.208	0.083	1
ENSG00000100344	PNPLA3	chr22	+	43923792	43964488	-0.524	0.142	0.472	0.143	0.689	1	-0.12	0.738	1
ENSG00000130540	SULT4A1	chr22	-	43824509	43862513	-0.269	0.172		-0.144	0.464	1	-0.0627	0.75	1
ENSG00000261251	EFCAB6-DT	chr22	+	43812456	43817394	-0.0464	0.915		0.11	0.799	1	0.191	0.657	1
ENSG00000159307	SCUBE1	chr22	-	43197280	43343372	0.624	0.396		-0.193	0.793	1	0.378	0.608	1
ENSG00000100290	BIK	chr22	+	43110750	43129712	0.388	0.486		1.08	0.0509	1	0.771	0.164	1
ENSG00000100266	PACSIN2	chr22	-	42835412	43015149	0.119	0.219	0.554	0.0885	0.361	1	0.0152	0.876	1
ENSG00000128274	A4GALT	chr22	-	42692121	42721298	0.0614	0.78		0.167	0.448	1	0.242	0.271	1
ENSG00000235568	NFAM1	chr22	-	42380407	42432403	0.144	0.77		0.285	0.561	1	0.28	0.568	1
ENSG00000232710		chr22	-	42136433	42139927	1.57	0.44		0.96	0.641	1	2.08	0.304	1
ENSG00000260231	KDM7A-DT	chr7	+	140177184	140179640	0.167	0.605		0.244	0.45	1	0.503	0.119	1
ENSG00000237037	NDUFA6-DT	chr22	+	42090931	42137742	-0.342	0.198		-0.062	0.815	1	-0.00426	0.987	1
ENSG00000286735		chr3	+	120448974	120509675	-3.63	0.494		-1.42	0.787		-0.831	0.874	
ENSG00000184983	NDUFA6	chr22	-	42085526	42090884	0.443	0.0143	0.229	-0.0769	0.671	1	0.186	0.304	1
ENSG00000286659		chr22	+	42070949	42071488	-0.811	0.589		-1.45	0.343	1	-1.44	0.348	1
ENSG00000198951	NAGA	chr22	-	42058334	42070842	0.115	0.395	0.702	0.124	0.357	1	0.05	0.711	1
ENSG00000100167	SEPTIN3	chr22	+	41969443	41998221	0.0167	0.924	0.972	0.0496	0.776	1	-0.00741	0.966	1
ENSG00000205704	SMIM45	chr22	+	41952150	41958939	-0.815	0.389		-0.589	0.532	1	-0.167	0.859	1
ENSG00000234965	SHISA8	chr22	-	41909543	41915074	1.7	0.61		3.2	0.322		3.43	0.288	
ENSG00000178033	CALHM5	chr6	+	116511639	116524788	1.46	0.155		1.26	0.22	1	1.58	0.124	1
ENSG00000100147	CCDC134	chr22	+	41800679	41832164	-0.247	0.136	0.465	-0.024	0.885	1	-0.132	0.427	1
ENSG00000167077	MEI1	chr22	+	41699503	41799456	-0.298	0.86		0.283	0.865	1	0.0958	0.954	1
ENSG00000100138	SNU13	chr22	-	41673933	41690504	0.132	0.41	0.71	-0.055	0.731	1	0.0359	0.823	1
ENSG00000196419	XRCC6	chr22	+	41621163	41664048	0.215	0.0869	0.397	0.0359	0.775	1	0.0843	0.502	1
ENSG00000100418	DESI1	chr22	-	41598028	41621043	-0.0657	0.548	0.799	0.041	0.707	1	0.0369	0.735	1
ENSG00000100417	PMM1	chr22	-	41576900	41589871	0.538	0.039		0.426	0.103	1	0.403	0.123	1
ENSG00000261189	DSP-AS1	chr6	-	7540447	7543114	0.237	0.553		-0.0797	0.843	1	0.406	0.308	1
ENSG00000172346	CSDC2	chr22	+	41561010	41577741	-0.222	0.761		0.535	0.459	1	0.404	0.577	1
ENSG00000137561	TTPA	chr8	-	63048553	63086053	0.288	0.553		-0.0536	0.913	1	0.316	0.516	1
ENSG00000289841		chr22	+	41446935	41447749	-0.558	0.661		-0.652	0.609	1	0.392	0.754	1
ENSG00000183864	TOB2	chr22	-	41433494	41446801	0.0631	0.566	0.808	0.0823	0.454	1	0.104	0.342	1
ENSG00000167074	TEF	chr22	+	41367333	41399326	0.183	0.218	0.553	0.0443	0.766	1	0.131	0.378	1
ENSG00000100403	ZC3H7B	chr22	+	41301525	41360147	-0.0414	0.679	0.869	-0.0314	0.754	1	0.0401	0.688	1
ENSG00000100399	CHADL	chr22	-	41229510	41240931	-0.332	0.799		-0.277	0.832	1	0.309	0.81	1
ENSG00000235513	L3MBTL2-AS1	chr22	-	41207592	41228500	0.603	0.699		-0.78	0.632	1	0.353	0.822	1
ENSG00000145103	ILDR1	chr3	-	121987323	122022247	-0.827	0.327		-0.609	0.468	1	-0.358	0.668	1
ENSG00000100395	L3MBTL2	chr22	+	41205282	41231271	0.164	0.153	0.482	0.0299	0.796	1	0.102	0.378	1
ENSG00000231993	EP300-AS1	chr22	-	41174591	41197508	1.74	0.689		2.05	0.636		1.83	0.673	
ENSG00000144868	TMEM108	chr3	+	133038391	133397775	0.0428	0.776	0.913	-0.0494	0.743	1	-0.0111	0.941	1
ENSG00000100393	EP300	chr22	+	41092592	41180077	-0.495	0.0226	0.266	-0.197	0.365	1	-0.334	0.124	1
ENSG00000100387	RBX1	chr22	+	40951347	40973309	0.56	0.0264	0.277	0.125	0.622	1	0.215	0.394	1
ENSG00000196236	XPNPEP3	chr22	+	40857077	40932815	-0.144	0.209	0.543	0.0937	0.411	1	-0.118	0.302	1
ENSG00000128285	MCHR1	chr22	+	40679273	40682812	0.812	0.297		0.612	0.434	1	0.903	0.246	1
ENSG00000289361		chr4	+	89940	91488	-0.166	0.682		0.0444	0.913	1	-0.111	0.784	1
ENSG00000289292		chr22	-	40660784	40684939	0.827	0.747		-0.22	0.933	1	-0.0819	0.975	1
ENSG00000196588	MRTFA	chr22	-	40410281	40636719	-0.101	0.443	0.732	-0.11	0.404	1	-0.114	0.389	1
ENSG00000127022	CANX	chr5	+	179678628	179731641	-0.00349	0.975	0.992	0.0655	0.564	1	-0.000781	0.995	1
ENSG00000100354	TNRC6B	chr22	+	40044817	40335808	-0.575	0.00627	0.179	-0.155	0.462	1	-0.361	0.086	1
ENSG00000261202	TNRC6B-DT	chr22	-	40043068	40044565	0.189	0.841		-0.266	0.782	1	-0.566	0.563	1
ENSG00000133477	FAM83F	chr22	+	39994954	40043534	-0.581	0.309		0.12	0.833	1	-0.0881	0.877	1
ENSG00000187742	SECISBP2	chr9	+	89318500	89359663	-0.208	0.0375	0.316	-0.0605	0.544	1	-0.129	0.197	1
ENSG00000100346	CACNA1I	chr22	+	39570753	39689735	-0.753	0.0818		-0.276	0.519	1	-0.288	0.501	1
ENSG00000104695	PPP2CB	chr8	-	30774457	30814314	0.139	0.26	0.596	0.00261	0.983	1	-0.0315	0.799	1
ENSG00000187051	RPS19BP1	chr22	-	39529093	39532761	0.454	0.0514	0.345	-0.0901	0.7	1	0.154	0.509	1
ENSG00000100324	TAB1	chr22	+	39399778	39437060	0.215	0.12	0.447	0.0591	0.669	1	0.135	0.33	1
ENSG00000100311	PDGFB	chr22	-	39223359	39244982	0.919	0.431		-0.201	0.867	1	1.86	0.107	1
ENSG00000113262	GRM6	chr5	-	178977587	178996206	-0.186	0.983		0.791	0.929	1	2.43	0.785	1
ENSG00000100307	CBX7	chr22	-	39120167	39152680	0.296	0.159		0.111	0.599	1	0.277	0.189	1
ENSG00000145632	PLK2	chr5	-	58453982	58460139	0.395	0.285		0.363	0.326	1	0.865	0.0187	1
ENSG00000128394	APOBEC3F	chr22	+	39040604	39055972	-0.536	0.0389		-0.293	0.257	1	-0.264	0.307	1
ENSG00000068323	TFE3	chrX	-	49028726	49043410	-0.136	0.589	0.822	0.133	0.599	1	0.0266	0.916	1
ENSG00000288106		chr22	+	38886837	38903794	-0.209	0.877		-1.48	0.304	1	-3.56	0.0407	1
ENSG00000091073	DTX2	chr7	+	76461676	76505995	-0.0792	0.698		-0.0948	0.642	1	0.148	0.467	1
ENSG00000221890	NPTXR	chr22	-	38818452	38844028	-0.23	0.303	0.63	-0.232	0.299	1	-0.292	0.191	1
ENSG00000272669		chr22	+	38742625	38743115	0.195	0.747		0.442	0.462	1	0.0574	0.925	1
ENSG00000155428	TRIM74	chr7	-	72959485	72969466	-0.611	0.543		-0.249	0.803	1	-0.0662	0.947	1
ENSG00000225450		chr22	+	38739003	38749041	0.56	0.835		0.448	0.868	1	2.39	0.364	1
ENSG00000104626	ERI1	chr8	+	9002147	9116746	-0.064	0.621	0.839	0.0521	0.687	1	-0.0614	0.636	1
ENSG00000230149		chr22	+	38734730	38738990	0.148	0.889		-0.0277	0.979	1	0.365	0.729	1
ENSG00000164659	ELAPOR2	chr7	-	86876906	87059654	-0.83	0.162	0.492	-0.253	0.67	1	-0.738	0.214	1
ENSG00000244491		chr22	+	38734725	38738765	0.452	0.758		1.03	0.478	1	0.789	0.59	1
ENSG00000100221	JOSD1	chr22	-	38685543	38701556	0.141	0.378	0.69	-0.0458	0.775	1	0.0818	0.609	1
ENSG00000100216	TOMM22	chr22	+	38681957	38685421	0.0467	0.744	0.901	-0.0515	0.719	1	-0.028	0.845	1
ENSG00000228274		chr22	-	38667585	38681860	-0.64	0.0263		-0.402	0.16	1	-0.397	0.166	1
ENSG00000100211	CBY1	chr22	+	38656636	38673854	0.224	0.299	0.628	0.178	0.408	1	0.132	0.542	1
ENSG00000248738		chr8	+	22877972	22888022	-1.75	0.416		0.033	0.987	1	-0.384	0.848	1
ENSG00000184949	FAM227A	chr22	-	38578118	38656629	-0.423	0.024	0.271	-0.111	0.553	1	-0.338	0.0719	1
ENSG00000100201	DDX17	chr22	-	38483438	38507660	-0.153	0.391	0.701	-0.00733	0.967	1	-0.0336	0.85	1
ENSG00000168135	KCNJ4	chr22	-	38426327	38455199	-0.304	0.581		-0.285	0.605	1	-0.154	0.78	1
ENSG00000213923	CSNK1E	chr22	-	38290691	38318084	0.0326	0.774	0.912	0.0292	0.797	1	0.114	0.315	1
ENSG00000198792	TMEM184B	chr22	-	38219291	38273010	0.0852	0.621	0.839	-0.0296	0.864	1	0.122	0.477	1
ENSG00000156170	NDUFAF6	chr8	+	94895533	95116455	-0.229	0.178	0.509	-0.000717	0.997	1	-0.149	0.382	1
ENSG00000272720		chr22	+	38090127	38091559	-0.00831	0.98		-0.0284	0.93	1	0.24	0.459	1
ENSG00000100156	SLC16A8	chr22	-	38078134	38084184	-0.163	0.834		0.0589	0.939	1	0.431	0.576	1
ENSG00000100151	PICK1	chr22	+	38056311	38075701	0.245	0.106	0.428	0.0981	0.519	1	0.298	0.0501	1
ENSG00000100142	POLR2F	chr22	+	37952607	38041915	0.116	0.51	0.775	-0.19	0.281	1	-0.0597	0.735	1
ENSG00000272582		chr22	+	37950965	37951778	-0.855	0.744		0.895	0.725	1	-0.403	0.877	1
ENSG00000172461	FUT9	chr6	+	96015974	96215612	-0.316	0.287	0.62	-0.0915	0.758	1	-0.244	0.411	1
ENSG00000128346	C22orf23	chr22	-	37943050	37953669	-0.0941	0.903		-0.819	0.301	1	-0.659	0.404	1
ENSG00000042832	TG	chr8	+	132866958	133134903	-1.76	0.382		-0.909	0.641	1	0.262	0.891	1
ENSG00000100139	MICALL1	chr22	+	37905657	37942822	-0.0619	0.689	0.875	-0.115	0.458	1	-0.0366	0.813	1
ENSG00000279738		chr22	+	37876148	37895563	-0.444	0.0376		-0.242	0.255	1	-0.432	0.0433	1
ENSG00000122707	RECK	chr9	+	36036913	36124455	-0.11	0.41	0.71	0.0677	0.61	1	-0.0667	0.617	1
ENSG00000100124	ANKRD54	chr22	-	37830855	37849327	-0.4	0.024		-0.168	0.342	1	-0.205	0.248	1
ENSG00000100116	GCAT	chr22	+	37807905	37817176	0.239	0.459		0.242	0.454	1	0.2	0.536	1
ENSG00000124813	RUNX2	chr6	+	45328157	45664349	0.354	0.706		1.28	0.163	1	0.798	0.39	1
ENSG00000189060	H1-0	chr22	+	37805229	37807432	0.0272	0.857	0.948	-0.00202	0.989	1	-0.0762	0.613	1
ENSG00000100106	TRIOBP	chr22	+	37697048	37776556	-0.383	0.038	0.317	-0.0508	0.783	1	-0.129	0.483	1
ENSG00000100097	LGALS1	chr22	+	37675636	37679802	0.389	0.233		0.247	0.449	1	0.0924	0.778	1
ENSG00000233360	PDXP-DT	chr22	-	37641832	37658377	0.806	0.563		0.898	0.518	1	1.37	0.32	1
ENSG00000100092	SH3BP1	chr22	+	37634654	37656117	0.288	0.0915	0.405	-0.0214	0.901	1	0.125	0.466	1
ENSG00000145348	TBCK	chr4	-	106041599	106316683	-0.27	0.131	0.461	-0.16	0.369	1	-0.241	0.177	1
ENSG00000100065	CARD10	chr22	-	37490362	37519542	0.184	0.487		-0.0184	0.945	1	0.252	0.341	1
ENSG00000100060	MFNG	chr22	-	37469063	37486393	0.285	0.415		-0.00609	0.986	1	0.132	0.707	1
ENSG00000211699	TRGV3	chr7	-	38358512	38359162	-1.28	0.744		-2.65	0.509		-2.56	0.523	
ENSG00000166897	ELFN2	chr22	-	37367960	37427479	-0.592	0.0772	0.388	-0.128	0.703	1	-0.135	0.688	1
ENSG00000100055	CYTH4	chr22	+	37282027	37315341	0.24	0.745		-0.32	0.67	1	-0.553	0.469	1
