gene_ID	hgnc_symbol	chr	strand	start	end	MEF2C_CE_log2FoldChange	MEF2C_CE_pvalue	MEF2C_CE_padj	MEF2C_KO_log2FoldChange	MEF2C_KO_pvalue	MEF2C_KO_padj	MEF2C_PTC_log2FoldChange	MEF2C_PTC_pvalue	MEF2C_PTC_padj
ENSG00000165629	ATP5F1C	chr10	+	7788147	7807815	0.26	0.0154	0.589	0.127	0.236	1	0.0896	0.402	1
ENSG00000071626	DAZAP1	chr19	+	1407569	1435687	0.319	0.145	0.625	-0.0319	0.884	1	-0.0709	0.746	1
ENSG00000122966	CIT	chr12	-	119685791	119877320	-0.171	0.216	0.666	-0.141	0.308	1	-0.0585	0.671	1
ENSG00000171759	PAH	chr12	-	102836889	102958410	1.31	0.639	0.891	-1.87	0.525		-1.01	0.731	
ENSG00000283052	LINC02456	chr12	+	102257213	102463491	-0.413	0.83	0.95	0.822	0.639	1	0.714	0.683	1
ENSG00000120860	WASHC3	chr12	-	102012840	102062149	-0.402	0.0852	0.591	-0.148	0.521	1	-0.0787	0.733	1
ENSG00000138448	ITGAV	chr2	+	186590010	186680901	-0.544	0.207	0.66	0.1	0.816	1	-0.0719	0.868	1
ENSG00000136158	SPRY2	chr13	-	80335976	80341126	0.261	0.15	0.628	-0.0181	0.921	1	-0.082	0.651	1
ENSG00000084674	APOB	chr2	-	21001429	21044073	0.87	0.182	0.645	-0.52	0.427	1	-0.218	0.739	1
ENSG00000111670	GNPTAB	chr12	-	101745499	101830959	-0.188	0.265	0.698	0.0223	0.895	1	-0.095	0.573	1
ENSG00000139351	SYCP3	chr12	-	101728648	101739472	-0.717	0.317	0.727	-1.32	0.0794	1	-0.837	0.231	1
ENSG00000111666	CHPT1	chr12	+	101696947	101744140	0.21	0.287	0.709	-0.0322	0.87	1	-0.0384	0.845	1
ENSG00000287139		chr9	+	24069731	24088051	1.08	0.684		1.87	0.467		3.38	0.165	
ENSG00000012504	NR1H4	chr12	+	100473708	100564414	1.52	0.559	0.857	-0.799	0.772		-2.55	0.362	
ENSG00000179520	SLC17A8	chr12	+	100357074	100422055	0.614	0.321	0.729	0.304	0.625	1	0.426	0.489	1
ENSG00000203711	LINC02901	chr6	+	158869848	158919105	0.963	0.111	0.605	0.394	0.519	1	-0.201	0.747	1
ENSG00000136021	SCYL2	chr12	+	100267140	100341715	0.0597	0.475	0.812	0.0618	0.458	1	-0.00903	0.914	1
ENSG00000290571	GOLGA2P5	chr12	-	100156357	100173659	-0.015	0.956	0.993	-0.493	0.0702	1	-0.216	0.422	1
ENSG00000248275	TRIM52-AS1	chr5	+	181261169	181272307	0.124	0.642	0.892	0.382	0.14	1	0.279	0.281	1
ENSG00000111647	BLTP3B	chr12	-	100028455	100142874	0.107	0.503	0.828	0.139	0.38	1	0.0755	0.633	1
ENSG00000189433	GJB4	chr1	+	34759740	34762327	-1.7	0.469	0.809	-1.22	0.595	1	-2.03	0.387	1
ENSG00000290035		chr3	-	127218943	127227213	-0.774	0.542	0.848	-0.0827	0.943	1	-1.05	0.404	1
ENSG00000129911	KLF16	chr19	-	1852399	1863579	0.355	0.0646	0.589	0.313	0.102	1	0.132	0.491	1
ENSG00000197181	PIWIL2	chr8	+	22275316	22357568	0.577	0.551	0.853	-0.139	0.888	1	0.512	0.594	1
ENSG00000166130	IKBIP	chr12	-	98613405	98645113	-0.323	0.285	0.707	0.0335	0.912	1	-0.048	0.873	1
ENSG00000075415	SLC25A3	chr12	+	98593591	98606379	0.197	0.0123	0.589	0.197	0.0121	1	0.15	0.0563	1
ENSG00000245017	LINC02453	chr12	-	98485544	98503859	0.115	0.955		1.71	0.357	1	2.27	0.206	1
ENSG00000204569	PPP1R10	chr6	-	30600413	30618612	0.252	0.178	0.644	-0.049	0.794	1	0.0436	0.816	1
ENSG00000178921	PFAS	chr17	+	8247618	8270491	0.0365	0.746	0.925	0.00297	0.979	1	0.0732	0.512	1
ENSG00000107404	DVL1	chr1	-	1335276	1349418	0.682	0.0563	0.589	0.0849	0.812	1	0.0733	0.837	1
ENSG00000139344	AMDHD1	chr12	+	95943331	95968720	-0.353	0.766	0.931	-3.78	0.0143	1	-0.457	0.694	1
ENSG00000111142	METAP2	chr12	+	95473520	95515839	0.0286	0.82	0.946	0.0267	0.831	1	0.0335	0.789	1
ENSG00000156395	SORCS3	chr10	+	104641290	105265242	-1.07	0.263	0.697	-0.295	0.737	1	0.254	0.766	1
ENSG00000028203	VEZT	chr12	+	95217746	95302799	0.153	0.389	0.767	-0.125	0.481	1	-0.0896	0.613	1
ENSG00000153071	DAB2	chr5	-	39371675	39462300	0.951	0.0729	0.589	-0.00247	0.996	1	0.128	0.809	1
ENSG00000273449		chr4	+	163529771	163530697	-0.355	0.321	0.73	-0.599	0.095	1	-0.551	0.12	1
ENSG00000180263	FGD6	chr12	-	95076749	95217482	0.459	0.116	0.606	-0.195	0.503	1	-0.0709	0.808	1
ENSG00000274995		chr15	+	66740445	66741151	-0.585	0.106	0.6	-0.224	0.521	1	-0.381	0.277	1
ENSG00000287115	LINC02993	chr2	-	144523541	144524651	0.934	0.655	0.897	2.03	0.292	1	1.22	0.542	1
ENSG00000107518	ATRNL1	chr10	+	115093365	115948999	-0.797	0.0213	0.589	0.0595	0.86	1	0.0235	0.944	1
ENSG00000198015	MRPL42	chr12	+	93467514	93516214	0.0362	0.64	0.891	-0.0147	0.849	1	-0.0777	0.312	1
ENSG00000248367		chr5	+	180292178	180295256	0.981	0.0952	0.597	0.284	0.636	1	0.45	0.447	1
ENSG00000166866	MYO1A	chr12	-	57028517	57051198	0.142	0.846	0.956	0.052	0.942	1	0.503	0.463	1
ENSG00000257252		chr12	-	93316722	93377753	-0.496	0.577	0.865	-1.68	0.091	1	-0.504	0.56	1
ENSG00000179083	FAM133A	chrX	+	93674013	93712274	-1.24	0.445	0.795	-1.42	0.38	1	0.319	0.826	1
ENSG00000133250	ZNF414	chr19	-	8509678	8514167	0.116	0.556	0.856	0.191	0.323	1	0.0567	0.77	1
ENSG00000232388	SMIM26	chr20	+	18567347	18569563	0.29	0.0556	0.589	0.0621	0.682	1	0.0975	0.519	1
ENSG00000288723		chr1	-	241722926	241848128	0.448	0.522	0.838	-0.45	0.541	1	0.13	0.852	1
ENSG00000044459	CNTLN	chr9	+	17134982	17503923	-0.0896	0.618	0.883	-0.239	0.183	1	-0.043	0.808	1
ENSG00000133639	BTG1	chr12	-	92140278	92145846	0.972	0.0542	0.589	-0.0582	0.908	1	-0.00272	0.996	1
ENSG00000166128	RAB8B	chr15	+	63189560	63267776	0.329	0.0746	0.589	-0.0246	0.894	1	0.0388	0.833	1
ENSG00000060982	BCAT1	chr12	-	24810024	24949101	-0.21	0.368	0.754	0.108	0.644	1	-0.0111	0.962	1
ENSG00000253851		chr8	-	103228425	103229314	-1.88	0.382	0.763	-0.172	0.929	1	-1.38	0.508	1
ENSG00000118473	SGIP1	chr1	+	66533267	66751139	-1.76	0.0995	0.597	0.0853	0.933	1	-0.179	0.86	1
ENSG00000152377	SPOCK1	chr5	-	136975298	137598379	-0.614	0.245	0.686	-0.0962	0.853	1	-0.203	0.696	1
ENSG00000129071	MBD4	chr3	-	129430947	129440179	0.161	0.155	0.628	-0.101	0.376	1	-0.049	0.665	1
ENSG00000204588	LINC01123	chr2	+	109987063	109996140	-0.743	0.285	0.707	0.23	0.73	1	0.0198	0.976	1
ENSG00000205209	SCGB2B2	chr19	-	34590644	34677159	-0.316	0.404	0.775	-0.37	0.323	1	-0.429	0.25	1
ENSG00000139330	KERA	chr12	-	91050491	91058024	-2.32	0.293		-0.59	0.78	1	-0.755	0.721	1
ENSG00000198252	STYX	chr14	+	52730166	52774989	0.0907	0.385	0.765	0.134	0.195	1	0.139	0.178	1
ENSG00000008324	SS18L2	chr3	+	42581840	42596934	0.215	0.16	0.63	0.256	0.0898	1	0.192	0.201	1
ENSG00000273117	INSIG1-DT	chr7	-	155295918	155297541	-0.25	0.534	0.845	-0.188	0.629	1	-0.216	0.575	1
ENSG00000076043	REXO2	chr11	+	114439435	114450279	0.164	0.159	0.63	0.126	0.277	1	0.0685	0.555	1
ENSG00000196860	TOMM20L	chr14	+	58395928	58408702	1.08	0.742		1.53	0.638		1.68	0.602	
ENSG00000156502	SUPV3L1	chr10	+	69180234	69209099	0.361	0.141	0.622	-0.0423	0.863	1	-0.0281	0.909	1
ENSG00000130713	EXOSC2	chr9	+	130693721	130707288	-0.258	0.0395	0.589	-0.184	0.137	1	-0.0764	0.534	1
ENSG00000122787	AKR1D1	chr7	+	138002324	138118305	0.925	0.191	0.65	0.276	0.699	1	-0.467	0.52	1
ENSG00000139323	POC1B	chr12	-	89419718	89526047	-0.0842	0.596	0.874	-0.0334	0.832	1	-0.0371	0.814	1
ENSG00000271259		chr12	+	89371820	89372359	-0.79	0.668	0.902	0.454	0.782	1	1.92	0.2	1
ENSG00000272273	IER3-AS1	chr6	+	30742757	30743638	-0.618	0.368	0.755	-1.28	0.0787	1	-0.819	0.226	1
ENSG00000143799	PARP1	chr1	-	226360210	226408154	0.0508	0.522	0.838	0.0125	0.874	1	0.0793	0.314	1
ENSG00000278112		chr12	-	123519390	123519856	-0.097	0.868	0.966	0.0923	0.871	1	0.386	0.487	1
ENSG00000255100	TSKU-AS1	chr11	-	76782581	76783062	-0.399	0.734	0.922	0.224	0.837	1	0.448	0.675	1
ENSG00000233024	NPIPA9	chr16	-	18358086	18379331	0.0744	0.764	0.93	0.372	0.131	1	0.374	0.128	1
ENSG00000164104	HMGB2	chr4	-	173331376	173334432	0.083	0.549	0.853	-0.124	0.37	1	0.0475	0.731	1
ENSG00000254539		chr1	+	149048576	149051273	-2.59	0.183	0.645	-0.846	0.619	1	0.13	0.936	1
ENSG00000154217	PITPNC1	chr17	+	67377281	67697256	0.0601	0.75	0.925	0.0997	0.595	1	-0.00742	0.968	1
ENSG00000132329	RAMP1	chr2	+	237858893	237912106	0.352	0.439	0.792	0.442	0.326	1	0.608	0.173	1
ENSG00000182050	MGAT4C	chr12	-	85955666	86838904	0.0502	0.974	0.994	0.477	0.745	1	0.545	0.707	1
ENSG00000180318	ALX1	chr12	+	85280220	85301784	0.232	0.714	0.917	0.145	0.817	1	0.201	0.745	1
ENSG00000291271		chr16	+	31981870	31994485	-0.186	0.599	0.875	0.0349	0.918	1	0.0576	0.865	1
ENSG00000072041	SLC6A15	chr12	-	84859491	84913629	0.83	0.0691	0.589	0.0623	0.892	1	0.0227	0.961	1
ENSG00000249700	SRD5A3-AS1	chr4	-	55363971	55395847	0.302	0.803	0.94	0.393	0.739	1	-0.613	0.632	1
ENSG00000059728	MXD1	chr2	+	69897688	69942945	0.908	0.0763	0.589	-0.233	0.649	1	0.0792	0.877	1
ENSG00000198786	MT-ND5	chrM	+	12337	14148	-0.569	0.000324	0.589	-0.397	0.012	1	-0.109	0.491	1
ENSG00000267365	KCNJ2-AS1	chr17	-	70166961	70169404	-0.0722	0.844	0.955	-0.101	0.78	1	-0.0219	0.951	1
ENSG00000127720	METTL25	chr12	+	82358528	82479239	-0.0444	0.812	0.943	-0.125	0.5	1	-0.106	0.563	1
ENSG00000085224	ATRX	chrX	-	77504880	77786233	-0.256	0.11	0.604	-0.103	0.522	1	-0.103	0.52	1
ENSG00000111052	LIN7A	chr12	-	80792520	80937934	0.0665	0.82	0.946	0.226	0.432	1	-0.108	0.709	1
ENSG00000139436	GIT2	chr12	-	109929804	109996389	-0.322	0.0988	0.597	-0.00662	0.973	1	-0.0378	0.846	1
ENSG00000257894		chr12	-	79341205	79503396	-0.0881	0.87	0.967	-0.0862	0.871	1	-0.274	0.608	1
ENSG00000286596		chr4	-	30718805	30721970	0.618	0.443	0.794	0.248	0.762	1	0.285	0.724	1
ENSG00000178904	DPY19L3	chr19	+	32405543	32485895	-0.25	0.0779	0.589	-0.0907	0.521	1	-0.124	0.381	1
ENSG00000184995	IFNE	chr9	-	21480839	21482313	0.257	0.693	0.91	-0.195	0.768	1	0.0389	0.952	1
ENSG00000174891	RSRC1	chr3	+	158105855	158545730	-0.231	0.115	0.605	-0.124	0.396	1	-0.0966	0.507	1
ENSG00000178773	CPNE7	chr16	+	89575758	89597246	-1.69	0.0387	0.589	0.0844	0.895	1	-0.18	0.781	1
ENSG00000254810		chr11	-	76653597	76656914	-0.281	0.631	0.888	-0.777	0.197	1	-0.16	0.776	1
ENSG00000179941	BBS10	chr12	-	76344474	76348415	-0.161	0.389	0.767	-0.0151	0.935	1	-0.00471	0.98	1
ENSG00000159784	FAM131B	chr7	-	143353400	143362770	-0.633	0.262	0.697	0.512	0.344	1	0.191	0.725	1
ENSG00000204740	MALRD1	chr10	+	19048801	19790401	1.11	0.257	0.695	0.381	0.709	1	0.0397	0.97	1
ENSG00000196668	LINC00173	chr12	+	116533422	116536518	-0.144	0.871	0.967	-0.179	0.838	1	0.0213	0.98	1
ENSG00000148331	ASB6	chr9	-	129634604	129642169	0.11	0.424	0.785	0.0222	0.871	1	0.0793	0.56	1
ENSG00000180481	GLIPR1L2	chr12	+	75391089	75432688	0.245	0.831	0.95	-1.07	0.4	1	0.945	0.383	1
ENSG00000086102	NFX1	chr9	+	33290512	33371157	0.00137	0.99	0.998	-0.173	0.101	1	-0.0475	0.651	1
ENSG00000100413	POLR3H	chr22	-	41525799	41544606	0.376	0.0766	0.589	0.156	0.464	1	0.112	0.596	1
ENSG00000133104	SPART	chr13	-	36301638	36370180	-0.238	0.187	0.649	0.0106	0.953	1	-0.0226	0.9	1
ENSG00000257386		chr12	-	74538145	74538633	-0.8	0.705	0.914	-0.122	0.952	1	0.842	0.655	1
ENSG00000289447		chr6	+	26285352	26286234	-0.572	0.567	0.861	-0.377	0.697	1	-0.339	0.723	1
ENSG00000178307	TMEM11	chr17	-	21197954	21214176	0.425	0.0437	0.589	0.0965	0.648	1	0.169	0.422	1
ENSG00000287224		chr1	-	61588049	61589904	0.944	0.668		1.78	0.39	1	-0.214	0.925	
ENSG00000147679	UTP23	chr8	+	116766505	116849463	-0.00152	0.994	0.999	0.00908	0.963	1	0.0584	0.764	1
ENSG00000183726	TMEM50A	chr1	+	25338317	25362361	-0.0332	0.827	0.949	0.0434	0.774	1	-0.102	0.502	1
ENSG00000287257		chr17	-	77386901	77388546	0.555	0.712	0.917	-0.501	0.749	1	-0.737	0.641	1
ENSG00000172081	MOB3A	chr19	-	2071036	2096673	0.299	0.0256	0.589	0.238	0.0744	1	0.109	0.417	1
ENSG00000072657	TRHDE	chr12	+	72087266	72670758	0.303	0.131	0.613	-0.0476	0.813	1	-0.0873	0.664	1
ENSG00000288923		chr17	+	28179873	28181585	-0.413	0.16	0.63	-0.597	0.0413	1	-0.189	0.5	1
ENSG00000235706	DICER1-AS1	chr14	+	95157645	95181475	-0.341	0.0986	0.597	-0.497	0.0153	1	-0.387	0.0543	1
ENSG00000278311	GGNBP2	chr17	+	36544912	36589848	-0.134	0.172	0.639	-0.00826	0.932	1	-0.0448	0.645	1
ENSG00000173451	THAP2	chr12	+	71664301	71680644	-0.111	0.598	0.874	0.131	0.522	1	0.148	0.467	1
ENSG00000139292	LGR5	chr12	+	71439798	71586310	-0.271	0.577	0.865	0.196	0.685	1	0.238	0.622	1
ENSG00000280341		chr22	-	15282557	15288670	-0.86	0.594	0.873	-1.06	0.51	1	-0.174	0.904	1
ENSG00000182149	IST1	chr16	+	71845996	71931199	0.171	0.132	0.614	-0.0115	0.92	1	0.0257	0.821	1
ENSG00000075673	ATP12A	chr13	+	24680408	24712472	0.547	0.153	0.628	-0.132	0.73	1	0.0179	0.963	1
ENSG00000258168		chr12	+	70468080	70543040	0.43	0.39	0.768	-0.488	0.335	1	-0.454	0.368	1
ENSG00000177511	ST8SIA3	chr18	+	57352557	57371731	-0.84	0.338	0.737	0.0562	0.945	1	-0.545	0.514	1
ENSG00000123444	KBTBD4	chr11	-	47572197	47578976	0.0319	0.824	0.948	-0.0336	0.813	1	0.0676	0.63	1
ENSG00000290449		chr22	-	23366302	23387731	-0.725	0.341	0.739	-0.598	0.415	1	0.82	0.217	1
ENSG00000142867	BCL10	chr1	-	85265776	85276632	0.03	0.849	0.957	0.143	0.359	1	0.115	0.461	1
ENSG00000127328	RAB3IP	chr12	+	69738860	69823204	-0.412	0.114	0.605	-0.0319	0.902	1	-0.102	0.695	1
ENSG00000147121	KRBOX4	chrX	+	46447292	46497422	-0.147	0.33	0.734	-0.0742	0.618	1	-0.0928	0.531	1
ENSG00000047644	WWC3	chrX	+	10015254	10144474	-0.304	0.251	0.69	0.0204	0.939	1	0.0195	0.941	1
ENSG00000105865	DUS4L	chr7	+	107563484	107578523	0.0284	0.851	0.958	0.00695	0.963	1	-0.059	0.69	1
ENSG00000175874	CREG2	chr2	-	101345550	101387503	-0.511	0.594	0.873	-0.205	0.82	1	0.063	0.942	1
ENSG00000166226	CCT2	chr12	+	69585426	69601570	0.186	0.0636	0.589	0.0831	0.408	1	0.05	0.618	1
ENSG00000182670	TTC3	chr21	+	37073226	37203112	-0.0399	0.665	0.902	-0.0933	0.312	1	-0.119	0.197	1
ENSG00000108788	MLX	chr17	+	42567072	42573239	0.305	0.159	0.63	-0.0111	0.959	1	0.0493	0.82	1
ENSG00000127337	YEATS4	chr12	+	69359710	69390870	0.0664	0.663	0.901	0.0214	0.887	1	-0.0735	0.627	1
ENSG00000090382	LYZ	chr12	+	69348381	69354234	0.115	0.972		0.656	0.841	1	-1.18	0.722	
ENSG00000100350	FOXRED2	chr22	-	36487190	36507221	0.532	0.143	0.624	-0.175	0.631	1	-0.0521	0.886	1
ENSG00000082641	NFE2L1	chr17	+	48048329	48061545	-0.121	0.489	0.82	0.0767	0.662	1	0.0256	0.884	1
ENSG00000274979		chr12	-	69326574	69331882	1.08	0.74		1.62	0.614		0.748	0.818	
ENSG00000120093	HOXB3	chr17	-	48548870	48604912	-0.352	0.539	0.846	-0.422	0.457	1	-0.0741	0.894	1
ENSG00000135678	CPM	chr12	-	68842197	68971570	0.791	0.179	0.644	-0.165	0.78	1	-0.0206	0.972	1
ENSG00000111581	NUP107	chr12	+	68686951	68745809	0.264	0.108	0.603	-0.145	0.378	1	-0.0818	0.619	1
ENSG00000250062	MAPK10-AS1	chr4	+	86117912	86219926	2.07	0.337	0.737	1.01	0.652		1.21	0.583	1
ENSG00000289173		chr12	-	68610197	68610719	2.47	0.123	0.61	1.35	0.415	1	1.66	0.308	1
ENSG00000112818	MEP1A	chr6	+	46793389	46839778	0.115	0.964		1.88	0.424	1	-1.18	0.642	
ENSG00000232284	GNG12-AS1	chr1	+	67832293	68202987	-0.155	0.857	0.96	-0.575	0.512	1	-0.843	0.347	1
ENSG00000106609	TMEM248	chr7	+	66921225	66958551	0.147	0.0335	0.589	0.0959	0.164	1	-0.0368	0.593	1
ENSG00000111554	MDM1	chr12	-	68272443	68332381	0.0176	0.933	0.991	-0.0248	0.905	1	0.185	0.367	1
ENSG00000175455	CCDC14	chr3	-	123897305	123961408	-0.32	0.019	0.589	-0.268	0.0493	1	-0.144	0.29	1
ENSG00000093144	ECHDC1	chr6	-	127288712	127343609	0.0531	0.563	0.859	0.167	0.0652	1	0.0475	0.6	1
ENSG00000178053	MLF1	chr3	+	158571163	158607252	-0.00189	0.995	1	0.193	0.487	1	0.213	0.44	1
ENSG00000214376	VSTM5	chr11	-	93818232	93850618	0.176	0.649	0.896	-0.192	0.623	1	-0.28	0.472	1
ENSG00000205056	LINC02397	chr12	+	92466451	92492091	-0.846	0.788		1.59	0.6	1	0.591	0.849	
ENSG00000254266	PKIA-AS1	chr8	-	78268637	78558503	2.59	0.243		-0.115	0.962		1.27	0.581	1
ENSG00000090376	IRAK3	chr12	+	66189195	66254622	0.036	0.946	0.993	-0.77	0.172	1	-0.102	0.844	1
ENSG00000139233	LLPH	chr12	-	66116555	66130750	-0.0656	0.728	0.921	-0.000407	0.998	1	0.0131	0.944	1
ENSG00000177981	ASB8	chr12	-	48147789	48181213	0.087	0.484	0.818	0.0955	0.437	1	0.0403	0.742	1
ENSG00000140262	TCF12	chr15	+	56918623	57299281	0.00716	0.935	0.992	0.0518	0.551	1	0.058	0.504	1
ENSG00000149948	HMGA2	chr12	+	65824460	65966291	-0.32	0.238	0.68	-0.0113	0.967	1	0.094	0.728	1
ENSG00000273129	PACERR	chr1	+	186680601	186683165	0.489	0.607	0.878	0.508	0.586	1	1.15	0.201	1
ENSG00000289005		chr3	+	150763573	150764567	0.0634	0.901	0.98	-0.351	0.497	1	-0.323	0.529	1
ENSG00000178761	FAM219B	chr15	-	74899992	74906883	-0.282	0.0695	0.589	-0.0783	0.612	1	-0.0637	0.68	1
ENSG00000177885	GRB2	chr17	-	75318076	75405709	0.387	0.0161	0.589	0.112	0.488	1	0.0574	0.721	1
ENSG00000180902	D2HGDH	chr2	+	241734602	241768816	-0.0496	0.804	0.94	-0.178	0.371	1	-0.0582	0.768	1
ENSG00000256268	LINC02454	chr12	+	65589111	65614169	-1.25	0.234	0.677	-0.808	0.414	1	-1.15	0.255	1
ENSG00000070778	PTPN21	chr14	-	88465778	88555007	0.543	0.0939	0.596	-0.0689	0.831	1	0.0216	0.947	1
ENSG00000197935	ZNF311	chr6	-	28994785	29005316	-0.351	0.232	0.676	-0.163	0.565	1	-0.162	0.565	1
ENSG00000289319		chr12	-	65168736	65169462	-1.86	0.305	0.719	-0.661	0.683	1	-0.00248	0.999	1
ENSG00000138271	GPR87	chr3	-	151294086	151316820	0.00168	0.993	0.999	0.159	0.428	1	-0.00586	0.977	1
ENSG00000255693	LINC02389	chr12	+	64883394	64990646	-1.66	0.602		-0.929	0.77	1	1.04	0.733	1
ENSG00000118298	CA14	chr1	+	150257251	150265078	0.0979	0.889	0.975	-0.316	0.656	1	-0.043	0.951	1
ENSG00000289870		chrX	-	109734672	109774764	-1.3	0.592	0.872	0.468	0.834	1	-2.59	0.285	
ENSG00000267259	ERVE-1	chr17	-	28232590	28235281	0.764	0.268	0.701	-0.408	0.557	1	-0.107	0.877	1
ENSG00000111490	TBC1D30	chr12	+	64759484	64881033	0.0727	0.847	0.957	-0.0921	0.806	1	-0.841	0.0344	1
ENSG00000065308	TRAM2	chr6	-	52497408	52577060	-0.0478	0.779	0.937	0.127	0.455	1	0.0223	0.896	1
ENSG00000287987		chr1	+	38193619	38210340	1.08	0.671		2.28	0.344		2.57	0.278	
ENSG00000038219	BOD1L1	chr4	-	13568738	13627725	-0.0703	0.544	0.849	-0.18	0.119	1	-0.0939	0.417	1
ENSG00000135677	GNS	chr12	-	64713445	64759431	0.0693	0.253	0.691	0.0612	0.311	1	-0.0588	0.331	1
ENSG00000236514		chr10	+	37857740	37859110	-1.31	0.475	0.812	-0.721	0.68	1	0.625	0.685	1
ENSG00000135720	DYNC1LI2	chr16	-	66720893	66751609	-0.12	0.319	0.729	0.00596	0.961	1	-0.0304	0.8	1
ENSG00000286867		chr19	-	29775504	29781216	-0.19	0.889	0.975	-2.35	0.149	1	-4.18	0.0147	1
ENSG00000137266	SLC22A23	chr6	-	3268962	3457050	0.318	0.26	0.696	-0.123	0.664	1	-0.0739	0.793	1
ENSG00000225195		chr12	+	64628344	64629976	-1.31	0.356	0.747	0.735	0.542	1	0.169	0.89	1
ENSG00000165209	STRBP	chr9	-	123109500	123268586	-0.0522	0.7	0.913	0.0366	0.786	1	0.0691	0.607	1
ENSG00000117862	TXNDC12	chr1	-	52020131	52055191	0.269	0.112	0.605	-0.0772	0.649	1	-0.148	0.383	1
ENSG00000153179	RASSF3	chr12	+	64507001	64697564	0.461	0.0307	0.589	0.127	0.551	1	0.121	0.571	1
ENSG00000157837	SPPL3	chr12	-	120762510	120904358	0.104	0.18	0.644	0.0977	0.205	1	0.00487	0.95	1
ENSG00000277895		chr12	-	64451591	64452901	-0.176	0.787	0.938	-0.719	0.283	1	-0.135	0.83	1
ENSG00000273145		chr22	+	46013606	46015498	-0.0371	0.968	0.993	-0.496	0.604	1	-0.141	0.879	1
ENSG00000100242	SUN2	chr22	-	38733290	38794143	0.0765	0.529	0.841	0.0756	0.533	1	-0.0594	0.625	1
ENSG00000135900	MRPL44	chr2	+	223957463	223967714	0.213	0.0208	0.589	-0.0102	0.912	1	0.106	0.243	1
ENSG00000075702	WDR62	chr19	+	36054649	36105108	0.174	0.311	0.723	-0.00983	0.954	1	0.136	0.425	1
ENSG00000272002	LINC02973	chr2	+	7260871	7261504	0.637	0.536	0.845	-0.913	0.436	1	-0.98	0.401	1
ENSG00000111249	CUX2	chr12	+	111034165	111350554	-1.49	0.0398	0.589	-0.255	0.712	1	-0.155	0.821	1
ENSG00000105982	RNF32	chr7	+	156640281	156677130	0.709	0.291	0.711	0.292	0.668	1	0.0602	0.93	1
ENSG00000187498	COL4A1	chr13	-	110148963	110307157	-0.331	0.32	0.729	0.139	0.676	1	0.00313	0.992	1
ENSG00000185306	C12orf56	chr12	-	64264762	64390758	-2.98	0.0715	0.589	-3.21	0.0522	1	-1.84	0.199	1
ENSG00000257621	PSMA3-AS1	chr14	-	58265365	58298134	-0.392	0.00484	0.589	-0.179	0.195	1	-0.0743	0.59	1
ENSG00000165804	ZNF219	chr14	-	21090077	21104722	0.00575	0.973	0.993	0.238	0.153	1	0.184	0.269	1
ENSG00000233008	LINC01725	chr1	-	83575776	83861053	-0.921	0.0175	0.589	-0.685	0.0686	1	-0.261	0.477	1
ENSG00000086506	HBQ1	chr16	+	180459	181179	0.667	0.625	0.886	-1.35	0.398	1	-0.252	0.859	1
ENSG00000177990	DPY19L2	chr12	-	63558913	63668939	0.293	0.414	0.78	-0.615	0.0906	1	-0.223	0.535	1
ENSG00000177685	CRACR2B	chr11	+	826144	831991	0.244	0.434	0.79	-0.41	0.199	1	-0.072	0.817	1
ENSG00000212122	TSSK1B	chr5	-	113432553	113434989	0.358	0.644	0.893	0.755	0.316	1	0.779	0.299	1
ENSG00000135655	USP15	chr12	+	62260338	62417431	0.294	0.204	0.659	-0.0932	0.687	1	-0.019	0.935	1
ENSG00000197162	ZNF785	chr16	-	30573740	30585769	-0.359	0.132	0.614	-0.17	0.473	1	-0.211	0.373	1
ENSG00000145819	ARHGAP26	chr5	+	142770377	143229011	-0.218	0.178	0.644	-0.0979	0.543	1	-0.0335	0.835	1
ENSG00000123297	TSFM	chr12	+	57782761	57808071	0.000744	0.996	1	0.0773	0.596	1	0.0664	0.647	1
ENSG00000101347	SAMHD1	chr20	-	36890229	36951893	0.462	0.0384	0.589	-0.0174	0.938	1	0.0253	0.91	1
ENSG00000257342		chr12	-	57694132	57721510	-3.41	0.124		-0.469	0.813	1	-3.74	0.0912	
ENSG00000135506	OS9	chr12	+	57693841	57728342	0.0169	0.799	0.939	-0.0592	0.372	1	-0.0564	0.394	1
ENSG00000240771	ARHGEF25	chr12	+	57610180	57617245	0.059	0.883	0.972	0.451	0.247	1	0.375	0.336	1
ENSG00000245213	GALNT7-DT	chr4	-	173094868	173169652	-0.619	0.0619	0.589	-0.429	0.185	1	-0.444	0.169	1
ENSG00000166908	PIP4K2C	chr12	+	57591174	57603418	-0.0488	0.68	0.907	0.152	0.197	1	0.0631	0.592	1
ENSG00000175203	DCTN2	chr12	-	57529633	57547224	0.00188	0.987	0.997	0.162	0.152	1	0.117	0.3	1
ENSG00000273308		chr3	+	197645669	197646017	2.45	0.315		2.6	0.281		2.14	0.379	
ENSG00000116981	NT5C1A	chr1	-	39651229	39672107	-1.84	0.513	0.833	-2.07	0.461	1	-3.13	0.266	
ENSG00000166987	MBD6	chr12	+	57520710	57530148	0.308	0.23	0.674	-0.0621	0.809	1	0.0581	0.821	1
ENSG00000175197	DDIT3	chr12	-	57516588	57521737	0.425	0.202	0.657	-0.26	0.438	1	-0.107	0.749	1
