gene_ID	hgnc_symbol	chr	strand	start	end	NCOA3_CE_log2FoldChange	NCOA3_CE_pvalue	NCOA3_CE_padj	NCOA3_KO_log2FoldChange	NCOA3_KO_pvalue	NCOA3_KO_padj	NCOA3_PTC_log2FoldChange	NCOA3_PTC_pvalue	NCOA3_PTC_padj
ENSG00000224371		chr6	-	160872888	160926204	-0.534	0.665		-1.9	0.2		-1.46	0.289	1
ENSG00000102001	CACNA1F	chrX	-	49205063	49233371	-1.66	0.482		-0.0568	0.98		-1.8	0.444	
ENSG00000290613	LPAL2	chr6	-	160466555	160520269	2.67	0.0262		2.82	0.0187		2.48	0.0404	1
ENSG00000146477	SLC22A3	chr6	+	160348378	160452577	-0.263	0.499	0.91	-0.573	0.152	0.594	-0.162	0.677	1
ENSG00000175003	SLC22A1	chr6	+	160121815	160158718	-0.112	0.864		-0.554	0.426		0.165	0.796	1
ENSG00000146453	PNLDC1	chr6	+	159800249	159820704	2.9	0.127		2.44	0.206		2.8	0.14	
ENSG00000120438	TCP1	chr6	-	159778498	159789703	-0.142	0.0333	0.461	-0.0808	0.223	0.677	-0.1	0.132	1
ENSG00000291237	SOD2	chr6	-	159669069	159762529	-0.0996	0.337	0.853	-0.0476	0.643	0.908	0.0276	0.788	1
ENSG00000237927		chr6	-	159586955	159589169	-1.36	0.426		0.436	0.758		0.063	0.966	
ENSG00000164694	FNDC1	chr6	+	159169400	159272108	0.103	0.866		-0.0372	0.952		-0.277	0.661	1
ENSG00000122711	SPINK4	chr9	+	33218365	33248567	-0.131	0.969		-0.98	0.768		0.775	0.813	
ENSG00000130363	RSPH3	chr6	-	158972871	159000202	0.143	0.33	0.851	0.132	0.37	0.783	0.0457	0.757	1
ENSG00000233893	EZR-AS1	chr6	+	158817979	158822252	-0.335	0.938		-0.0422	0.992		1.9	0.654	
ENSG00000241343	RPL36A	chrX	+	101390824	101396155	-0.0945	0.291	0.824	-0.0154	0.862	0.973	-0.0794	0.371	1
ENSG00000272047	GTF2H5	chr6	+	158168350	158199344	-0.0508	0.656	0.946	-0.0425	0.709	0.934	0.0145	0.899	1
ENSG00000130340	SNX9	chr6	+	157700387	157945077	0.109	0.212	0.773	0.0719	0.409	0.805	0.017	0.846	1
ENSG00000175048	ZDHHC14	chr6	+	157381133	157678157	0.0869	0.366	0.865	0.0252	0.792	0.958	0.0588	0.538	1
ENSG00000271040	TMEM242-DT	chr6	+	157323964	157324477	-1.33	0.759		0.537	0.9		-0.125	0.977	
ENSG00000215712	TMEM242	chr6	-	157289025	157323601	0.0536	0.643	0.945	-0.0312	0.788	0.956	-0.117	0.317	1
ENSG00000288910		chr6	+	157060632	157061587	0.849	0.186		0.526	0.418		0.0215	0.975	1
ENSG00000271265		chr6	-	156774217	156774662	-0.129	0.952		-0.98	0.646		0.776	0.707	
ENSG00000235381		chr6	-	155253139	155256724	1.03	0.0127	0.322	0.36	0.399	0.8	0.281	0.511	1
ENSG00000286000		chrX	+	101640421	101644352	0.481	0.619		0.582	0.544		0.961	0.302	1
ENSG00000146426	TIAM2	chr6	+	154832697	155257723	-0.00539	0.982	0.998	0.26	0.259	0.709	0.0233	0.921	1
ENSG00000153721	CNKSR3	chr6	-	154387515	154510685	0.274	0.156	0.725	0.364	0.0572	0.418	0.232	0.229	1
ENSG00000074706	IPCEF1	chr6	-	154154496	154356803	-0.476	0.333		-1.3	0.0156		-0.761	0.131	1
ENSG00000112031	MTRF1L	chr6	-	152987362	153002709	-0.0906	0.525	0.919	-0.29	0.0425	0.367	-0.0766	0.589	1
ENSG00000227627		chr6	+	152983331	152991322	-0.0755	0.854	0.98	0.103	0.8		0.534	0.173	1
ENSG00000112029	FBXO5	chr6	-	152970519	152983579	-0.0343	0.83	0.977	-0.175	0.274	0.717	-0.189	0.237	1
ENSG00000146469	VIP	chr6	+	152750797	152759765	0.256	0.952		0.0273	0.995		1.02	0.807	
ENSG00000120279	MYCT1	chr6	+	152697897	152724569	-0.0571	0.869	0.983	-0.506	0.146	0.588	-0.2	0.562	1
ENSG00000091831	ESR1	chr6	+	151656691	152129619	-3.26	0.0878		-1.23	0.464		-3	0.113	
ENSG00000146476	ARMT1	chr6	+	151452258	151470101	-0.026	0.799	0.971	0.0098	0.923	0.986	-0.0183	0.856	1
ENSG00000131016	AKAP12	chr6	+	151239967	151358559	0.375	0.313	0.842	0.229	0.533	0.863	0.348	0.345	1
ENSG00000198729	PPP1R14C	chr6	+	150143044	150250392	0.489	0.0382	0.485	0.511	0.0289	0.311	0.368	0.118	1
ENSG00000111981	ULBP1	chr6	+	149963943	149973715	-0.097	0.846		0.207	0.67		-0.482	0.353	1
ENSG00000120256	LRP11	chr6	-	149818757	149864359	0.317	0.352	0.86	0.606	0.072	0.452	0.513	0.129	1
ENSG00000120265	PCMT1	chr6	+	149749444	149811420	-0.105	0.196	0.755	-0.222	0.00603	0.151	-0.0997	0.216	1
ENSG00000131023	LATS1	chr6	-	149658153	149718105	-0.0954	0.301	0.83	-0.0466	0.611	0.896	-0.0731	0.425	1
ENSG00000055211	GINM1	chr6	+	149566294	149591748	0.0173	0.848	0.979	0.052	0.564	0.876	0.0659	0.465	1
ENSG00000131013	PPIL4	chr6	-	149504495	149546043	-0.114	0.269	0.813	-0.0928	0.366	0.781	-0.194	0.0596	1
ENSG00000177688	SUMO4	chr6	+	149400262	149401278	0.108	0.756	0.964	-0.0206	0.953	0.993	-0.494	0.178	1
ENSG00000055208	TAB2	chr6	+	149218641	149411613	-0.109	0.343	0.856	0.0712	0.53	0.862	-0.099	0.383	1
ENSG00000224658		chr6	-	148237585	148283408	2.16	0.613		1.76	0.679		0.0692	0.987	
ENSG00000227681		chr6	+	147660703	147953937	1.35	0.605		-0.978	0.718		0.782	0.768	
ENSG00000164506	STXBP5	chr6	+	147204180	147391010	0.046	0.683	0.952	-0.08	0.476	0.842	0.00014	0.999	1
ENSG00000233452	STXBP5-AS1	chr6	-	146824539	147204614	-0.413	0.426		-0.609	0.25		-0.803	0.137	1
ENSG00000118508	RAB32	chr6	+	146543833	146554953	-0.137	0.498	0.91	0.134	0.5	0.85	-0.178	0.379	1
ENSG00000146414	SHPRH	chr6	-	145864245	145964423	0.228	0.0942	0.633	-0.107	0.432	0.82	0.124	0.362	1
ENSG00000235652	EPM2A-DT	chr6	+	145799409	145887430	1.86	0.0254		1.58	0.0608		1.76	0.0344	1
ENSG00000102128	RAB40AL	chrX	+	102937272	102938300	0.0283	0.969		0.115	0.874		-0.528	0.495	1
ENSG00000118496	FBXO30	chr6	-	145793502	145814795	-0.0526	0.67	0.95	-0.0814	0.507	0.853	-0.114	0.352	1
ENSG00000112425	EPM2A	chr6	-	145382535	145736023	-0.0684	0.827	0.976	-0.18	0.569	0.878	-0.156	0.62	1
ENSG00000283122	HYMAI	chr6	-	144004916	144008262	2.62	0.0392		1.58	0.232		1.04	0.451	1
ENSG00000112419	PHACTR2	chr6	+	143536845	143831185	0.0348	0.846	0.979	-0.078	0.661	0.916	0.0232	0.896	1
ENSG00000001036	FUCA2	chr6	-	143494812	143511720	-0.2	0.0269	0.435	-0.126	0.161	0.609	-0.0776	0.387	1
ENSG00000189007	ADAT2	chr6	-	143422832	143450695	0.327	0.128	0.682	-0.251	0.26	0.71	-0.214	0.337	1
ENSG00000174697	LEP	chr7	+	128241278	128257629	0.962	0.136	0.696	0.314	0.623	0.901	-0.531	0.408	1
ENSG00000229017	LINC01277	chr6	-	142966293	143059682	-0.652	0.549		-1.15	0.309		-0.876	0.424	1
ENSG00000249375	CASC11	chr8	-	127686343	127738987	-0.436	0.838		-2.44	0.267		-2.41	0.272	
ENSG00000232618	HIVEP2-DT	chr6	+	142946406	142957945	0.468	0.789		2.98	0.0465		1.11	0.506	
ENSG00000010818	HIVEP2	chr6	-	142751469	142956698	0.0515	0.68	0.951	0.0184	0.883	0.977	-0.134	0.288	1
ENSG00000112414	ADGRG6	chr6	+	142301854	142446266	0.0829	0.538	0.921	0.357	0.0074	0.17	0.0911	0.495	1
ENSG00000234147		chr6	-	140575812	140898448	-3.03	0.201		-0.492	0.823		-2.92	0.214	
ENSG00000156298	TSPAN7	chrX	+	38561542	38688920	0.257	0.402	0.879	0.355	0.243	0.693	0.366	0.228	1
ENSG00000236013	LINC02941	chr6	+	139976352	140093724	-1.25	0.484		-0.0143	0.993		-1.13	0.522	
ENSG00000287820		chr6	-	139938864	139991094	-0.905	0.681		-1.54	0.495		-1.61	0.476	
ENSG00000164442	CITED2	chr6	-	139371807	139374648	0.141	0.275	0.815	0.26	0.0419	0.364	0.123	0.336	1
ENSG00000226571		chr6	+	139271362	139667284	3.26	0.0473		0.908	0.627		2.22	0.191	
ENSG00000203734	ECT2L	chr6	+	138795911	138904070	-0.237	0.763		-0.929	0.266		-1.55	0.0911	1
ENSG00000024862	CCDC28A	chr6	+	138773769	138793319	-0.0182	0.901	0.986	0.12	0.407	0.804	-0.107	0.463	1
ENSG00000225177	NHSL1-AS1	chr6	+	138692548	138697288	0.161	0.585	0.932	-0.0976	0.746	0.945	0.23	0.435	1
ENSG00000051620	HEBP2	chr6	+	138403531	138422197	-0.0811	0.278	0.816	-0.0412	0.579	0.882	-0.0297	0.689	1
ENSG00000226004	SIMALR	chr6	-	137943079	137957657	-0.127	0.898		-1.74	0.146		-0.601	0.558	1
ENSG00000118503	TNFAIP3	chr6	+	137867214	137883314	-0.122	0.161	0.733	-0.274	0.00154	0.0734	-0.104	0.232	1
ENSG00000175895	PLEKHF2	chr8	+	95115642	95156698	0.151	0.181	0.744	0.135	0.229	0.682	-0.0043	0.97	1
ENSG00000234956	LINC02539	chr6	-	137730170	137792835	0.507	0.46		0.815	0.223		0.563	0.408	1
ENSG00000182747	SLC35D3	chr6	+	136922301	136925660	0.336	0.862		-0.0461	0.982		1.55	0.392	
ENSG00000135525	MAP7	chr6	-	136342281	136550819	-0.262	0.00525	0.222	-0.247	0.00781	0.176	-0.155	0.0948	1
ENSG00000146410	MTFR2	chr6	-	136231024	136250335	0.0959	0.516	0.916	0.217	0.138	0.576	-0.0612	0.681	1
ENSG00000246145	RRS1-DT	chr8	-	66419589	66428977	0.495	0.0595	0.554	-0.139	0.601	0.893	-0.231	0.386	1
ENSG00000135541	AHI1	chr6	-	135283407	135498434	0.0439	0.747	0.962	-0.108	0.426	0.816	-0.155	0.254	1
ENSG00000112339	HBS1L	chr6	-	134960378	135103056	-0.224	0.000342	0.0518	-0.199	0.00139	0.0697	-0.177	0.00447	1
ENSG00000118514	ALDH8A1	chr6	-	134917393	134950115	-0.217	0.608	0.94	-0.198	0.637	0.907	-0.295	0.486	1
ENSG00000287974		chr6	+	134345688	134349337	-2.2	0.378		-2.43	0.323		-0.561	0.815	
ENSG00000236700	LINC01010	chr6	+	134343307	134504581	-2.17	0.436		-2.22	0.419		-3.17	0.249	
ENSG00000286887		chr6	+	134296301	134304297	0.0115	0.981	0.998	0.735	0.119		0.233	0.631	1
ENSG00000028839	TBPL1	chr6	+	133952170	133990432	0.13	0.349	0.858	0.295	0.0316	0.323	0.222	0.106	1
ENSG00000227954	TARID	chr6	-	133502252	133892802	-1.21	0.571		-1.44	0.496		-1.38	0.515	
ENSG00000007952	NOX1	chrX	-	100843324	100874359	1.42	0.334		0.502	0.742		0.178	0.91	
ENSG00000182307	C8orf33	chr8	+	145052465	145066685	-0.253	0.0622	0.561	-0.236	0.0804	0.472	-0.156	0.246	1
ENSG00000112319	EYA4	chr6	+	133240514	133532128	-0.176	0.626	0.942	-0.433	0.238	0.691	0.0364	0.919	1
ENSG00000231023	LINC00326	chr6	+	132954257	133107410	-1.53	0.314		-1.62	0.285		-3.06	0.076	
ENSG00000146409	SLC18B1	chr6	-	132769370	132813339	-0.326	0.00108	0.101	-0.457	4.85e-06	0.00145	-0.123	0.213	1
ENSG00000112303	VNN2	chr6	-	132743870	132763459	-0.329	0.565		-1.02	0.0955		-0.282	0.622	1
ENSG00000122729	ACO1	chr9	+	32384603	32454769	0.152	0.0967	0.638	0.298	0.000988	0.0555	0.0798	0.38	1
ENSG00000079950	STX7	chr6	-	132445867	132513198	0.197	0.0687	0.577	0.0155	0.886	0.978	0.0502	0.642	1
ENSG00000228495	LINC01013	chr6	+	131901848	132169992	-0.866	0.548		-0.785	0.584		0.831	0.509	
ENSG00000197594	ENPP1	chr6	+	131808016	131895155	0.222	0.392	0.876	0.195	0.45	0.827	0.132	0.611	1
ENSG00000112282	MED23	chr6	-	131573966	131628242	0.0478	0.515	0.915	-0.00954	0.896	0.98	0.00134	0.985	1
ENSG00000118507	AKAP7	chr6	+	131135467	131283535	-0.204	0.571	0.927	-0.0902	0.801	0.958	0.019	0.957	1
ENSG00000158516	CPA2	chr7	+	130266863	130289798	0.0331	0.982		0.813	0.548		-2.85	0.0949	
ENSG00000164484	TMEM200A	chr6	+	130366017	130443067	-0.231	0.32	0.847	-0.319	0.171	0.622	-0.131	0.569	1
ENSG00000146376	ARHGAP18	chr6	-	129576132	129710177	-0.0695	0.441	0.893	-0.0628	0.482	0.843	-0.0366	0.682	1
ENSG00000130826	DKC1	chrX	+	154762742	154777689	-0.0792	0.268	0.813	-0.0826	0.245	0.694	-0.00287	0.968	1
ENSG00000226149		chr6	-	129439485	129576047	0.2	0.343	0.856	-0.405	0.0582	0.421	-0.176	0.405	1
ENSG00000289190		chr6	+	128520728	128521180	0.881	0.441		1.25	0.263		-0.9	0.505	1
ENSG00000172673	THEMIS	chr6	-	127708072	127918631	2.28	0.174		0.848	0.649		-0.0834	0.966	
ENSG00000189367	KIAA0408	chr6	-	127438406	127459389	-0.187	0.951		-0.0248	0.993		-0.0653	0.983	
ENSG00000203760	CENPW	chr6	+	126340115	126348875	-0.0874	0.527	0.92	-0.0394	0.775	0.951	-0.0208	0.88	1
ENSG00000111912	NCOA7	chr6	+	125781161	125932034	-0.0489	0.627	0.942	0.015	0.88	0.977	-0.112	0.263	1
ENSG00000135547	HEY2	chr6	+	125747664	125761269	-2.1	0.118		-0.377	0.74		-0.892	0.448	1
ENSG00000111906	HDDC2	chr6	-	125219962	125302078	-0.0898	0.559	0.927	-0.281	0.0667	0.441	-0.231	0.131	1
ENSG00000111907	TPD52L1	chr6	+	125119049	125264407	-0.0259	0.743	0.961	0.0302	0.701	0.931	-0.0278	0.725	1
ENSG00000146373	RNF217	chr6	+	124962437	125092633	0.156	0.28	0.817	0.196	0.17	0.621	0.0307	0.83	1
ENSG00000188580	NKAIN2	chr6	+	123803865	124825640	0.942	0.66		1.45	0.477		0.0119	0.996	
ENSG00000106299	WASL	chr7	-	123681943	123749003	-0.106	0.26	0.808	0.0265	0.776	0.952	-0.0805	0.389	1
ENSG00000172594	SMPDL3A	chr6	+	122789049	122809720	0.052	0.795	0.971	-0.0806	0.686	0.926	0.21	0.29	1
ENSG00000164434	FABP7	chr6	+	122779716	122784074	0.195	0.384	0.872	-0.127	0.568	0.877	0.00212	0.992	1
ENSG00000287100		chr6	+	119349886	119689173	0.0269	0.974		0.245	0.766		0.505	0.53	1
ENSG00000111879	FAM184A	chr6	-	118959763	119149387	-0.103	0.746	0.962	0.136	0.665	0.917	-0.179	0.57	1
ENSG00000253194		chr6	+	118934770	119182745	-1	0.389		0.0901	0.934		-0.355	0.749	1
ENSG00000111877	MCM9	chr6	-	118813442	118935162	0.2	0.103	0.648	0.18	0.143	0.585	0.155	0.208	1
ENSG00000111860	CEP85L	chr6	-	118460772	118710075	0.0859	0.56	0.927	0.164	0.262	0.71	-0.0119	0.936	1
ENSG00000153989	NUS1	chr6	+	117675469	117710727	-0.136	0.187	0.747	-0.0314	0.759	0.949	-0.00282	0.978	1
ENSG00000164465	DCBLD1	chr6	+	117453817	117569858	0.194	0.048	0.516	0.234	0.016	0.245	0.0429	0.662	1
ENSG00000111834	RSPH4A	chr6	+	116616479	116632985	0.0974	0.93		0.41	0.709		1.27	0.22	1
ENSG00000189241	TSPYL1	chr6	-	116267760	116279930	0.0312	0.745	0.962	0.0212	0.824	0.966	-0.0303	0.751	1
ENSG00000178425	NT5DC1	chr6	+	116100851	116249497	-0.0098	0.928	0.99	0.079	0.463	0.834	-0.0336	0.756	1
ENSG00000289376		chr6	-	115901795	116100713	0.509	0.834		-0.0342	0.989		-0.0793	0.975	
ENSG00000196591	HDAC2	chr6	-	113933028	114011308	-0.0618	0.444	0.894	-0.0479	0.549	0.871	-0.0682	0.394	1
ENSG00000277443	MARCKS	chr6	+	113857345	113863475	-0.408	0.0283	0.437	-0.135	0.463	0.834	-0.243	0.188	1
ENSG00000230943	LINC02541	chr6	-	113616927	113650090	-2.9	0.096		-0.00288	0.998		-0.416	0.784	
ENSG00000223969		chr7	-	90590619	90597398	0.36	0.703		0.396	0.677		-0.294	0.77	
ENSG00000251258	RFPL4B	chr6	+	112347330	112351294	3.1	0.217		-0.0163	0.995		0.92	0.731	
ENSG00000074935	TUBE1	chr6	-	112070663	112087529	0.171	0.341	0.854	0.492	0.00524	0.139	0.0543	0.761	1
ENSG00000227012	LINC02527	chr6	-	111900305	111909420	0.635	0.601		0.962	0.421		-1.74	0.248	
ENSG00000010810	FYN	chr6	-	111660332	111873452	0.0834	0.342	0.856	0.129	0.137	0.575	0.0966	0.267	1
ENSG00000231889	TRAF3IP2-AS1	chr6	+	111483459	111598783	0.298	0.236	0.79	0.277	0.275	0.718	0.0193	0.94	1
ENSG00000254180		chr8	-	90198389	90620077	-0.172	0.762		-0.959	0.115		-0.572	0.326	1
ENSG00000272356		chr6	+	111309203	111313517	0.0834	0.562	0.927	-0.288	0.0448	0.377	-0.137	0.338	1
ENSG00000112394	SLC16A10	chr6	+	111087503	111231194	-0.0327	0.847	0.979	0.0591	0.724	0.939	-0.105	0.534	1
ENSG00000197498	RPF2	chr6	+	110982015	111028263	-0.153	0.0859	0.612	-0.11	0.215	0.667	-0.136	0.127	1
ENSG00000155115	GTF3C6	chr6	+	110958706	110967890	-0.274	0.0162	0.355	-0.421	0.000208	0.0214	-0.218	0.0538	1
ENSG00000123505	AMD1	chr6	+	110874770	110898879	-0.22	0.11	0.657	-0.0208	0.879	0.977	-0.149	0.275	1
ENSG00000155111	CDK19	chr6	-	110609978	110815958	-0.14	0.383	0.871	-0.0806	0.612	0.897	-0.12	0.449	1
ENSG00000175283	DOLK	chr9	-	128945530	128947603	0.0302	0.864	0.982	-0.0812	0.645	0.909	0.169	0.335	1
ENSG00000289847		chr6	-	110530684	110566607	-1.25	0.585		1.36	0.521		-0.0978	0.966	
ENSG00000112290	WASF1	chr6	-	110099819	110180004	-0.227	0.386	0.874	-0.233	0.372	0.784	-0.315	0.228	1
ENSG00000286691		chr6	-	110020011	110040241	-2.89	0.265		-1.01	0.686		-2.87	0.263	
ENSG00000112367	FIG4	chr6	+	109690609	109878098	0.147	0.187	0.748	-0.114	0.31	0.745	0.0544	0.624	1
ENSG00000155085	AK9	chr6	-	109492855	109691217	-0.0648	0.717	0.959	0.111	0.527	0.862	-0.046	0.796	1
ENSG00000112365	ZBTB24	chr6	-	109460632	109483239	-0.0418	0.643	0.945	-0.0895	0.32	0.752	-0.0636	0.479	1
ENSG00000135587	SMPD2	chr6	+	109440724	109443919	-0.253	0.0993	0.642	-0.256	0.0934	0.507	-0.11	0.471	1
ENSG00000185250	PPIL6	chr6	-	109390215	109441171	-0.0136	0.982		-0.129	0.828		-0.733	0.249	1
ENSG00000260273		chr6	+	109382795	109383667	-0.00165	0.998		0.044	0.937		-0.249	0.662	1
ENSG00000135535	CD164	chr6	-	109366514	109382467	-0.199	0.233	0.786	-0.00778	0.962	0.993	-0.124	0.452	1
ENSG00000118690	ARMC2	chr6	+	108848416	108974476	-0.084	0.847		-0.407	0.363		-0.0741	0.864	1
ENSG00000112335	SNX3	chr6	-	108211222	108261246	-0.0516	0.586	0.932	-0.00579	0.951	0.993	-0.0423	0.653	1
ENSG00000025796	SEC63	chr6	-	107867756	107958208	-0.181	0.142	0.703	0.0175	0.886	0.978	-0.102	0.402	1
ENSG00000146285	SCML4	chr6	-	107702154	107824317	0.026	0.915	0.988	-0.206	0.402	0.802	-0.0622	0.798	1
ENSG00000176595	KBTBD11	chr8	+	1973677	2006936	-0.246	0.206	0.765	-0.33	0.091	0.499	-0.26	0.181	1
ENSG00000289433		chr6	+	107595351	107597651	-0.217	0.93		1.46	0.526		-1.04	0.672	
ENSG00000272398	CD24	chr6	-	106969831	106975627	-0.213	0.0377	0.483	0.0212	0.834	0.967	-0.0652	0.521	1
ENSG00000130348	QRSL1	chr6	+	106629578	106668417	-0.0571	0.692	0.954	-0.0997	0.488	0.845	0.0158	0.912	1
ENSG00000112297	CRYBG1	chr6	+	106360717	106572017	-0.0461	0.639	0.944	0.22	0.0232	0.285	0.0338	0.728	1
ENSG00000284999		chr6	-	105679378	105893041	0.964	0.663		-0.0865	0.97		-0.129	0.956	
ENSG00000085377	PREP	chr6	-	105273218	105454062	0.143	0.0748	0.587	0.131	0.098	0.516	0.139	0.0796	1
ENSG00000029639	TFB1M	chr6	-	155256134	155314493	0.168	0.264	0.811	0.0488	0.747	0.945	0.0716	0.635	1
ENSG00000203809	LIN28B-AS1	chr6	-	104864464	104941447	1.01	0.101		1.37	0.0228		1.35	0.0249	1
ENSG00000112249	ASCC3	chr6	-	100508194	100881372	-0.0937	0.423	0.887	-0.235	0.0429	0.367	-0.0303	0.794	1
ENSG00000112238	PRDM13	chr6	+	99606774	99615578	1.39	0.475		-0.0128	0.995		2.17	0.241	
ENSG00000279170	TSTD3	chr6	+	99520976	99589899	0.211	0.359	0.862	0.15	0.515	0.857	0.149	0.518	1
ENSG00000132424	PNISR	chr6	-	99397629	99425331	0.163	0.215	0.773	-0.0373	0.775	0.951	0.0293	0.823	1
ENSG00000132423	COQ3	chr6	-	99369401	99394195	-0.433	0.0537	0.532	-0.285	0.201	0.653	-0.171	0.437	1
ENSG00000185960	SHOX	chrX	+	624344	659411	0.406	0.238	0.791	-0.0694	0.845	0.969	0.577	0.0912	1
ENSG00000112234	FBXL4	chr6	-	98868535	98948006	0.103	0.489	0.907	0.137	0.357	0.777	-0.0401	0.789	1
ENSG00000146263	MMS22L	chr6	-	97142161	97283217	0.121	0.388	0.875	0.0683	0.624	0.901	0.13	0.352	1
ENSG00000123545	NDUFAF4	chr6	-	96889315	96897891	-0.391	0.0043	0.199	-0.247	0.069	0.446	-0.185	0.172	1
ENSG00000014123	UFL1	chr6	+	96521595	96555276	0.22	0.0292	0.439	0.194	0.0528	0.403	0.138	0.168	1
ENSG00000287578		chr6	-	95917143	96015391	0.665	0.72		1.45	0.408		0.845	0.646	
ENSG00000135604	STX11	chr6	+	144150487	144191939	0.285	0.0547	0.537	0.398	0.00669	0.161	0.31	0.0358	1
ENSG00000261366	MANEA-DT	chr6	-	95575183	95577450	0.473	0.385		0.668	0.212		-0.668	0.277	1
ENSG00000112182	BACH2	chr6	-	89926528	90296843	-0.332	0.586	0.932	0.153	0.8	0.958	-0.164	0.787	1
ENSG00000083099	LYRM2	chr6	-	89568144	89638749	-0.125	0.323	0.848	-0.163	0.196	0.65	-0.0882	0.483	1
ENSG00000135299	ANKRD6	chr6	+	89433152	89633834	0.0995	0.718	0.959	-0.00514	0.985	0.997	0.0272	0.921	1
ENSG00000025039	RRAGD	chr6	-	89364616	89412273	-0.102	0.768	0.967	-0.183	0.6	0.892	-0.116	0.738	1
ENSG00000198833	UBE2J1	chr6	-	89326625	89352722	-0.245	0.0137	0.33	-0.0194	0.844	0.969	-0.12	0.223	1
ENSG00000111886	GABRR2	chr6	-	89254464	89315299	0.446	0.134	0.691	0.184	0.535	0.863	0.0271	0.928	1
ENSG00000288009		chr6	-	89130887	89145985	-1.16	0.727		0.234	0.942		-0.96	0.771	
ENSG00000154548	SRSF12	chr6	-	89095959	89118071	0.207	0.587	0.932	0.0474	0.902	0.982	-0.3	0.45	1
ENSG00000146278	PNRC1	chr6	+	89080751	89085160	-0.359	0.0183	0.374	-0.232	0.124	0.556	-0.265	0.0783	1
ENSG00000288722	F8A1	chrX	+	154886355	154888061	0.116	0.593	0.933	0.0842	0.697	0.93	0.122	0.571	1
ENSG00000289931		chr6	+	88963824	88964471	1.26	0.403		1.39	0.356		-1.96	0.278	
ENSG00000111880	RNGTT	chr6	-	88609897	88963618	-0.159	0.0814	0.604	-0.107	0.241	0.693	-0.0761	0.402	1
ENSG00000225366	TDGF1P3	chrX	+	110520896	110523021	-1.21	0.639		0.117	0.962		0.274	0.911	
ENSG00000148334	PTGES2	chr9	-	128120693	128128462	-0.108	0.472	0.9	-0.178	0.232	0.685	-0.00889	0.952	1
ENSG00000135334	AKIRIN2	chr6	-	87674860	87702233	-0.142	0.151	0.717	-0.177	0.0715	0.45	-0.118	0.229	1
ENSG00000203872	C6orf163	chr6	+	87344813	87365463	0.875	0.013	0.323	-0.153	0.688	0.927	0.345	0.343	1
ENSG00000164411	GJB7	chr6	-	87282980	87329278	-0.0279	0.976		-0.427	0.654		-0.796	0.421	1
ENSG00000135346	CGA	chr6	-	87085498	87095106	0.0287	0.918	0.988	0.596	0.0297	0.316	0.136	0.62	1
ENSG00000288021		chr6	+	85949690	85998263	-0.0836	0.943		0.644	0.558		-0.751	0.556	1
ENSG00000135316	SYNCRIP	chr6	-	85607779	85644063	-0.0344	0.605	0.937	-0.0818	0.215	0.668	-0.0208	0.753	1
ENSG00000135318	NT5E	chr6	+	85449584	85495791	-0.675	0.202	0.762	0.493	0.322	0.753	0.0551	0.914	1
ENSG00000135315	CEP162	chr6	-	84124241	84227643	0.416	0.00552	0.227	0.251	0.0971	0.514	0.208	0.171	1
ENSG00000135324	MRAP2	chr6	+	84033772	84090881	0.203	0.445	0.894	0.451	0.0855	0.487	-0.0604	0.821	1
ENSG00000230852	LINC02857	chr6	+	84019204	84026100	0.812	0.442		-1.33	0.335		0.246	0.823	1
ENSG00000065615	CYB5R4	chr6	+	83859656	83967423	-0.0873	0.44	0.893	-0.0919	0.417	0.811	-0.0448	0.691	1
ENSG00000228113		chr7	+	88219359	88304367	1.04	0.605		-1.48	0.508		-1.46	0.512	
ENSG00000146250	PRSS35	chr6	+	83512534	83525704	-0.914	0.473		-0.124	0.918		-1.16	0.386	
ENSG00000065833	ME1	chr6	-	83210402	83431051	-0.152	0.288	0.821	-0.2	0.16	0.607	-0.137	0.334	1
ENSG00000013392	RWDD2A	chr6	+	83193357	83198935	0.126	0.456	0.897	0.0917	0.588	0.886	-0.0154	0.928	1
ENSG00000083097	DOP1A	chr6	+	83067666	83171350	-0.0369	0.784	0.97	-0.238	0.077	0.463	-0.0187	0.889	1
ENSG00000106261	ZKSCAN1	chr7	+	100015572	100041689	0.116	0.102	0.645	0.187	0.00789	0.177	0.095	0.177	1
ENSG00000005700	IBTK	chr6	-	82169986	82247754	0.198	0.124	0.679	0.201	0.116	0.544	0.0507	0.693	1
ENSG00000105821	DNAJC2	chr7	-	103312289	103344830	-0.218	0.027	0.435	-0.304	0.00192	0.0835	-0.198	0.0427	1
ENSG00000232031		chr6	-	81724722	81736353	1.25	0.687		0.956	0.76		-0.064	0.984	
ENSG00000112773	TENT5A	chr6	-	81491439	81752774	-0.0491	0.736	0.961	0.0975	0.498	0.849	-0.0211	0.884	1
ENSG00000106617	PRKAG2	chr7	-	151556124	151877214	-0.0314	0.796	0.971	0.136	0.259	0.708	0.0357	0.767	1
ENSG00000146733	PSPH	chr7	-	56011051	56051604	-0.178	0.204	0.763	-0.285	0.043	0.367	-0.136	0.331	1
ENSG00000260645		chr6	+	80466958	80469080	0.566	0.258	0.808	-0.00248	0.996		0.109	0.834	1
ENSG00000233967		chr6	+	80441295	80466674	0.438	0.201	0.76	0.0142	0.967	0.994	0.346	0.312	1
